,agency_cd,site_no,datetime,Dissolved oxygen_Mean,"Turbidity, water_Max",Temperature_Mean,Precipitation,"Turbidity, water_Mean",Temperature_Min,Temperature_Max,Dissolved oxygen_Min,Dissolved oxygen_Max,Gage height_Max,Gage height_Min,"Turbidity, water_Min",Gage height_Mean
0,USGS,02110400,2016-09-30,5.7,32.0,23.8,0.49,20.2,22.8,25.3,5.5,6.0,8.85,8.48,15.0,8.67
1,USGS,02110400,2016-10-01,5.5,22.0,23.6,0.00,14.7,22.7,24.6,5.3,5.8,8.81,8.64,10.0,8.71
2,USGS,02110400,2016-10-02,5.1,11.0,23.7,0.00,9.5,22.5,25.1,4.5,5.5,8.64,8.57,8.5,8.60
3,USGS,02110400,2016-10-03,3.8,16.0,22.7,0.00,13.9,21.5,24.3,2.2,5.3,8.57,8.53,11.0,8.55
4,USGS,02110400,2016-10-04,3.3,13.0,22.9,0.00,9.8,22.1,24.4,1.7,4.2,8.72,8.56,7.5,8.63
5,USGS,02110400,2016-10-05,3.8,9.5,21.9,0.00,8.2,21.4,22.1,2.8,4.5,8.90,8.72,7.6,8.81
6,USGS,02110400,2016-10-06,3.7,10.0,21.4,0.00,8.6,21.3,21.8,2.6,4.3,9.07,8.90,7.6,8.98
7,USGS,02110400,2016-10-07,3.9,13.0,21.6,1.05,9.6,21.4,22.3,2.7,4.6,9.40,9.07,7.7,9.24
8,USGS,02110400,2016-10-08,5.9,120,23.3,10.02,38.3,22.3,23.8,4.5,6.6,16.68,9.40,9.1,13.47
9,USGS,02110400,2016-10-09,,,,0.00,,,,,,16.88,15.88,,16.54
10,USGS,02110400,2016-10-10,,,,0.00,,,,,,15.88,15.49,,15.61
11,USGS,02110400,2016-10-11,,,,0.00,,,,,,16.44,15.79,,16.15
12,USGS,02110400,2016-10-12,,,,0.00,,,,,,16.68,16.44,,16.58
13,USGS,02110400,2016-10-13,,,,0.00,,,,,,16.77,16.68,,16.74
14,USGS,02110400,2016-10-14,,,,0.00,,,,,,16.78,16.68,,16.74
15,USGS,02110400,2016-10-15,,,,0.00,,,,,,16.68,16.42,,16.57
16,USGS,02110400,2016-10-16,,,,0.00,,,,,,16.42,16.01,,16.23
17,USGS,02110400,2016-10-17,,,,0.00,,,,,,16.01,15.49,,15.76
18,USGS,02110400,2016-10-18,,,,0.00,,,,,,15.49,14.90,,15.20
19,USGS,02110400,2016-10-19,,,,0.00,,,,,,14.90,14.30,,14.60
20,USGS,02110400,2016-10-20,,,,0.00,,,,,,14.30,13.70,,14.00
21,USGS,02110400,2016-10-21,,,,0.00,,,,,,13.70,13.10,,13.40
22,USGS,02110400,2016-10-22,,,,0.00,,,,,,13.10,12.53,,12.81
23,USGS,02110400,2016-10-23,,,,0.00,,,,,,12.53,12.01,,12.26
