,agency_cd,site_no,datetime,Dissolved oxygen_Mean,Gage height_Max,Temperature_Max,Gage height_Mean,Temperature_Mean,Dissolved oxygen_Min,"Turbidity, water_Max",Temperature_Min,"Turbidity, water_Min",Gage height_Min,Dissolved oxygen_Max,"Turbidity, water_Mean"
0,USGS,02110500,2016-09-30,4.2,9.48,24.6,9.38,24.3,4.0,13.0,24.0,5.8,9.29,4.6,8.0
1,USGS,02110500,2016-10-01,4.4,9.52,24.4,9.51,23.9,4.2,9.8,23.7,4.2,9.48,4.6,6.5
2,USGS,02110500,2016-10-02,4.2,9.51,23.9,9.49,23.7,4.2,5.3,23.4,3.7,9.47,4.3,4.3
3,USGS,02110500,2016-10-03,4.3,9.48,23.5,9.47,23.1,4.2,4.4,22.8,3.4,9.46,4.4,3.8
4,USGS,02110500,2016-10-04,4.5,9.64,23.0,9.55,22.7,4.4,5.0,22.3,3.5,9.48,4.6,4.0
5,USGS,02110500,2016-10-05,4.8,9.83,22.3,9.74,22.0,4.6,3.9,21.8,2.9,9.64,5.0,3.4
6,USGS,02110500,2016-10-06,5.0,10.00,21.9,9.92,21.6,4.9,3.2,21.4,2.7,9.83,5.1,2.9
7,USGS,02110500,2016-10-07,5.3,10.32,22.2,10.16,21.8,5.1,3.1,21.5,2.7,10.00,5.5,2.8
8,USGS,02110500,2016-10-08,6.3,13.31,23.7,11.69,23.0,5.5,73.0,22.2,2.8,10.32,7.0,37.9
9,USGS,02110500,2016-10-09,4.7,14.74,22.8,14.20,22.2,4.1,39.0,21.5,20.0,13.31,5.7,27.5
10,USGS,02110500,2016-10-10,3.7,15.88,21.5,15.28,20.6,3.0,20.0,19.9,10.0,14.74,4.1,15.0
11,USGS,02110500,2016-10-11,3.0,16.55,20.0,16.27,19.7,2.8,22.0,19.3,7.5,15.88,3.1,9.2
12,USGS,02110500,2016-10-12,3.1,16.82,20.3,16.70,19.9,3.0,8.4,19.6,6.6,16.55,3.2,7.2
13,USGS,02110500,2016-10-13,3.1,16.93,20.6,16.89,20.2,3.0,13.0,19.9,6.5,16.82,3.2,7.1
