,agency_cd,site_no,datetime,Temperature_Max,Gage height_Mean,"Turbidity, water_Mean","Turbidity, water_Max",Gage height_Min,Dissolved oxygen_Min,Gage height_Max,Dissolved oxygen_Max,Temperature_Mean,Precipitation,Temperature_Min,Dissolved oxygen_Mean,"Turbidity, water_Min"
0,USGS,02110550,2016-09-30,24.6,6.25,2.7,3.9,6.15,3.6,6.35,3.7,24.3,0.04,24.1,3.7,2.2
1,USGS,02110550,2016-10-01,24.5,6.08,3.1,4.4,6.03,3.7,6.15,3.8,24.3,0.00,24.2,3.7,2.6
2,USGS,02110550,2016-10-02,24.4,6.01,3.7,4.5,5.99,3.8,6.03,4.0,24.2,0.00,23.9,3.9,3.2
3,USGS,02110550,2016-10-03,23.9,5.98,3.3,3.9,5.95,4.0,5.99,4.1,23.7,0.00,23.4,4.0,3.0
4,USGS,02110550,2016-10-04,23.4,5.92,3.0,3.4,5.89,4.1,5.95,4.2,23.2,0.00,22.8,4.1,2.8
5,USGS,02110550,2016-10-05,22.8,5.90,2.9,3.2,5.87,4.2,5.91,4.4,22.4,0.00,22.2,4.3,2.7
6,USGS,02110550,2016-10-06,22.2,5.94,2.9,3.4,5.89,4.4,5.99,4.7,21.9,0.00,21.7,4.6,2.6
7,USGS,02110550,2016-10-07,22.0,6.19,2.7,3.2,5.99,4.7,6.43,5.2,21.8,1.66,21.7,4.9,2.5
8,USGS,02110550,2016-10-08,22.8,8.04,6.8,12.0,6.43,5.2,9.85,6.3,22.5,9.65,22.0,5.8,2.5
9,USGS,02110550,2016-10-09,22.6,10.65,15.4,18.0,9.85,2.7,11.50,5.8,22.2,0.00,21.5,4.4,10.0
10,USGS,02110550,2016-10-10,21.5,12.26,9.9,18.0,11.50,2.5,12.86,2.7,20.6,0.00,20.2,2.6,5.0
11,USGS,02110550,2016-10-11,20.2,13.33,4.1,5.7,12.86,2.7,13.77,2.9,19.9,0.00,19.8,2.8,3.6
12,USGS,02110550,2016-10-12,20.4,14.17,4.2,4.7,13.77,2.7,14.56,2.8,20.1,0.00,19.8,2.7,4.0
13,USGS,02110550,2016-10-13,20.5,14.85,3.9,4.5,14.54,2.6,15.13,2.8,20.3,0.00,20.2,2.7,3.5
14,USGS,02110550,2016-10-14,20.5,15.33,3.3,3.7,15.13,2.4,15.50,2.7,20.4,0.00,20.3,2.5,3.0
15,USGS,02110550,2016-10-15,20.4,15.62,2.9,3.4,15.50,2.3,15.71,2.6,20.3,0.00,20.2,2.4,2.5
16,USGS,02110550,2016-10-16,20.4,15.74,2.3,2.5,15.70,2.3,15.77,2.6,20.2,0.00,20.0,2.4,2.1
17,USGS,02110550,2016-10-17,20.6,15.72,2.2,2.5,15.66,2.3,15.76,2.5,20.4,0.00,20.2,2.4,2.0
18,USGS,02110550,2016-10-18,20.9,15.56,2.4,2.6,15.42,2.1,15.67,2.5,20.6,0.00,20.4,2.2,2.2
19,USGS,02110550,2016-10-19,21.1,15.26,2.5,3.0,15.06,1.9,15.43,2.3,20.8,0.00,20.6,2.1,2.3
20,USGS,02110550,2016-10-20,21.2,14.85,2.2,2.7,14.62,1.8,15.07,2.1,21.0,0.00,20.8,1.9,1.8
21,USGS,02110550,2016-10-21,21.2,14.38,1.7,2.2,14.13,1.6,14.63,1.9,21.1,0.00,20.9,1.7,1.0
22,USGS,02110550,2016-10-22,21.1,13.88,1.1,1.5,13.62,1.6,14.13,1.8,20.5,0.00,19.8,1.6,0.8
23,USGS,02110550,2016-10-23,19.8,13.37,1.5,2.5,13.11,1.6,13.62,1.8,19.1,0.00,18.8,1.7,1.0
24,USGS,02110550,2016-10-24,18.8,12.86,0.9,1.4,12.61,1.7,13.11,1.9,18.5,0.00,18.2,1.8,0.5
25,USGS,02110550,2016-10-25,18.7,12.36,,,12.11,1.7,12.61,1.8,18.5,0.00,18.3,1.8,
26,USGS,02110550,2016-10-26,18.4,11.88,,,11.64,1.8,12.11,1.9,18.0,0.00,17.8,1.9,
27,USGS,02110550,2016-10-27,18.0,11.43,,,11.21,1.9,11.64,2.1,17.8,0.00,17.6,2.0,
28,USGS,02110550,2016-10-28,18.3,11.01,,,10.81,2.0,11.21,2.2,18.1,0.00,17.8,2.1,
29,USGS,02110550,2016-10-29,18.5,10.63,,,10.46,2.1,10.81,2.2,18.3,0.00,18.0,2.2,
30,USGS,02110550,2016-10-30,18.6,10.29,,,10.13,2.1,10.46,2.2,18.4,0.00,18.1,2.2,
31,USGS,02110550,2016-10-31,18.9,9.96,,,9.79,2.0,10.13,2.1,18.7,0.00,18.4,2.1,
32,USGS,02110550,2016-11-01,19.0,9.61,,,9.43,1.9,9.79,2.1,18.8,0.00,18.6,2.0,
33,USGS,02110550,2016-11-02,19.0,9.24,1.4,1.5,9.04,1.8,9.43,1.9,18.7,0.00,18.5,1.9,1.2
34,USGS,02110550,2016-11-03,19.1,8.83,1.5,1.7,8.62,1.8,9.04,1.8,18.9,0.00,18.6,1.8,1.4
35,USGS,02110550,2016-11-04,19.1,8.39,1.7,2.0,8.16,1.8,8.62,1.9,18.9,0.01,18.8,1.8,1.6
36,USGS,02110550,2016-11-05,,7.94,,,7.72,,8.16,,,0.00,,,
37,USGS,02110550,2016-11-06,,7.51,,,7.29,2.0,7.72,2.4,,0.00,,2.2,
38,USGS,02110550,2016-11-07,16.8,7.07,1.8,2.0,6.86,,7.29,,16.4,0.00,15.9,,1.7
39,USGS,02110550,2016-11-08,15.9,6.63,1.7,1.9,6.39,3.0,6.86,3.5,15.4,0.00,14.9,3.3,1.6
40,USGS,02110550,2016-11-09,14.9,6.15,1.7,2.1,5.91,3.5,6.39,3.9,14.7,0.00,14.4,3.7,1.5
41,USGS,02110550,2016-11-10,14.4,5.65,1.6,1.8,5.38,3.9,5.91,4.3,14.1,0.00,13.9,4.1,1.5
42,USGS,02110550,2016-11-11,13.9,5.11,1.7,1.9,4.86,4.3,5.38,4.7,13.7,0.00,13.4,4.5,1.5
43,USGS,02110550,2016-11-12,13.8,4.60,1.8,2.3,4.37,4.7,4.86,5.1,13.5,0.00,13.3,4.9,1.6
44,USGS,02110550,2016-11-13,13.3,4.22,1.9,2.2,4.13,5.1,4.37,5.7,13.0,1.14,12.5,5.3,1.7
45,USGS,02110550,2016-11-14,12.5,4.12,2.2,2.5,4.05,5.7,4.19,5.8,12.5,0.01,12.4,5.8,1.9
46,USGS,02110550,2016-11-15,13.0,3.93,2.1,2.4,3.81,5.7,4.05,5.7,12.7,0.01,12.5,5.7,1.9
47,USGS,02110550,2016-11-16,13.2,3.66,2.4,3.2,3.54,5.6,3.81,5.7,12.9,0.00,12.7,5.7,2.1
48,USGS,02110550,2016-11-17,13.4,3.39,2.3,2.8,3.28,5.6,3.54,5.7,13.0,0.00,12.7,5.7,1.9
49,USGS,02110550,2016-11-18,13.5,3.13,2.1,2.5,3.03,5.7,3.28,5.8,13.1,0.00,12.8,5.7,1.9
50,USGS,02110550,2016-11-19,13.7,2.93,2.6,3.8,2.82,5.8,3.05,6.0,13.2,0.00,12.9,5.9,1.9
51,USGS,02110550,2016-11-20,13.1,2.62,2.9,6.1,2.39,6.0,2.90,6.2,12.9,0.00,12.5,6.1,2.3
52,USGS,02110550,2016-11-21,12.5,2.41,2.8,4.3,2.26,6.1,2.56,6.4,12.2,0.00,11.9,6.3,2.3
53,USGS,02110550,2016-11-22,11.9,2.31,2.7,3.5,2.14,6.4,2.47,6.7,11.5,0.00,11.2,6.5,2.2
54,USGS,02110550,2016-11-23,11.2,2.16,3.0,4.0,1.97,6.7,2.35,7.0,10.9,0.00,10.5,6.8,2.2
55,USGS,02110550,2016-11-24,11.5,2.01,2.7,3.6,1.83,7.0,2.18,7.1,11.1,0.00,10.6,7.1,2.0
56,USGS,02110550,2016-11-25,12.1,1.90,2.6,4.0,1.72,7.0,2.08,7.2,11.7,0.00,11.3,7.1,1.9
57,USGS,02110550,2016-11-26,12.7,1.88,2.8,3.4,1.67,7.0,2.03,7.1,12.3,0.01,11.9,7.0,2.4
58,USGS,02110550,2016-11-27,12.6,1.95,2.5,2.9,1.70,6.8,2.13,7.0,12.3,0.00,12.0,6.9,2.2
59,USGS,02110550,2016-11-28,12.4,2.07,2.2,2.8,1.90,6.7,2.17,6.8,12.0,0.00,11.7,6.7,2.0
60,USGS,02110550,2016-11-29,13.3,2.08,2.5,3.6,1.88,6.6,2.22,6.7,12.7,0.03,12.2,6.7,2.0
61,USGS,02110550,2016-11-30,14.3,1.94,3.1,4.0,1.71,6.4,2.10,6.7,13.7,0.09,13.3,6.5,2.0
62,USGS,02110550,2016-12-01,14.9,1.74,3.9,5.2,1.44,6.2,1.97,6.5,14.6,0.28,14.3,6.3,2.7
63,USGS,02110550,2016-12-02,14.8,1.35,3.5,5.8,0.97,5.8,1.64,6.3,14.4,0.00,14.2,6.1,2.0
64,USGS,02110550,2016-12-03,14.3,1.36,3.0,5.0,0.99,5.6,1.68,6.0,13.7,0.00,13.4,5.9,1.3
65,USGS,02110550,2016-12-04,13.5,1.50,1.5,2.3,1.18,5.7,1.80,6.1,13.1,0.10,12.8,6.0,1.2
66,USGS,02110550,2016-12-05,12.9,1.79,1.9,3.1,1.50,6.1,1.96,6.6,12.8,1.21,12.7,6.4,1.0
67,USGS,02110550,2016-12-06,12.9,2.26,3.8,7.4,1.74,6.6,2.76,7.1,12.7,0.96,12.5,7.0,2.0
68,USGS,02110550,2016-12-07,13.3,2.86,5.0,7.4,2.76,6.8,2.94,7.1,13.0,0.00,12.7,7.0,3.2
69,USGS,02110550,2016-12-08,13.2,2.96,5.7,7.1,2.92,6.8,3.00,6.9,13.0,0.00,12.9,6.8,4.6
70,USGS,02110550,2016-12-09,12.9,2.91,5.9,6.7,2.82,6.9,3.00,7.1,12.2,0.00,11.5,6.9,5.4
71,USGS,02110550,2016-12-10,11.5,2.79,6.1,6.7,2.70,7.1,2.87,7.5,10.7,0.00,10.0,7.3,5.4
72,USGS,02110550,2016-12-11,10.0,2.69,4.9,5.7,2.59,7.5,2.76,8.0,9.5,0.00,9.2,7.8,4.3
73,USGS,02110550,2016-12-12,10.0,2.74,4.5,5.5,2.59,8.0,2.86,8.3,9.6,0.29,9.2,8.2,4.2
74,USGS,02110550,2016-12-13,10.5,2.91,5.0,5.8,2.79,8.2,3.06,8.4,10.2,0.16,9.9,8.3,4.6
75,USGS,02110550,2016-12-14,11.3,3.21,5.6,6.3,3.05,8.1,3.38,8.2,11.0,0.19,10.5,8.1,4.9
