,agency_cd,site_no,datetime,Dissolved oxygen_Min,"Turbidity, water_Mean",Gage height_Mean,Dissolved oxygen_Mean,Precipitation,"Turbidity, water_Min",Gage height_Max,Dissolved oxygen_Max,Gage height_Min,"Turbidity, water_Max",Temperature_Max,Temperature_Mean,Temperature_Min
0,USGS,02110701,2017-05-26,3.8,16.4,10.88,4.4,0.00,12.6,11.39,5.1,9.91,20.1,24.2,23.1,22.5
1,USGS,02110701,2017-05-27,3.0,12.2,11.01,3.9,0.00,9.9,11.36,4.7,10.38,15.8,24.3,23.2,22.7
2,USGS,02110701,2017-05-28,2.0,8.5,11.19,2.9,0.21,6.5,11.46,4.3,10.67,11.8,25.5,23.8,23.4
3,USGS,02110701,2017-05-29,2.6,10.3,11.24,3.4,0.35,7.6,11.50,4.4,10.67,14.6,26.8,25.4,25.0
4,USGS,02110701,2017-05-30,3.9,32.3,11.33,4.3,0.32,12.5,11.56,4.8,10.93,43.5,27.0,25.5,24.4
5,USGS,02110701,2017-05-31,1.4,23.8,11.28,3.1,0.00,16.5,11.51,4.5,10.86,29.1,26.5,26.2,25.5
6,USGS,02110701,2017-06-01,1.3,15.7,11.17,2.4,0.00,11.3,11.43,3.4,10.63,19.3,26.2,25.7,25.5
7,USGS,02110701,2017-06-02,1.1,13.2,11.15,2.5,0.00,9.6,11.43,4.3,10.63,16.9,26.6,25.9,25.6
8,USGS,02110701,2017-06-03,1.1,11.1,11.23,2.5,0.00,8.7,11.50,3.9,10.81,14.1,27.0,26.2,26.0
9,USGS,02110701,2017-06-04,1.2,9.4,11.39,2.1,0.00,7.4,11.55,4.2,11.14,12.4,26.8,26.2,25.9
10,USGS,02110701,2017-06-05,0.4,7.9,11.54,1.2,0.44,6.2,11.65,2.0,11.39,10.4,27.1,26.4,26.0
11,USGS,02110701,2017-06-06,1.3,9.9,11.47,2.9,0.27,6.8,11.73,4.4,11.03,14.0,27.0,26.6,26.4
