,agency_cd,site_no,datetime,Temperature_Max,Temperature_Min,Temperature_Mean,"Turbidity, water_Min",Dissolved oxygen_Mean,Gage height_Min,"Turbidity, water_Max",Dissolved oxygen_Max,Gage height_Mean,Gage height_Max,Dissolved oxygen_Min,"Turbidity, water_Mean"
0,USGS,02110704,2016-09-30,24.7,24.3,24.5,3.3,3.2,8.81,4.6,3.3,8.91,8.99,3.1,3.7
1,USGS,02110704,2016-10-01,24.6,24.2,24.4,3.5,3.4,8.78,4.6,3.5,8.84,8.88,3.2,4.1
2,USGS,02110704,2016-10-02,24.6,24.1,24.3,3.9,3.4,8.77,5.1,3.6,8.83,8.88,3.3,4.4
3,USGS,02110704,2016-10-03,24.2,23.8,24.0,4.2,3.6,8.74,5.3,3.7,8.80,8.85,3.5,4.5
4,USGS,02110704,2016-10-04,23.9,23.1,23.5,3.9,3.8,8.74,4.8,4.0,8.80,8.86,3.6,4.3
5,USGS,02110704,2016-10-05,23.1,22.5,22.8,3.7,4.0,8.78,5.2,4.2,8.84,8.89,3.9,4.0
6,USGS,02110704,2016-10-06,22.5,22.0,22.2,3.6,4.3,8.78,4.4,4.4,8.84,8.90,4.1,4.0
7,USGS,02110704,2016-10-07,22.0,21.8,21.9,3.6,4.5,8.84,4.3,4.9,8.96,9.16,4.3,3.9
8,USGS,02110704,2016-10-08,23.6,22.0,22.9,3.7,5.7,9.16,75.0,6.2,11.26,13.55,4.8,38.2
9,USGS,02110704,2016-10-09,23.1,22.1,22.5,19.0,4.8,13.55,41.0,5.5,14.59,15.10,4.4,28.2
10,USGS,02110704,2016-10-10,22.1,20.6,21.2,7.9,3.9,14.78,20.0,4.4,14.96,15.11,3.0,12.9
11,USGS,02110704,2016-10-11,20.7,19.9,20.2,7.6,2.9,14.67,8.8,3.4,14.76,14.84,2.5,8.0
12,USGS,02110704,2016-10-12,,,,,,14.75,,,14.97,15.28,,
13,USGS,02110704,2016-10-13,,,,,,15.27,,,15.65,16.02,,
14,USGS,02110704,2016-10-14,,,,,,16.00,,,16.37,16.69,,
15,USGS,02110704,2016-10-15,,,,,,16.68,,,17.00,17.30,,
16,USGS,02110704,2016-10-16,,,,,,17.21,,,17.49,17.68,,
17,USGS,02110704,2016-10-17,,,,,,17.56,,,17.77,17.86,,
18,USGS,02110704,2016-10-18,,,,,,17.75,,,17.84,17.89,,
19,USGS,02110704,2016-10-19,,,,,,17.55,,,17.70,17.82,,
20,USGS,02110704,2016-10-20,,,,,,17.13,,,17.39,17.58,,
21,USGS,02110704,2016-10-21,,,,,,16.69,,,16.94,17.18,,
22,USGS,02110704,2016-10-22,,,,,,16.08,,,16.39,16.69,,
23,USGS,02110704,2016-10-23,,,,,,15.38,,,15.74,16.08,,
24,USGS,02110704,2016-10-24,,,,,,14.79,,,15.10,15.40,,
25,USGS,02110704,2016-10-25,,,,,,14.20,,,14.51,14.82,,
26,USGS,02110704,2016-10-26,,,,,,13.63,,,13.93,14.23,,
27,USGS,02110704,2016-10-27,,,,,,13.14,,,13.38,13.68,,
28,USGS,02110704,2016-10-28,,,,,,12.71,,,12.92,13.15,,
29,USGS,02110704,2016-10-29,,,,,,12.31,,,12.52,12.74,,
30,USGS,02110704,2016-10-30,,,,,,11.89,,,12.14,12.35,,
31,USGS,02110704,2016-10-31,,,,,,11.58,,,11.78,11.97,,
32,USGS,02110704,2016-11-01,,,,,,11.22,,,11.41,11.59,,
33,USGS,02110704,2016-11-02,,,,,,10.91,,,11.08,11.25,,
34,USGS,02110704,2016-11-03,***,***,***,***,2.0,10.55,***,2.1,10.74,10.92,1.9,***
35,USGS,02110704,2016-11-04,19.3,18.9,19.1,1.5,1.9,10.17,2.1,2.0,10.36,10.56,1.9,1.7
36,USGS,02110704,2016-11-05,18.9,18.0,18.5,1.7,2.0,9.83,,2.1,9.99,10.17,1.9,
37,USGS,02110704,2016-11-06,18.0,17.1,17.5,,2.1,9.54,,2.3,9.69,9.85,2.0,
38,USGS,02110704,2016-11-07,17.1,16.3,16.7,,2.4,9.20,,2.6,9.35,9.54,2.1,
39,USGS,02110704,2016-11-08,16.3,15.5,15.9,,2.7,8.97,,2.9,9.07,9.21,2.5,
40,USGS,02110704,2016-11-09,15.5,14.8,15.2,1.5,3.1,8.80,2.4,3.4,8.90,9.01,2.9,1.8
