,agency_cd,site_no,datetime,Gage height_Mean,Dissolved oxygen_Max,Gage height_Max,Temperature_Max,Dissolved oxygen_Mean,Dissolved oxygen_Min,Temperature_Mean,Gage height_Min,Temperature_Min
0,USGS,02110777,2016-09-30,13.53,4.9,15.77,27.6,4.7,4.3,26.9,11.27,26.5
1,USGS,02110777,2016-10-01,13.63,4.9,15.97,27.1,4.7,4.4,26.9,11.39,26.6
2,USGS,02110777,2016-10-02,13.58,4.9,15.78,27.0,4.7,4.3,26.7,11.36,26.4
3,USGS,02110777,2016-10-03,13.55,4.8,15.83,26.8,4.7,4.3,26.3,11.45,25.8
4,USGS,02110777,2016-10-04,13.73,5.1,15.98,26.3,4.7,4.2,25.7,11.64,25.2
5,USGS,02110777,2016-10-05,13.85,5.4,16.07,25.8,5.0,4.4,24.7,11.91,24.3
6,USGS,02110777,2016-10-06,13.89,5.6,16.12,25.0,5.2,4.4,24.1,11.92,23.6
7,USGS,02110777,2016-10-07,14.40,5.9,16.38,24.3,5.4,4.8,24.0,12.40,23.4
8,USGS,02110777,2016-10-08,16.06,,19.28,,,,,12.35,
9,USGS,02110777,2016-10-09,13.79,,15.64,,,,,12.39,
10,USGS,02110777,2016-10-10,14.53,,16.90,,,,,12.90,
11,USGS,02110777,2016-10-11,14.53,4.8,16.73,21.2,4.4,3.7,20.9,12.53,20.6
12,USGS,02110777,2016-10-12,14.58,3.8,16.95,21.0,3.4,3.0,20.7,12.40,20.4
13,USGS,02110777,2016-10-13,14.51,3.0,17.05,21.2,2.6,2.3,20.8,12.27,20.4
14,USGS,02110777,2016-10-14,14.70,2.4,17.32,21.1,2.2,2.1,20.8,12.24,20.5
15,USGS,02110777,2016-10-15,14.90,2.1,17.28,20.9,1.9,1.7,20.7,12.49,20.4
16,USGS,02110777,2016-10-16,14.97,1.8,17.66,21.0,1.6,1.5,20.7,12.49,20.3
17,USGS,02110777,2016-10-17,15.07,1.6,17.81,21.2,1.5,1.4,20.8,12.62,20.5
18,USGS,02110777,2016-10-18,14.95,1.5,17.85,21.4,1.5,1.4,21.0,12.67,20.7
19,USGS,02110777,2016-10-19,14.72,1.6,17.61,21.7,1.5,1.4,21.3,12.56,20.9
20,USGS,02110777,2016-10-20,14.61,1.5,17.24,22.0,1.4,1.2,21.5,12.54,21.2
21,USGS,02110777,2016-10-21,14.54,1.5,17.24,22.0,1.3,1.2,21.7,12.74,21.3
22,USGS,02110777,2016-10-22,14.17,1.9,16.50,21.5,1.6,1.4,21.0,12.18,20.6
23,USGS,02110777,2016-10-23,14.32,1.8,16.70,20.6,1.7,1.6,20.2,12.67,19.9
24,USGS,02110777,2016-10-24,13.99,2.1,15.81,20.0,1.8,1.6,19.7,12.09,19.3
25,USGS,02110777,2016-10-25,14.08,2.4,16.26,19.5,2.1,1.9,19.3,12.06,19.0
26,USGS,02110777,2016-10-26,13.90,2.6,15.86,19.3,2.3,2.1,19.0,11.79,18.7
27,USGS,02110777,2016-10-27,13.78,2.5,15.88,19.3,2.3,2.1,19.0,11.71,18.8
28,USGS,02110777,2016-10-28,13.58,2.3,15.70,19.7,2.2,2.0,19.4,11.42,19.0
29,USGS,02110777,2016-10-29,13.70,2.9,16.05,20.0,2.4,2.0,19.6,11.50,19.1
30,USGS,02110777,2016-10-30,13.49,2.9,15.89,20.3,2.6,2.3,19.8,11.33,19.4
31,USGS,02110777,2016-10-31,13.51,3.2,15.82,20.5,2.8,2.3,20.1,11.14,19.8
32,USGS,02110777,2016-11-01,13.80,4.3,16.35,20.8,3.4,3.0,20.2,11.61,19.9
33,USGS,02110777,2016-11-02,13.38,3.6,15.86,20.6,3.3,3.0,20.1,11.39,19.7
34,USGS,02110777,2016-11-03,13.20,3.6,15.46,20.8,3.1,2.6,20.3,11.34,19.9
35,USGS,02110777,2016-11-04,13.19,3.9,15.14,20.8,3.2,2.7,20.4,11.39,20.2
36,USGS,02110777,2016-11-05,13.67,4.7,15.77,20.6,3.8,3.3,19.7,11.74,19.3
37,USGS,02110777,2016-11-06,13.36,4.7,15.45,20.0,4.1,3.8,19.0,11.71,18.5
38,USGS,02110777,2016-11-07,13.34,5.1,15.46,19.1,4.4,4.0,18.4,11.66,18.0
39,USGS,02110777,2016-11-08,13.66,5.6,15.82,18.8,4.8,4.2,18.0,11.70,17.5
40,USGS,02110777,2016-11-09,13.62,5.6,15.78,18.0,4.9,4.5,17.6,11.24,17.0
41,USGS,02110777,2016-11-10,13.56,5.8,15.78,17.2,5.1,4.7,16.9,11.12,16.6
