,agency_cd,site_no,datetime,Temperature_Max,Gage height_Max,Temperature_Mean,Temperature_Min,Dissolved oxygen_Max,Gage height_Min,Dissolved oxygen_Mean,Gage height_Mean,Dissolved oxygen_Min
0,USGS,02110802,2016-09-30,25.6,17.68,25.0,24.7,2.9,15.55,2.7,16.85,2.5
1,USGS,02110802,2016-10-01,25.3,17.82,24.9,24.4,3.0,15.77,2.6,17.06,2.3
2,USGS,02110802,2016-10-02,25.4,17.79,24.9,24.5,2.8,15.92,2.4,17.10,2.2
3,USGS,02110802,2016-10-03,25.2,17.78,24.6,24.2,2.7,15.94,2.4,17.09,2.2
4,USGS,02110802,2016-10-04,24.7,17.92,24.2,23.8,4.0,16.17,2.6,17.27,2.1
5,USGS,02110802,2016-10-05,23.9,17.91,23.4,23.1,3.5,16.46,3.0,17.34,2.5
6,USGS,02110802,2016-10-06,23.1,17.95,22.8,22.5,3.8,16.37,3.1,17.33,2.8
7,USGS,02110802,2016-10-07,23.0,18.12,22.7,22.4,4.1,16.74,3.6,17.56,2.8
8,USGS,02110802,2016-10-08,23.5,20.26,23.2,22.9,6.3,17.56,5.3,19.40,3.8
9,USGS,02110802,2016-10-09,23.2,19.77,22.6,22.0,5.4,18.83,4.2,19.17,3.0
10,USGS,02110802,2016-10-10,22.1,19.66,21.5,21.1,3.2,18.81,2.7,19.15,2.3
11,USGS,02110802,2016-10-11,21.1,20.18,20.7,20.4,2.3,19.48,2.0,19.77,1.5
12,USGS,02110802,2016-10-12,20.8,21.03,20.4,20.1,1.7,20.13,1.3,20.46,0.5
13,USGS,02110802,2016-10-13,20.6,21.93,20.3,20.2,1.1,21.03,0.6,21.40,0.3
14,USGS,02110802,2016-10-14,,,,,,,,,
15,USGS,02110802,2016-10-15,,,,,,,,,
16,USGS,02110802,2016-10-16,,,,,,,,,
17,USGS,02110802,2016-10-17,,,,,,,,,
18,USGS,02110802,2016-10-18,,,,,,,,,
19,USGS,02110802,2016-10-19,,,,,,,,,
20,USGS,02110802,2016-10-20,,,,,,,,,
21,USGS,02110802,2016-10-21,,,,,,,,,
22,USGS,02110802,2016-10-22,,22.40,,,,21.66,,21.99,
23,USGS,02110802,2016-10-23,,21.66,,,,21.02,,21.30,
24,USGS,02110802,2016-10-24,,21.02,,,,20.27,,20.60,
25,USGS,02110802,2016-10-25,,20.27,,,,19.66,,19.91,
26,USGS,02110802,2016-10-26,,19.79,,,,19.08,,19.38,
27,USGS,02110802,2016-10-27,18.9,19.21,18.6,18.3,1.5,18.44,1.3,18.80,1.0
28,USGS,02110802,2016-10-28,19.3,18.69,18.9,18.5,1.5,17.84,1.2,18.26,0.8
29,USGS,02110802,2016-10-29,19.5,18.43,19.1,18.8,1.4,17.49,1.2,17.96,0.9
30,USGS,02110802,2016-10-30,20.0,18.27,19.2,18.8,1.5,17.10,1.2,17.74,0.9
31,USGS,02110802,2016-10-31,19.9,,19.4,19.1,1.3,,1.2,,0.8
32,USGS,02110802,2016-11-01,19.9,,19.6,19.3,1.4,,1.2,,0.9
33,USGS,02110802,2016-11-02,19.8,18.07,19.4,19.0,1.2,16.55,1.1,17.41,0.9
34,USGS,02110802,2016-11-03,20.5,17.83,19.6,19.1,1.5,15.78,1.2,16.97,0.9
