,agency_cd,site_no,datetime,Temperature_Max,Temperature_Min,Temperature_Mean,Gage height_Mean,Gage height_Max,Gage height_Min
0,USGS,021108125,2016-09-30,26.6,25.4,25.8,5.45,6.92,3.52
1,USGS,021108125,2016-10-01,26.2,25.2,25.6,5.71,7.16,3.75
2,USGS,021108125,2016-10-02,25.9,25.1,25.5,5.73,7.10,3.87
3,USGS,021108125,2016-10-03,25.7,24.6,25.2,5.73,7.07,3.93
4,USGS,021108125,2016-10-04,25.4,24.6,24.9,6.02,7.30,4.27
5,USGS,021108125,2016-10-05,24.6,23.8,24.2,6.12,7.30,4.63
6,USGS,021108125,2016-10-06,24.0,23.2,23.5,6.15,7.37,4.64
7,USGS,021108125,2016-10-07,23.7,23.0,23.4,6.51,7.58,4.98
8,USGS,021108125,2016-10-08,24.1,23.4,23.7,8.13,9.64,6.32
9,USGS,021108125,2016-10-09,23.4,21.7,22.6,6.43,7.54,5.33
10,USGS,021108125,2016-10-10,22.1,20.4,21.5,7.22,8.41,5.88
11,USGS,021108125,2016-10-11,20.8,19.7,20.4,7.53,8.52,6.60
12,USGS,021108125,2016-10-12,20.7,19.9,20.3,7.84,8.93,6.89
13,USGS,021108125,2016-10-13,20.8,20.2,20.5,8.21,9.12,7.46
14,USGS,021108125,2016-10-14,20.8,20.2,20.5,8.73,9.66,7.94
15,USGS,021108125,2016-10-15,20.8,20.3,20.5,9.33,9.99,8.68
16,USGS,021108125,2016-10-16,20.9,20.2,20.5,9.63,10.22,9.05
17,USGS,021108125,2016-10-17,21.0,20.3,20.6,9.72,10.39,9.17
18,USGS,021108125,2016-10-18,21.2,20.4,20.7,9.65,10.27,9.17
19,USGS,021108125,2016-10-19,21.4,20.6,20.9,9.33,9.94,8.82
20,USGS,021108125,2016-10-20,21.4,20.8,21.1,8.95,9.56,8.42
21,USGS,021108125,2016-10-21,21.5,20.9,21.2,8.67,9.34,7.92
22,USGS,021108125,2016-10-22,20.9,19.5,20.4,7.97,8.67,7.27
23,USGS,021108125,2016-10-23,19.9,18.7,19.5,7.78,8.51,7.08
24,USGS,021108125,2016-10-24,19.4,18.1,19.0,7.25,7.92,6.38
25,USGS,021108125,2016-10-25,19.4,18.4,18.9,7.09,8.12,6.12
26,USGS,021108125,2016-10-26,19.4,18.2,18.6,6.85,7.76,5.66
27,USGS,021108125,2016-10-27,19.3,18.4,18.6,6.48,7.56,5.13
28,USGS,021108125,2016-10-28,19.6,18.4,18.7,6.13,7.33,4.57
29,USGS,021108125,2016-10-29,20.0,18.8,19.1,6.10,7.41,4.39
30,USGS,021108125,2016-10-30,19.9,18.8,19.2,5.90,7.28,4.19
31,USGS,021108125,2016-10-31,20.6,19.1,19.6,5.69,7.22,3.78
32,USGS,021108125,2016-11-01,20.0,19.4,19.6,6.22,7.58,4.67
33,USGS,021108125,2016-11-02,20.2,19.3,19.7,5.76,7.22,4.12
34,USGS,021108125,2016-11-03,20.6,19.4,19.9,5.37,6.93,3.60
35,USGS,021108125,2016-11-04,20.1,19.6,19.9,5.31,6.77,3.31
36,USGS,021108125,2016-11-05,19.6,18.6,19.2,5.89,7.20,4.32
37,USGS,021108125,2016-11-06,19.1,18.0,18.6,5.62,7.04,3.96
38,USGS,021108125,2016-11-07,18.5,17.5,18.0,5.57,6.98,3.84
