,agency_cd,site_no,datetime,Temperature_Min,Dissolved oxygen_Min,Gage height_Min,Gage height_Mean,Temperature_Max,Temperature_Mean,Gage height_Max,Dissolved oxygen_Mean,Dissolved oxygen_Max
0,USGS,02110815,2016-09-30,25.8,3.4,14.22,16.32,26.4,26.0,18.03,3.6,3.7
1,USGS,02110815,2016-10-01,25.7,3.4,14.43,16.57,26.3,26.0,18.32,3.5,3.6
2,USGS,02110815,2016-10-02,25.5,3.4,14.52,16.58,26.3,25.8,18.23,3.5,3.5
3,USGS,02110815,2016-10-03,25.1,3.4,14.60,16.59,25.9,25.5,18.20,3.7,3.8
4,USGS,02110815,2016-10-04,24.9,3.7,14.98,16.90,25.6,25.2,18.49,4.2,4.6
5,USGS,02110815,2016-10-05,24.2,4.6,15.43,17.00,24.9,24.5,18.48,4.8,5.2
6,USGS,02110815,2016-10-06,23.6,4.8,15.38,17.05,24.3,23.8,18.56,5.1,5.5
7,USGS,02110815,2016-10-07,23.3,4.7,15.75,17.49,24.0,23.7,18.81,5.1,5.6
8,USGS,02110815,2016-10-08,23.1,5.4,16.21,18.87,24.2,23.9,20.93,6.2,6.9
9,USGS,02110815,2016-10-09,22.2,3.7,15.52,16.89,23.1,22.7,18.48,4.7,5.4
10,USGS,02110815,2016-10-10,21.0,2.8,16.60,17.92,22.2,21.8,19.33,3.4,3.8
11,USGS,02110815,2016-10-11,20.3,2.4,16.73,18.09,21.1,20.6,19.36,2.6,3.0
12,USGS,02110815,2016-10-12,20.2,2.1,16.84,18.23,20.7,20.4,19.73,2.8,2.9
13,USGS,02110815,2016-10-13,20.4,2.8,16.97,18.30,20.9,20.6,19.77,3.2,3.4
14,USGS,02110815,2016-10-14,20.3,2.9,17.19,18.58,20.9,20.5,20.10,3.4,3.6
15,USGS,02110815,2016-10-15,20.3,2.9,17.78,18.99,21.1,20.6,20.23,3.3,3.5
16,USGS,02110815,2016-10-16,20.2,2.7,17.93,19.12,21.2,20.6,20.50,3.0,3.3
17,USGS,02110815,2016-10-17,20.3,2.4,17.99,19.17,21.4,20.7,20.56,2.8,3.0
18,USGS,02110815,2016-10-18,20.4,2.2,18.00,19.09,21.5,20.8,20.50,2.5,2.8
19,USGS,02110815,2016-10-19,20.6,1.9,17.70,18.79,21.6,21.0,20.21,2.3,2.7
20,USGS,02110815,2016-10-20,20.8,1.8,17.36,18.54,21.9,21.1,19.93,2.3,2.6
21,USGS,02110815,2016-10-21,21.0,1.9,17.23,18.43,21.7,21.2,19.87,2.3,2.5
22,USGS,02110815,2016-10-22,20.2,2.1,16.54,17.83,21.2,20.6,19.27,2.3,2.5
23,USGS,02110815,2016-10-23,19.3,2.2,16.73,17.94,20.2,19.7,19.27,2.3,2.4
24,USGS,02110815,2016-10-24,18.9,2.2,16.07,17.50,19.5,19.2,18.62,2.3,2.4
25,USGS,02110815,2016-10-25,18.7,2.2,15.97,17.55,19.2,19.1,19.02,2.4,2.5
26,USGS,02110815,2016-10-26,18.4,2.2,15.81,17.37,18.9,18.7,18.68,2.4,2.5
27,USGS,02110815,2016-10-27,18.4,2.2,15.39,17.06,18.8,18.6,18.50,2.4,2.5
28,USGS,02110815,2016-10-28,18.4,2.0,14.97,16.79,19.3,18.8,18.31,2.3,2.5
29,USGS,02110815,2016-10-29,18.8,2.1,14.84,16.85,19.6,19.1,18.48,2.2,2.5
30,USGS,02110815,2016-10-30,19.0,2.3,14.73,16.64,19.8,19.3,18.35,2.5,2.6
31,USGS,02110815,2016-10-31,19.2,2.4,14.38,16.50,20.0,19.5,18.32,2.6,2.8
32,USGS,02110815,2016-11-01,19.6,2.5,15.30,17.06,20.3,19.8,18.76,2.8,3.0
33,USGS,02110815,2016-11-02,19.6,2.6,14.77,16.58,20.4,20.0,18.34,2.7,2.8
34,USGS,02110815,2016-11-03,19.7,2.6,14.36,16.22,20.7,20.1,18.00,2.7,2.8
