,agency_cd,site_no,datetime,Gage height_Mean,Precipitation,Gage height_Max,Gage height_Min
0,USGS,02130561,2016-09-30,62.13,,62.38,61.41
1,USGS,02130561,2016-10-01,58.08,,61.41,56.15
2,USGS,02130561,2016-10-02,55.73,,56.15,55.54
3,USGS,02130561,2016-10-03,55.61,,56.12,55.11
4,USGS,02130561,2016-10-04,54.75,,55.11,54.55
5,USGS,02130561,2016-10-05,54.35,,54.55,54.19
6,USGS,02130561,2016-10-06,54.13,,54.20,54.06
7,USGS,02130561,2016-10-07,55.08,,56.05,54.07
8,USGS,02130561,2016-10-08,63.90,,77.74,56.05
9,USGS,02130561,2016-10-09,82.20,,83.62,77.74
10,USGS,02130561,2016-10-10,82.37,,83.56,80.25
11,USGS,02130561,2016-10-11,77.37,,80.25,73.64
12,USGS,02130561,2016-10-12,69.87,,73.64,66.69
13,USGS,02130561,2016-10-13,64.19,,66.69,62.06
14,USGS,02130561,2016-10-14,60.24,,62.06,58.76
15,USGS,02130561,2016-10-15,57.88,,58.76,57.50
16,USGS,02130561,2016-10-16,56.89,,57.50,56.42
17,USGS,02130561,2016-10-17,56.04,,56.42,55.83
18,USGS,02130561,2016-10-18,55.76,,55.85,55.69
19,USGS,02130561,2016-10-19,55.71,,56.18,55.47
20,USGS,02130561,2016-10-20,56.05,,56.19,55.92
21,USGS,02130561,2016-10-21,55.69,,56.09,55.41
22,USGS,02130561,2016-10-22,55.06,,55.41,54.81
23,USGS,02130561,2016-10-23,54.68,,54.82,54.58
24,USGS,02130561,2016-10-24,54.73,,54.84,54.57
25,USGS,02130561,2016-10-25,54.51,,54.57,54.48
26,USGS,02130561,2016-10-26,54.47,,54.51,54.43
27,USGS,02130561,2016-10-27,54.66,,54.74,54.51
28,USGS,02130561,2016-10-28,54.43,,54.63,54.33
29,USGS,02130561,2016-10-29,54.33,,54.39,54.28
30,USGS,02130561,2016-10-30,54.25,,54.29,54.20
31,USGS,02130561,2016-10-31,,,,
32,USGS,02130561,2016-11-01,54.35,0.00,54.64,54.27
33,USGS,02130561,2016-11-02,54.66,0.00,54.79,54.57
34,USGS,02130561,2016-11-03,54.71,0.00,54.82,54.56
35,USGS,02130561,2016-11-04,54.62,0.00,54.93,54.44
36,USGS,02130561,2016-11-05,54.32,0.00,54.85,54.12
37,USGS,02130561,2016-11-06,54.06,0.00,54.13,54.00
38,USGS,02130561,2016-11-07,53.98,0.00,54.00,53.95
39,USGS,02130561,2016-11-08,53.95,0.00,53.97,53.94
40,USGS,02130561,2016-11-09,53.97,0.00,54.01,53.94
41,USGS,02130561,2016-11-10,53.97,0.00,54.02,53.92
42,USGS,02130561,2016-11-11,54.07,0.00,54.11,53.96
43,USGS,02130561,2016-11-12,54.18,0.00,54.28,54.08
44,USGS,02130561,2016-11-13,54.04,0.75,54.21,53.94
45,USGS,02130561,2016-11-14,54.19,0.02,54.34,54.04
46,USGS,02130561,2016-11-15,54.40,0.00,54.70,54.33
47,USGS,02130561,2016-11-16,55.39,0.00,55.74,54.70
48,USGS,02130561,2016-11-17,55.19,0.00,55.46,54.90
49,USGS,02130561,2016-11-18,54.64,0.00,54.90,54.46
50,USGS,02130561,2016-11-19,54.31,0.00,54.46,54.10
51,USGS,02130561,2016-11-20,54.01,0.00,54.10,53.90
52,USGS,02130561,2016-11-21,53.92,0.00,54.01,53.81
53,USGS,02130561,2016-11-22,54.42,0.00,54.84,53.84
54,USGS,02130561,2016-11-23,54.69,0.00,54.88,54.47
55,USGS,02130561,2016-11-24,54.41,0.00,54.64,54.23
56,USGS,02130561,2016-11-25,54.08,0.00,54.23,54.01
57,USGS,02130561,2016-11-26,53.96,0.00,54.01,53.92
58,USGS,02130561,2016-11-27,53.87,0.00,53.94,53.75
59,USGS,02130561,2016-11-28,53.84,0.00,53.94,53.63
60,USGS,02130561,2016-11-29,53.77,0.53,54.50,53.46
61,USGS,02130561,2016-11-30,54.73,0.05,54.82,54.50
62,USGS,02130561,2016-12-01,54.80,0.00,54.86,54.68
63,USGS,02130561,2016-12-02,54.53,0.00,54.68,54.37
64,USGS,02130561,2016-12-03,54.30,0.00,54.37,54.20
65,USGS,02130561,2016-12-04,54.26,0.24,54.29,54.24
66,USGS,02130561,2016-12-05,54.44,0.52,54.61,54.27
67,USGS,02130561,2016-12-06,54.83,0.34,55.01,54.61
68,USGS,02130561,2016-12-07,55.12,0.00,55.24,55.01
69,USGS,02130561,2016-12-08,55.33,0.00,55.43,55.24
70,USGS,02130561,2016-12-09,55.21,0.00,55.52,54.73
71,USGS,02130561,2016-12-10,54.59,0.00,54.91,54.26
72,USGS,02130561,2016-12-11,54.46,0.02,54.71,54.07
73,USGS,02130561,2016-12-12,54.68,0.10,54.78,54.55
74,USGS,02130561,2016-12-13,54.93,0.57,55.19,54.56
75,USGS,02130561,2016-12-14,55.27,0.01,55.70,54.95
76,USGS,02130561,2016-12-15,55.70,0.00,56.18,55.30
77,USGS,02130561,2016-12-16,56.14,0.00,57.88,55.36
78,USGS,02130561,2016-12-17,60.15,0.00,61.32,57.88
79,USGS,02130561,2016-12-18,57.05,0.78,58.78,55.93
80,USGS,02130561,2016-12-19,55.33,0.70,55.93,55.08
81,USGS,02130561,2016-12-20,55.79,0.00,56.75,55.16
82,USGS,02130561,2016-12-21,56.65,0.00,57.10,56.17
83,USGS,02130561,2016-12-22,56.22,0.00,56.50,55.82
84,USGS,02130561,2016-12-23,55.35,0.00,55.82,54.97
85,USGS,02130561,2016-12-24,54.68,0.00,54.97,54.47
86,USGS,02130561,2016-12-25,54.31,0.00,54.47,54.23
87,USGS,02130561,2016-12-26,54.09,0.02,54.23,54.01
88,USGS,02130561,2016-12-27,54.02,0.01,54.04,54.01
89,USGS,02130561,2016-12-28,54.04,0.00,54.05,53.98
90,USGS,02130561,2016-12-29,54.45,0.49,55.23,53.96
91,USGS,02130561,2016-12-30,55.49,0.00,55.81,55.17
92,USGS,02130561,2016-12-31,55.21,0.00,55.57,54.85
93,USGS,02130561,2017-01-01,55.97,0.04,56.23,55.57
94,USGS,02130561,2017-01-02,55.86,0.98,57.98,55.49
95,USGS,02130561,2017-01-03,60.75,0.93,64.16,57.98
96,USGS,02130561,2017-01-04,,0.00,,
97,USGS,02130561,2017-01-05,,0.00,,
98,USGS,02130561,2017-01-06,61.66,0.50,62.62,60.87
99,USGS,02130561,2017-01-07,61.84,0.80,62.64,60.85
100,USGS,02130561,2017-01-08,63.06,0.00,64.06,62.59
101,USGS,02130561,2017-01-09,63.70,0.00,64.48,62.89
102,USGS,02130561,2017-01-10,62.52,0.00,63.06,61.41
103,USGS,02130561,2017-01-11,60.50,0.00,61.41,58.10
104,USGS,02130561,2017-01-12,57.66,0.00,58.25,56.94
105,USGS,02130561,2017-01-13,56.40,0.00,57.54,55.54
106,USGS,02130561,2017-01-14,55.06,0.00,55.54,54.81
107,USGS,02130561,2017-01-15,54.74,0.00,54.81,54.69
108,USGS,02130561,2017-01-16,54.66,0.00,54.70,54.63
109,USGS,02130561,2017-01-17,56.04,0.00,57.93,54.61
110,USGS,02130561,2017-01-18,56.30,0.00,57.94,55.13
111,USGS,02130561,2017-01-19,55.15,0.00,57.50,54.38
112,USGS,02130561,2017-01-20,58.46,0.00,59.46,57.42
113,USGS,02130561,2017-01-21,57.47,0.20,58.70,55.95
114,USGS,02130561,2017-01-22,56.13,0.42,57.67,55.09
115,USGS,02130561,2017-01-23,58.97,0.00,62.40,56.61
116,USGS,02130561,2017-01-24,75.72,0.00,80.92,62.40
117,USGS,02130561,2017-01-25,79.70,0.00,81.16,77.74
118,USGS,02130561,2017-01-26,73.86,0.00,77.90,70.38
119,USGS,02130561,2017-01-27,67.72,0.00,70.38,65.53
120,USGS,02130561,2017-01-28,63.52,0.00,65.53,61.14
121,USGS,02130561,2017-01-29,60.10,0.00,61.14,59.00
122,USGS,02130561,2017-01-30,59.08,0.00,59.59,58.03
123,USGS,02130561,2017-01-31,58.96,0.00,59.50,57.78
124,USGS,02130561,2017-02-01,58.47,0.00,59.40,56.66
125,USGS,02130561,2017-02-02,55.89,0.00,56.66,55.54
126,USGS,02130561,2017-02-03,55.49,0.10,55.54,55.45
127,USGS,02130561,2017-02-04,55.38,0.00,55.45,55.34
128,USGS,02130561,2017-02-05,55.97,0.02,57.61,55.38
129,USGS,02130561,2017-02-06,56.94,0.00,57.90,56.22
130,USGS,02130561,2017-02-07,56.84,0.00,58.01,55.88
131,USGS,02130561,2017-02-08,58.21,0.17,59.33,56.61
132,USGS,02130561,2017-02-09,56.33,0.12,56.61,56.18
133,USGS,02130561,2017-02-10,56.42,0.00,57.52,56.08
134,USGS,02130561,2017-02-11,57.49,0.00,58.50,56.16
135,USGS,02130561,2017-02-12,55.73,0.00,56.16,55.56
136,USGS,02130561,2017-02-13,55.88,0.00,58.17,55.40
137,USGS,02130561,2017-02-14,56.92,0.00,58.51,55.54
138,USGS,02130561,2017-02-15,55.04,0.61,55.54,54.60
139,USGS,02130561,2017-02-16,56.06,0.00,56.92,55.30
140,USGS,02130561,2017-02-17,56.65,0.00,57.59,56.32
141,USGS,02130561,2017-02-18,58.31,0.00,58.80,57.30
142,USGS,02130561,2017-02-19,56.93,0.00,57.40,56.14
143,USGS,02130561,2017-02-20,55.87,0.00,56.14,55.75
144,USGS,02130561,2017-02-21,55.53,0.00,55.75,55.36
145,USGS,02130561,2017-02-22,56.14,0.00,57.55,55.33
146,USGS,02130561,2017-02-23,57.71,0.00,58.35,56.85
147,USGS,02130561,2017-02-24,57.28,0.00,58.02,56.27
148,USGS,02130561,2017-02-25,55.70,0.00,56.27,55.45
149,USGS,02130561,2017-02-26,55.38,0.00,55.45,55.35
150,USGS,02130561,2017-02-27,55.54,0.00,57.07,55.34
151,USGS,02130561,2017-02-28,58.35,0.00,58.57,57.07
152,USGS,02130561,2017-03-01,56.51,0.46,58.40,55.67
153,USGS,02130561,2017-03-02,56.81,0.06,57.79,55.68
154,USGS,02130561,2017-03-03,55.57,0.00,56.17,55.38
155,USGS,02130561,2017-03-04,55.37,0.00,55.40,55.31
156,USGS,02130561,2017-03-05,55.38,0.00,56.19,55.26
157,USGS,02130561,2017-03-06,57.72,0.00,58.28,56.19
158,USGS,02130561,2017-03-07,56.61,0.00,57.92,55.46
159,USGS,02130561,2017-03-08,55.33,0.03,55.46,55.25
160,USGS,02130561,2017-03-09,55.23,0.00,55.26,55.13
161,USGS,02130561,2017-03-10,55.06,0.11,55.13,55.01
162,USGS,02130561,2017-03-11,55.00,0.00,55.03,54.98
163,USGS,02130561,2017-03-12,55.04,0.30,55.08,54.96
164,USGS,02130561,2017-03-13,55.48,0.24,57.24,55.05
165,USGS,02130561,2017-03-14,58.31,0.13,59.33,56.77
166,USGS,02130561,2017-03-15,56.28,0.00,56.94,55.90
167,USGS,02130561,2017-03-16,57.28,0.00,57.44,56.94
168,USGS,02130561,2017-03-17,57.38,0.00,57.68,56.73
169,USGS,02130561,2017-03-18,55.90,0.25,56.73,55.61
170,USGS,02130561,2017-03-19,55.75,0.00,55.84,55.64
171,USGS,02130561,2017-03-20,55.67,0.00,55.79,55.63
172,USGS,02130561,2017-03-21,55.83,0.16,55.99,55.63
173,USGS,02130561,2017-03-22,55.64,0.19,55.69,55.51
174,USGS,02130561,2017-03-23,55.46,0.00,55.60,55.38
175,USGS,02130561,2017-03-24,55.45,0.00,55.68,55.35
176,USGS,02130561,2017-03-25,55.75,0.00,55.87,55.68
177,USGS,02130561,2017-03-26,55.92,0.00,55.94,55.87
178,USGS,02130561,2017-03-27,56.05,0.03,56.71,55.71
179,USGS,02130561,2017-03-28,55.87,0.07,56.36,55.71
180,USGS,02130561,2017-03-29,55.62,0.00,55.72,55.36
181,USGS,02130561,2017-03-30,55.26,0.00,55.36,55.22
