,agency_cd,site_no,datetime,Precipitation,Gage height_Min,Gage height_Mean,Gage height_Max
0,USGS,02130980,2016-09-30,,3.11,3.32,3.49
1,USGS,02130980,2016-10-01,,3.11,3.28,3.44
2,USGS,02130980,2016-10-02,,3.13,3.44,3.75
3,USGS,02130980,2016-10-03,,3.08,3.40,3.75
4,USGS,02130980,2016-10-04,,2.67,2.94,3.08
5,USGS,02130980,2016-10-05,,2.49,2.66,2.91
6,USGS,02130980,2016-10-06,,2.91,3.20,3.54
7,USGS,02130980,2016-10-07,,3.54,3.75,3.86
8,USGS,02130980,2016-10-08,,3.84,12.13,16.46
9,USGS,02130980,2016-10-09,,15.78,15.99,16.27
10,USGS,02130980,2016-10-10,,14.93,15.53,15.85
11,USGS,02130980,2016-10-11,,13.84,14.35,14.93
12,USGS,02130980,2016-10-12,,13.01,13.42,13.84
13,USGS,02130980,2016-10-13,,12.11,12.56,13.01
14,USGS,02130980,2016-10-14,,10.82,11.53,12.11
15,USGS,02130980,2016-10-15,,8.84,9.81,10.82
16,USGS,02130980,2016-10-16,,7.44,8.11,8.84
17,USGS,02130980,2016-10-17,,6.33,6.83,7.44
18,USGS,02130980,2016-10-18,,5.95,6.12,6.33
19,USGS,02130980,2016-10-19,,5.82,5.88,5.95
20,USGS,02130980,2016-10-20,,5.66,5.75,5.82
21,USGS,02130980,2016-10-21,,5.33,5.50,5.66
22,USGS,02130980,2016-10-22,,5.10,5.19,5.33
23,USGS,02130980,2016-10-23,,4.95,5.02,5.10
24,USGS,02130980,2016-10-24,,4.84,4.90,4.95
25,USGS,02130980,2016-10-25,,4.74,4.79,4.85
26,USGS,02130980,2016-10-26,,4.53,4.68,4.74
27,USGS,02130980,2016-10-27,,4.12,4.28,4.53
28,USGS,02130980,2016-10-28,,4.06,4.08,4.12
29,USGS,02130980,2016-10-29,,4.05,4.06,4.07
30,USGS,02130980,2016-10-30,,4.03,4.05,4.06
31,USGS,02130980,2016-10-31,,4.01,4.04,4.13
32,USGS,02130980,2016-11-01,,4.13,4.34,4.44
33,USGS,02130980,2016-11-02,,4.28,4.41,4.45
34,USGS,02130980,2016-11-03,0.00,3.76,3.91,4.28
35,USGS,02130980,2016-11-04,0.00,3.73,3.78,3.80
36,USGS,02130980,2016-11-05,0.00,3.75,3.87,3.94
37,USGS,02130980,2016-11-06,0.00,3.33,3.47,3.75
38,USGS,02130980,2016-11-07,0.00,3.62,4.02,4.24
39,USGS,02130980,2016-11-08,0.00,3.90,4.19,4.27
40,USGS,02130980,2016-11-09,0.00,3.56,3.66,3.90
41,USGS,02130980,2016-11-10,0.00,3.45,3.60,3.76
42,USGS,02130980,2016-11-11,0.00,3.57,3.77,3.97
43,USGS,02130980,2016-11-12,0.00,3.68,3.80,3.90
44,USGS,02130980,2016-11-13,1.03,3.67,3.92,4.64
45,USGS,02130980,2016-11-14,0.01,4.09,4.40,4.64
46,USGS,02130980,2016-11-15,0.00,4.09,4.47,4.71
47,USGS,02130980,2016-11-16,0.00,4.14,4.37,4.63
48,USGS,02130980,2016-11-17,0.00,4.04,4.16,4.27
49,USGS,02130980,2016-11-18,0.00,3.97,4.05,4.13
50,USGS,02130980,2016-11-19,0.00,3.79,3.90,4.00
51,USGS,02130980,2016-11-20,0.00,3.51,3.67,3.91
52,USGS,02130980,2016-11-21,0.00,3.91,4.08,4.13
53,USGS,02130980,2016-11-22,0.00,3.81,4.05,4.12
54,USGS,02130980,2016-11-23,0.00,3.56,3.70,3.81
55,USGS,02130980,2016-11-24,0.00,3.51,3.71,3.94
56,USGS,02130980,2016-11-25,0.00,3.62,3.77,4.03
57,USGS,02130980,2016-11-26,0.00,4.03,4.18,4.24
58,USGS,02130980,2016-11-27,0.00,3.60,3.94,4.22
59,USGS,02130980,2016-11-28,0.00,3.45,3.50,3.60
60,USGS,02130980,2016-11-29,0.04,3.58,3.99,4.21
61,USGS,02130980,2016-11-30,0.14,3.77,3.92,4.06
62,USGS,02130980,2016-12-01,0.00,3.95,4.10,4.30
63,USGS,02130980,2016-12-02,0.00,4.06,4.18,4.30
64,USGS,02130980,2016-12-03,0.01,3.82,3.92,4.19
65,USGS,02130980,2016-12-04,0.08,3.81,4.14,4.61
66,USGS,02130980,2016-12-05,,,,
67,USGS,02130980,2016-12-06,,,,
68,USGS,02130980,2016-12-07,0.00,5.36,5.67,6.07
69,USGS,02130980,2016-12-08,0.00,5.22,5.30,5.47
70,USGS,02130980,2016-12-09,0.00,5.47,5.66,5.77
71,USGS,02130980,2016-12-10,0.00,4.39,4.73,5.58
72,USGS,02130980,2016-12-11,0.02,4.56,4.75,4.87
73,USGS,02130980,2016-12-12,0.12,4.84,4.90,4.93
74,USGS,02130980,2016-12-13,0.74,4.86,5.15,5.52
75,USGS,02130980,2016-12-14,0.16,5.51,5.57,5.62
76,USGS,02130980,2016-12-15,0.00,5.49,5.53,5.59
77,USGS,02130980,2016-12-16,0.00,5.14,5.26,5.51
78,USGS,02130980,2016-12-17,0.00,5.34,5.49,5.56
79,USGS,02130980,2016-12-18,1.08,4.61,5.01,5.48
80,USGS,02130980,2016-12-19,0.83,4.83,6.84,7.68
81,USGS,02130980,2016-12-20,0.00,7.68,7.91,7.98
82,USGS,02130980,2016-12-21,0.00,7.75,7.89,7.96
83,USGS,02130980,2016-12-22,0.00,6.30,7.10,7.75
84,USGS,02130980,2016-12-23,0.00,5.97,6.05,6.30
85,USGS,02130980,2016-12-24,0.00,5.46,5.88,6.07
86,USGS,02130980,2016-12-25,0.00,5.21,5.31,5.46
87,USGS,02130980,2016-12-26,0.00,5.42,5.56,5.63
88,USGS,02130980,2016-12-27,0.00,5.23,5.55,5.63
89,USGS,02130980,2016-12-28,0.00,4.36,4.63,5.23
90,USGS,02130980,2016-12-29,0.54,4.48,5.00,5.40
91,USGS,02130980,2016-12-30,0.00,5.40,5.44,5.47
92,USGS,02130980,2016-12-31,0.00,5.22,5.34,5.42
93,USGS,02130980,2017-01-01,0.04,5.01,5.12,5.22
94,USGS,02130980,2017-01-02,0.79,5.00,5.58,6.42
95,USGS,02130980,2017-01-03,0.57,6.42,7.40,8.20
96,USGS,02130980,2017-01-04,0.00,8.20,8.76,9.13
97,USGS,02130980,2017-01-05,0.00,8.40,8.88,9.13
98,USGS,02130980,2017-01-06,0.47,7.29,7.70,8.40
99,USGS,02130980,2017-01-07,0.33,7.34,7.96,8.56
100,USGS,02130980,2017-01-08,0.00,8.56,9.15,9.65
101,USGS,02130980,2017-01-09,0.00,9.52,9.66,9.72
102,USGS,02130980,2017-01-10,0.00,8.74,9.16,9.52
103,USGS,02130980,2017-01-11,0.00,7.85,8.32,8.74
104,USGS,02130980,2017-01-12,0.00,6.73,7.18,7.85
105,USGS,02130980,2017-01-13,0.00,6.73,7.00,7.49
106,USGS,02130980,2017-01-14,0.00,7.49,7.66,7.76
107,USGS,02130980,2017-01-15,0.00,6.84,7.07,7.50
108,USGS,02130980,2017-01-16,0.00,6.84,6.99,7.12
109,USGS,02130980,2017-01-17,0.00,5.27,6.52,7.12
110,USGS,02130980,2017-01-18,0.00,5.04,5.25,5.62
111,USGS,02130980,2017-01-19,0.00,5.62,5.91,6.05
112,USGS,02130980,2017-01-20,0.00,5.58,5.82,6.03
113,USGS,02130980,2017-01-21,0.50,5.46,5.54,5.78
114,USGS,02130980,2017-01-22,,,,
115,USGS,02130980,2017-01-23,,,,
116,USGS,02130980,2017-01-24,,,,
117,USGS,02130980,2017-01-25,,,,
118,USGS,02130980,2017-01-26,0.00,5.61,5.73,5.87
119,USGS,02130980,2017-01-27,0.00,5.59,5.70,5.83
120,USGS,02130980,2017-01-28,0.00,5.51,5.67,5.82
121,USGS,02130980,2017-01-29,0.00,5.52,5.58,5.63
122,USGS,02130980,2017-01-30,0.00,5.24,5.48,5.65
123,USGS,02130980,2017-01-31,0.00,5.07,5.18,5.24
124,USGS,02130980,2017-02-01,0.00,4.97,5.06,5.21
125,USGS,02130980,2017-02-02,0.01,4.61,4.87,5.21
126,USGS,02130980,2017-02-03,0.09,4.66,4.99,5.25
127,USGS,02130980,2017-02-04,0.00,4.64,5.01,5.26
128,USGS,02130980,2017-02-05,0.00,4.47,4.54,4.65
129,USGS,02130980,2017-02-06,0.00,4.65,4.87,5.00
130,USGS,02130980,2017-02-07,0.00,4.94,5.01,5.05
131,USGS,02130980,2017-02-08,0.27,4.51,4.70,4.94
132,USGS,02130980,2017-02-09,0.41,4.51,4.84,5.11
133,USGS,02130980,2017-02-10,0.00,4.91,5.01,5.12
134,USGS,02130980,2017-02-11,0.00,4.95,5.11,5.20
135,USGS,02130980,2017-02-12,0.00,4.90,4.98,5.08
136,USGS,02130980,2017-02-13,0.00,4.32,4.57,5.03
137,USGS,02130980,2017-02-14,0.00,4.36,4.58,4.74
138,USGS,02130980,2017-02-15,0.87,4.57,5.00,5.72
139,USGS,02130980,2017-02-16,0.00,5.72,6.07,6.19
140,USGS,02130980,2017-02-17,0.00,5.52,5.76,6.08
141,USGS,02130980,2017-02-18,0.00,5.34,5.43,5.52
142,USGS,02130980,2017-02-19,0.00,4.92,5.13,5.34
143,USGS,02130980,2017-02-20,0.00,4.91,5.05,5.19
144,USGS,02130980,2017-02-21,0.00,4.60,4.97,5.20
145,USGS,02130980,2017-02-22,0.00,4.45,4.50,4.62
146,USGS,02130980,2017-02-23,0.00,4.62,4.87,4.99
147,USGS,02130980,2017-02-24,0.00,4.22,4.56,4.98
148,USGS,02130980,2017-02-25,0.00,4.23,4.56,4.86
149,USGS,02130980,2017-02-26,0.00,4.82,4.93,4.97
150,USGS,02130980,2017-02-27,0.00,3.70,4.20,4.82
151,USGS,02130980,2017-02-28,0.00,3.56,3.64,3.87
152,USGS,02130980,2017-03-01,0.09,3.87,4.30,4.50
