,agency_cd,site_no,datetime,Precipitation,Gage height_Max,Gage height_Mean,Gage height_Min
0,USGS,02131500,2016-09-30,,5.51,5.47,5.35
1,USGS,02131500,2016-10-01,,5.57,5.52,5.45
2,USGS,02131500,2016-10-02,,5.45,5.32,5.21
3,USGS,02131500,2016-10-03,,5.21,5.11,5.03
4,USGS,02131500,2016-10-04,,5.03,4.98,4.94
5,USGS,02131500,2016-10-05,,4.94,4.91,4.87
6,USGS,02131500,2016-10-06,,4.87,4.85,4.83
7,USGS,02131500,2016-10-07,,5.02,4.91,4.81
8,USGS,02131500,2016-10-08,,11.09,8.22,5.02
9,USGS,02131500,2016-10-09,,11.58,11.46,11.09
10,USGS,02131500,2016-10-10,,11.87,11.70,11.58
11,USGS,02131500,2016-10-11,,13.60,12.65,11.87
12,USGS,02131500,2016-10-12,,13.68,13.45,13.00
13,USGS,02131500,2016-10-13,,13.00,12.41,11.53
14,USGS,02131500,2016-10-14,,11.53,9.29,7.64
15,USGS,02131500,2016-10-15,,7.64,7.21,6.96
16,USGS,02131500,2016-10-16,,6.96,6.79,6.67
17,USGS,02131500,2016-10-17,,6.67,6.56,6.47
18,USGS,02131500,2016-10-18,,6.47,6.40,6.34
19,USGS,02131500,2016-10-19,,6.34,6.28,6.22
20,USGS,02131500,2016-10-20,,6.22,6.16,6.11
21,USGS,02131500,2016-10-21,,6.11,6.07,6.03
22,USGS,02131500,2016-10-22,,6.03,6.00,5.97
23,USGS,02131500,2016-10-23,,5.97,5.92,5.88
24,USGS,02131500,2016-10-24,,5.88,5.84,5.82
25,USGS,02131500,2016-10-25,,5.82,5.76,5.73
26,USGS,02131500,2016-10-26,,5.73,5.71,5.70
27,USGS,02131500,2016-10-27,,5.72,5.71,5.69
28,USGS,02131500,2016-10-28,,5.69,5.66,5.63
29,USGS,02131500,2016-10-29,,5.63,5.62,5.61
30,USGS,02131500,2016-10-30,,5.64,5.63,5.62
31,USGS,02131500,2016-10-31,,5.63,5.62,5.61
32,USGS,02131500,2016-11-01,0.00,5.63,5.63,5.62
33,USGS,02131500,2016-11-02,0.00,5.63,5.61,5.59
34,USGS,02131500,2016-11-03,0.00,5.66,5.64,5.62
35,USGS,02131500,2016-11-04,0.00,5.62,5.57,5.54
36,USGS,02131500,2016-11-05,0.00,5.54,5.53,5.52
37,USGS,02131500,2016-11-06,0.00,5.53,5.51,5.51
38,USGS,02131500,2016-11-07,0.00,5.51,5.48,5.46
39,USGS,02131500,2016-11-08,0.00,5.47,5.46,5.45
40,USGS,02131500,2016-11-09,0.00,5.49,5.47,5.46
41,USGS,02131500,2016-11-10,0.00,5.48,5.47,5.46
42,USGS,02131500,2016-11-11,0.00,5.48,5.47,5.46
43,USGS,02131500,2016-11-12,0.00,5.48,5.47,5.45
44,USGS,02131500,2016-11-13,0.81,5.62,5.49,5.44
45,USGS,02131500,2016-11-14,0.21,5.92,5.76,5.62
46,USGS,02131500,2016-11-15,0.00,6.27,6.13,5.92
47,USGS,02131500,2016-11-16,0.00,6.28,6.24,6.17
48,USGS,02131500,2016-11-17,0.00,6.17,6.08,5.99
49,USGS,02131500,2016-11-18,0.00,5.99,5.91,5.85
50,USGS,02131500,2016-11-19,0.00,5.85,5.81,5.77
51,USGS,02131500,2016-11-20,0.00,5.77,5.68,5.61
52,USGS,02131500,2016-11-21,0.00,5.61,5.57,5.54
53,USGS,02131500,2016-11-22,0.00,5.55,5.54,5.53
54,USGS,02131500,2016-11-23,0.00,5.63,5.57,5.53
55,USGS,02131500,2016-11-24,0.00,5.65,5.64,5.63
56,USGS,02131500,2016-11-25,0.00,5.70,5.65,5.63
57,USGS,02131500,2016-11-26,0.00,5.74,5.69,5.66
58,USGS,02131500,2016-11-27,0.00,5.75,5.73,5.70
59,USGS,02131500,2016-11-28,0.00,5.70,5.68,5.66
60,USGS,02131500,2016-11-29,0.46,5.77,5.68,5.64
61,USGS,02131500,2016-11-30,0.27,6.45,5.99,5.77
62,USGS,02131500,2016-12-01,0.00,7.24,6.98,6.45
63,USGS,02131500,2016-12-02,0.00,7.29,7.26,7.19
64,USGS,02131500,2016-12-03,0.01,7.19,6.98,6.78
65,USGS,02131500,2016-12-04,0.20,6.78,6.56,6.41
66,USGS,02131500,2016-12-05,0.90,6.84,6.64,6.40
67,USGS,02131500,2016-12-06,0.38,7.80,7.34,6.84
68,USGS,02131500,2016-12-07,0.00,8.13,8.02,7.80
69,USGS,02131500,2016-12-08,0.00,8.13,7.93,7.63
70,USGS,02131500,2016-12-09,0.00,7.63,7.28,6.99
71,USGS,02131500,2016-12-10,0.00,6.99,6.77,6.58
72,USGS,02131500,2016-12-11,0.00,6.58,6.47,6.38
73,USGS,02131500,2016-12-12,0.02,6.39,6.32,6.28
74,USGS,02131500,2016-12-13,0.76,6.81,6.45,6.26
75,USGS,02131500,2016-12-14,0.14,7.54,7.26,6.81
76,USGS,02131500,2016-12-15,0.00,7.55,7.48,7.29
77,USGS,02131500,2016-12-16,0.00,7.29,7.02,6.79
78,USGS,02131500,2016-12-17,0.00,6.79,6.62,6.47
79,USGS,02131500,2016-12-18,0.76,6.47,6.32,6.21
80,USGS,02131500,2016-12-19,0.66,7.46,7.08,6.33
81,USGS,02131500,2016-12-20,0.01,7.75,7.61,7.46
82,USGS,02131500,2016-12-21,0.00,7.78,7.72,7.57
83,USGS,02131500,2016-12-22,0.00,7.57,7.30,7.07
84,USGS,02131500,2016-12-23,0.00,7.07,6.90,6.74
85,USGS,02131500,2016-12-24,0.00,6.74,6.62,6.52
86,USGS,02131500,2016-12-25,0.00,6.52,6.45,6.40
87,USGS,02131500,2016-12-26,0.03,6.40,6.36,6.33
88,USGS,02131500,2016-12-27,0.01,6.33,6.30,6.29
89,USGS,02131500,2016-12-28,0.01,6.38,6.35,6.30
90,USGS,02131500,2016-12-29,0.42,6.46,6.38,6.27
91,USGS,02131500,2016-12-30,0.00,6.67,6.53,6.46
92,USGS,02131500,2016-12-31,0.00,6.93,6.82,6.67
93,USGS,02131500,2017-01-01,0.11,6.93,6.80,6.64
94,USGS,02131500,2017-01-02,0.93,7.73,7.06,6.60
95,USGS,02131500,2017-01-03,0.70,9.77,8.83,7.73
96,USGS,02131500,2017-01-04,0.00,10.62,10.26,9.77
