,agency_cd,site_no,datetime,Gage height_Mean,Precipitation,Gage height_Min,Gage height_Max
0,USGS,02132000,2016-09-30,4.01,0.00,3.84,4.19
1,USGS,02132000,2016-10-01,3.71,0.00,3.63,3.84
2,USGS,02132000,2016-10-02,3.70,0.00,3.63,3.77
3,USGS,02132000,2016-10-03,3.80,0.00,3.77,3.83
4,USGS,02132000,2016-10-04,3.76,0.00,3.66,3.82
5,USGS,02132000,2016-10-05,3.55,0.00,3.45,3.66
6,USGS,02132000,2016-10-06,3.36,0.00,3.30,3.45
7,USGS,02132000,2016-10-07,3.32,1.03,3.26,3.41
8,USGS,02132000,2016-10-08,11.87,10.46,3.41,16.41
9,USGS,02132000,2016-10-09,17.09,0.01,16.41,17.66
10,USGS,02132000,2016-10-10,17.66,0.00,17.43,17.76
11,USGS,02132000,2016-10-11,16.91,0.00,16.30,17.43
12,USGS,02132000,2016-10-12,15.57,0.00,14.82,16.30
13,USGS,02132000,2016-10-13,14.15,0.00,13.53,14.82
14,USGS,02132000,2016-10-14,13.01,0.00,12.55,13.53
15,USGS,02132000,2016-10-15,12.42,0.00,12.35,12.55
16,USGS,02132000,2016-10-16,12.68,0.00,12.55,12.73
17,USGS,02132000,2016-10-17,12.42,0.00,12.06,12.67
18,USGS,02132000,2016-10-18,11.52,0.00,10.91,12.06
19,USGS,02132000,2016-10-19,10.14,0.00,9.30,10.91
20,USGS,02132000,2016-10-20,8.41,0.00,7.62,9.30
21,USGS,02132000,2016-10-21,7.06,0.00,6.61,7.62
22,USGS,02132000,2016-10-22,6.30,0.00,6.04,6.61
23,USGS,02132000,2016-10-23,5.83,0.00,5.65,6.04
24,USGS,02132000,2016-10-24,5.53,0.00,5.40,5.65
25,USGS,02132000,2016-10-25,5.29,0.00,5.20,5.40
26,USGS,02132000,2016-10-26,5.11,0.00,5.01,5.20
27,USGS,02132000,2016-10-27,4.93,0.00,4.85,5.01
28,USGS,02132000,2016-10-28,4.80,0.00,4.76,4.85
29,USGS,02132000,2016-10-29,4.72,0.00,4.68,4.76
30,USGS,02132000,2016-10-30,4.65,0.00,4.60,4.69
31,USGS,02132000,2016-10-31,4.57,0.00,4.52,4.62
32,USGS,02132000,2016-11-01,4.49,0.00,4.45,4.52
33,USGS,02132000,2016-11-02,4.44,0.00,4.43,4.46
34,USGS,02132000,2016-11-03,4.42,0.00,4.38,4.46
35,USGS,02132000,2016-11-04,4.36,0.00,4.33,4.39
36,USGS,02132000,2016-11-05,4.31,0.00,4.28,4.34
37,USGS,02132000,2016-11-06,4.26,0.00,4.21,4.29
38,USGS,02132000,2016-11-07,4.20,0.00,4.16,4.24
39,USGS,02132000,2016-11-08,4.14,0.00,4.11,4.18
40,USGS,02132000,2016-11-09,4.10,0.00,4.08,4.12
41,USGS,02132000,2016-11-10,4.06,0.00,4.03,4.08
42,USGS,02132000,2016-11-11,4.02,0.00,4.00,4.03
43,USGS,02132000,2016-11-12,3.99,0.00,3.96,4.01
44,USGS,02132000,2016-11-13,3.97,0.63,3.91,4.11
45,USGS,02132000,2016-11-14,4.34,0.03,4.11,4.50
46,USGS,02132000,2016-11-15,4.51,0.00,4.48,4.55
47,USGS,02132000,2016-11-16,4.50,0.00,4.47,4.53
48,USGS,02132000,2016-11-17,4.58,0.00,4.52,4.64
49,USGS,02132000,2016-11-18,4.71,0.00,4.64,4.77
50,USGS,02132000,2016-11-19,4.78,0.00,4.75,4.80
51,USGS,02132000,2016-11-20,4.71,0.00,4.64,4.75
52,USGS,02132000,2016-11-21,4.55,0.00,4.47,4.64
53,USGS,02132000,2016-11-22,4.41,0.00,4.33,4.47
54,USGS,02132000,2016-11-23,4.26,0.00,4.17,4.33
55,USGS,02132000,2016-11-24,4.10,0.00,4.04,4.17
56,USGS,02132000,2016-11-25,4.01,0.00,3.98,4.04
57,USGS,02132000,2016-11-26,3.97,0.00,3.96,3.99
