,agency_cd,site_no,datetime,Dissolved oxygen_Min,Gage height_Max,"Turbidity, water_Min",Gage height_Min,Gage height_Mean,Precipitation,Dissolved oxygen_Mean,"Turbidity, water_Max",Dissolved oxygen_Max,Temperature_Max,Temperature_Mean,"Turbidity, water_Mean",Temperature_Min
0,USGS,02135000,2016-09-30,4.9,6.81,1.5,6.74,6.78,0.00,5.0,3.5,5.0,24.9,24.3,2.0,23.7
1,USGS,02135000,2016-10-01,4.8,6.97,2.2,6.81,6.89,0.00,4.9,4.6,5.0,24.4,23.8,3.0,23.3
2,USGS,02135000,2016-10-02,4.9,7.04,1.6,6.97,7.02,0.00,5.0,2.8,5.1,23.9,23.5,2.2,23.1
3,USGS,02135000,2016-10-03,5.1,7.03,1.4,7.01,7.02,0.00,5.2,2.7,5.3,23.3,22.9,1.7,22.4
4,USGS,02135000,2016-10-04,5.2,7.01,1.2,7.00,7.01,0.00,5.3,2.0,5.4,23.0,22.5,1.5,21.9
5,USGS,02135000,2016-10-05,5.4,7.14,1.1,7.01,7.06,0.00,5.5,1.9,5.6,21.9,21.4,1.4,21.2
6,USGS,02135000,2016-10-06,5.6,7.30,1.1,7.14,7.23,0.00,5.7,2.7,5.7,21.2,20.9,1.4,20.7
7,USGS,02135000,2016-10-07,5.4,7.52,0.9,7.30,7.41,1.62,5.6,2.2,5.8,21.8,21.2,1.2,20.9
8,USGS,02135000,2016-10-08,5.2,10.43,0.9,7.52,9.10,11.34,6.3,68.0,7.2,23.0,22.5,26.4,21.8
9,USGS,02135000,2016-10-09,4.3,13.75,14.0,10.43,12.06,0.00,4.6,34.0,5.2,22.1,21.9,25.6,21.6
10,USGS,02135000,2016-10-10,3.9,16.04,13.0,13.75,15.02,0.00,4.2,28.0,4.4,21.7,21.4,17.6,21.0
11,USGS,02135000,2016-10-11,3.0,17.03,9.6,16.04,16.63,0.00,3.5,14.0,4.0,21.2,20.6,12.1,20.1
12,USGS,02135000,2016-10-12,,17.10,,16.97,17.05,0.00,,,,,,,
