,agency_cd,site_no,datetime,Gage height_Min,Precipitation,Gage height_Max,Gage height_Mean
0,USGS,021473415,2016-09-30,2.15,0.00,2.16,2.16
1,USGS,021473415,2016-10-01,2.16,0.00,2.20,2.19
2,USGS,021473415,2016-10-02,2.15,0.00,2.19,2.17
3,USGS,021473415,2016-10-03,2.13,0.00,2.15,2.14
4,USGS,021473415,2016-10-04,2.11,0.00,2.15,2.13
5,USGS,021473415,2016-10-05,2.08,0.00,2.14,2.10
6,USGS,021473415,2016-10-06,2.07,0.00,2.11,2.09
7,USGS,021473415,2016-10-07,2.08,1.13,2.59,2.27
8,USGS,021473415,2016-10-08,2.42,1.64,2.94,2.67
9,USGS,021473415,2016-10-09,2.37,0.00,2.56,2.42
10,USGS,021473415,2016-10-10,2.30,0.00,2.38,2.34
11,USGS,021473415,2016-10-11,2.28,0.00,2.37,2.31
12,USGS,021473415,2016-10-12,2.28,0.00,2.33,2.30
13,USGS,021473415,2016-10-13,2.25,0.00,2.28,2.27
14,USGS,021473415,2016-10-14,2.24,0.00,2.26,2.25
15,USGS,021473415,2016-10-15,2.24,0.00,2.26,2.25
16,USGS,021473415,2016-10-16,2.23,0.00,2.26,2.25
17,USGS,021473415,2016-10-17,2.21,0.00,2.29,2.26
18,USGS,021473415,2016-10-18,2.27,0.00,2.29,2.28
19,USGS,021473415,2016-10-19,2.25,0.00,2.28,2.27
20,USGS,021473415,2016-10-20,2.25,0.00,2.26,2.25
21,USGS,021473415,2016-10-21,2.22,0.00,2.26,2.24
22,USGS,021473415,2016-10-22,2.20,0.00,2.23,2.22
23,USGS,021473415,2016-10-23,2.21,0.00,2.29,2.22
24,USGS,021473415,2016-10-24,2.28,0.00,2.32,2.30
25,USGS,021473415,2016-10-25,2.28,0.00,2.31,2.29
26,USGS,021473415,2016-10-26,2.28,0.00,2.32,2.30
27,USGS,021473415,2016-10-27,2.26,0.00,2.29,2.28
28,USGS,021473415,2016-10-28,2.26,0.00,2.28,2.27
29,USGS,021473415,2016-10-29,2.26,0.00,2.30,2.27
30,USGS,021473415,2016-10-30,2.26,0.00,2.28,2.27
31,USGS,021473415,2016-10-31,2.27,0.00,2.30,2.28
32,USGS,021473415,2016-11-01,2.27,0.00,2.30,2.28
33,USGS,021473415,2016-11-02,2.27,0.00,2.29,2.28
34,USGS,021473415,2016-11-03,2.26,0.00,2.28,2.27
35,USGS,021473415,2016-11-04,2.26,0.00,2.28,2.27
36,USGS,021473415,2016-11-05,2.26,0.00,2.28,2.27
37,USGS,021473415,2016-11-06,2.27,0.00,2.29,2.28
38,USGS,021473415,2016-11-07,2.28,0.00,2.45,2.30
39,USGS,021473415,2016-11-08,2.28,0.00,2.31,2.29
40,USGS,021473415,2016-11-09,2.30,0.00,2.33,2.31
41,USGS,021473415,2016-11-10,2.31,0.00,2.35,2.33
42,USGS,021473415,2016-11-11,2.30,0.00,2.34,2.32
43,USGS,021473415,2016-11-12,2.31,0.00,2.34,2.32
44,USGS,021473415,2016-11-13,2.31,0.07,2.34,2.33
45,USGS,021473415,2016-11-14,2.34,0.00,2.36,2.35
46,USGS,021473415,2016-11-15,2.34,0.00,2.37,2.36
47,USGS,021473415,2016-11-16,2.30,0.00,2.43,2.34
48,USGS,021473415,2016-11-17,2.29,0.00,2.32,2.30
49,USGS,021473415,2016-11-18,2.28,0.00,2.30,2.29
50,USGS,021473415,2016-11-19,2.28,0.00,2.30,2.29
51,USGS,021473415,2016-11-20,2.29,0.00,2.31,2.30
52,USGS,021473415,2016-11-21,2.29,0.00,2.33,2.32
53,USGS,021473415,2016-11-22,2.30,0.00,2.33,2.32
54,USGS,021473415,2016-11-23,2.31,0.00,2.33,2.32
