,agency_cd,site_no,datetime,Gage height_Max,Temperature_Mean,Gage height_Min,Temperature_Min,Temperature_Max,Gage height_Mean
0,USGS,02148000,2016-09-30,4.65,,4.29,,,4.52
1,USGS,02148000,2016-10-01,10.10,,3.80,,,6.19
2,USGS,02148000,2016-10-02,10.78,,5.96,,,7.99
3,USGS,02148000,2016-10-03,10.53,,4.58,,,7.23
4,USGS,02148000,2016-10-04,10.18,,4.46,,,6.11
5,USGS,02148000,2016-10-05,8.57,,4.22,,,5.55
6,USGS,02148000,2016-10-06,11.32,,4.41,,,7.28
7,USGS,02148000,2016-10-07,16.12,,7.59,,,11.64
8,USGS,02148000,2016-10-08,19.30,,12.32,,,15.76
9,USGS,02148000,2016-10-09,13.66,,7.09,,,9.50
10,USGS,02148000,2016-10-10,7.25,,5.23,,,6.13
11,USGS,02148000,2016-10-11,5.44,,4.59,,,4.99
12,USGS,02148000,2016-10-12,4.86,,4.55,,,4.73
13,USGS,02148000,2016-10-13,4.81,,4.48,,,4.66
14,USGS,02148000,2016-10-14,4.78,,4.42,,,4.62
15,USGS,02148000,2016-10-15,6.26,,4.50,,,5.06
16,USGS,02148000,2016-10-16,6.23,,4.48,,,5.05
17,USGS,02148000,2016-10-17,5.07,,4.45,,,4.71
18,USGS,02148000,2016-10-18,4.75,,4.43,,,4.60
19,USGS,02148000,2016-10-19,4.72,,4.40,,,4.59
20,USGS,02148000,2016-10-20,7.42,,4.41,,,5.07
21,USGS,02148000,2016-10-21,5.19,,4.39,,,4.69
22,USGS,02148000,2016-10-22,6.97,,4.37,,,5.22
23,USGS,02148000,2016-10-23,6.56,,4.55,,,5.44
24,USGS,02148000,2016-10-24,5.48,,4.38,,,4.71
25,USGS,02148000,2016-10-25,4.65,,4.35,,,4.52
26,USGS,02148000,2016-10-26,6.71,,4.37,,,4.97
27,USGS,02148000,2016-10-27,5.94,,4.33,,,4.70
28,USGS,02148000,2016-10-28,5.87,,4.36,,,4.83
29,USGS,02148000,2016-10-29,6.20,,4.36,,,5.11
30,USGS,02148000,2016-10-30,6.32,,4.36,,,5.15
31,USGS,02148000,2016-10-31,6.92,,4.33,,,4.98
32,USGS,02148000,2016-11-01,6.36,,4.31,,,4.93
33,USGS,02148000,2016-11-02,7.18,,4.25,,,5.01
34,USGS,02148000,2016-11-03,7.32,,4.28,,,5.09
35,USGS,02148000,2016-11-04,5.75,,4.23,,,4.75
36,USGS,02148000,2016-11-05,6.86,,4.20,,,4.75
37,USGS,02148000,2016-11-06,6.44,,4.22,,,4.91
38,USGS,02148000,2016-11-07,5.72,,4.32,,,4.71
39,USGS,02148000,2016-11-08,4.54,,4.25,,,4.42
40,USGS,02148000,2016-11-09,4.83,,4.25,,,4.49
41,USGS,02148000,2016-11-10,4.62,,4.30,,,4.49
42,USGS,02148000,2016-11-11,4.62,,4.34,,,4.50
43,USGS,02148000,2016-11-12,4.62,,4.28,,,4.49
44,USGS,02148000,2016-11-13,4.65,,4.27,,,4.50
