,agency_cd,site_no,datetime,Gage height_Max,Gage height_Mean,Gage height_Min
0,USGS,02154500,2016-09-30,2.96,2.95,2.93
1,USGS,02154500,2016-10-01,2.93,2.92,2.92
2,USGS,02154500,2016-10-02,2.92,2.92,2.92
3,USGS,02154500,2016-10-03,2.92,2.92,2.92
4,USGS,02154500,2016-10-04,2.92,2.91,2.90
5,USGS,02154500,2016-10-05,2.91,2.90,2.90
6,USGS,02154500,2016-10-06,2.90,2.90,2.90
7,USGS,02154500,2016-10-07,3.26,3.02,2.90
8,USGS,02154500,2016-10-08,3.33,3.29,3.21
9,USGS,02154500,2016-10-09,3.21,3.13,3.05
10,USGS,02154500,2016-10-10,3.05,3.02,3.00
11,USGS,02154500,2016-10-11,3.00,2.99,2.98
12,USGS,02154500,2016-10-12,2.99,2.98,2.98
13,USGS,02154500,2016-10-13,2.99,2.98,2.98
14,USGS,02154500,2016-10-14,2.99,2.98,2.97
15,USGS,02154500,2016-10-15,2.98,2.98,2.97
16,USGS,02154500,2016-10-16,2.99,2.99,2.98
17,USGS,02154500,2016-10-17,2.99,2.98,2.98
18,USGS,02154500,2016-10-18,2.98,2.97,2.96
19,USGS,02154500,2016-10-19,2.97,2.96,2.96
20,USGS,02154500,2016-10-20,2.96,2.96,2.95
21,USGS,02154500,2016-10-21,2.95,2.94,2.92
22,USGS,02154500,2016-10-22,2.93,2.92,2.91
23,USGS,02154500,2016-10-23,2.92,2.91,2.91
24,USGS,02154500,2016-10-24,2.92,2.91,2.91
25,USGS,02154500,2016-10-25,2.92,2.91,2.91
26,USGS,02154500,2016-10-26,2.92,2.91,2.91
27,USGS,02154500,2016-10-27,2.92,2.92,2.91
28,USGS,02154500,2016-10-28,2.94,2.93,2.92
29,USGS,02154500,2016-10-29,2.94,2.94,2.93
30,USGS,02154500,2016-10-30,2.94,2.93,2.93
31,USGS,02154500,2016-10-31,2.94,2.94,2.93
32,USGS,02154500,2016-11-01,2.94,2.93,2.92
33,USGS,02154500,2016-11-02,2.94,2.94,2.93
34,USGS,02154500,2016-11-03,2.94,2.94,2.94
35,USGS,02154500,2016-11-04,2.94,2.93,2.92
36,USGS,02154500,2016-11-05,2.94,2.93,2.93
37,USGS,02154500,2016-11-06,2.94,2.94,2.93
38,USGS,02154500,2016-11-07,2.94,2.94,2.94
39,USGS,02154500,2016-11-08,,,
40,USGS,02154500,2016-11-09,2.95,2.95,2.94
41,USGS,02154500,2016-11-10,2.96,2.94,2.94
42,USGS,02154500,2016-11-11,2.95,2.94,2.94
43,USGS,02154500,2016-11-12,2.95,2.94,2.94
44,USGS,02154500,2016-11-13,2.96,2.96,2.95
45,USGS,02154500,2016-11-14,2.98,2.97,2.95
46,USGS,02154500,2016-11-15,2.99,2.98,2.98
47,USGS,02154500,2016-11-16,2.99,2.98,2.97
48,USGS,02154500,2016-11-17,2.99,2.98,2.97
49,USGS,02154500,2016-11-18,2.99,2.98,2.98
50,USGS,02154500,2016-11-19,2.99,2.98,2.97
51,USGS,02154500,2016-11-20,2.97,2.97,2.97
52,USGS,02154500,2016-11-21,2.97,2.97,2.97
53,USGS,02154500,2016-11-22,2.97,2.97,2.97
54,USGS,02154500,2016-11-23,2.99,2.98,2.97
55,USGS,02154500,2016-11-24,2.99,2.99,2.98
56,USGS,02154500,2016-11-25,3.00,2.99,2.99
57,USGS,02154500,2016-11-26,3.00,2.99,2.99
58,USGS,02154500,2016-11-27,2.99,2.99,2.99
59,USGS,02154500,2016-11-28,3.03,3.00,2.99
60,USGS,02154500,2016-11-29,3.80,3.24,3.03
61,USGS,02154500,2016-11-30,3.81,3.60,3.47
62,USGS,02154500,2016-12-01,3.84,3.63,3.46
63,USGS,02154500,2016-12-02,3.46,3.34,3.26
64,USGS,02154500,2016-12-03,3.26,3.21,3.18
65,USGS,02154500,2016-12-04,3.26,3.19,3.17
66,USGS,02154500,2016-12-05,3.39,3.36,3.26
67,USGS,02154500,2016-12-06,3.67,3.44,3.37
68,USGS,02154500,2016-12-07,3.73,3.61,3.45
69,USGS,02154500,2016-12-08,3.45,3.38,3.32
