,agency_cd,site_no,datetime,Dissolved oxygen_Max,Gage height_Mean,Dissolved oxygen_Min,Temperature_Max,Temperature_Min,Gage height_Min,Gage height_Max,Dissolved oxygen_Mean,Temperature_Mean
0,USGS,02156500,2016-09-30,8.4,2.63,7.0,26.0,24.2,2.42,2.82,7.5,25.2
1,USGS,02156500,2016-10-01,8.0,2.66,7.0,25.2,23.2,2.24,2.82,7.4,24.2
2,USGS,02156500,2016-10-02,8.8,2.47,7.3,24.7,22.2,2.39,2.56,7.9,23.6
3,USGS,02156500,2016-10-03,8.8,2.42,7.4,24.4,22.5,2.20,2.56,8.0,23.7
4,USGS,02156500,2016-10-04,8.9,2.47,7.4,24.8,22.7,2.25,2.57,8.0,23.8
5,USGS,02156500,2016-10-05,9.0,2.45,7.6,23.5,21.9,2.24,2.65,8.1,22.8
6,USGS,02156500,2016-10-06,9.1,2.38,7.7,23.3,21.6,2.14,2.65,8.2,22.5
7,USGS,02156500,2016-10-07,8.2,2.53,7.7,22.9,22.3,2.35,2.78,7.9,22.6
8,USGS,02156500,2016-10-08,8.4,2.60,7.8,22.5,21.5,2.57,2.62,8.0,22.0
9,USGS,02156500,2016-10-09,9.2,2.59,8.0,22.0,20.2,2.57,2.61,8.4,21.2
10,USGS,02156500,2016-10-10,9.4,2.57,8.1,21.3,19.2,2.54,2.58,8.6,20.4
11,USGS,02156500,2016-10-11,9.6,2.56,8.2,20.8,18.7,2.54,2.58,8.8,19.8
12,USGS,02156500,2016-10-12,9.8,2.56,8.4,20.4,17.9,2.46,2.76,8.9,19.4
13,USGS,02156500,2016-10-13,9.3,2.71,8.2,20.4,18.1,2.25,3.39,8.7,19.4
14,USGS,02156500,2016-10-14,10.1,2.35,8.4,20.7,18.6,2.15,2.47,9.0,19.8
15,USGS,02156500,2016-10-15,10.0,2.30,8.4,20.4,18.9,2.16,2.55,9.0,19.8
16,USGS,02156500,2016-10-16,10.4,2.39,8.3,21.6,19.2,2.20,2.55,9.1,20.3
17,USGS,02156500,2016-10-17,10.0,2.47,8.3,21.7,19.2,2.38,2.54,8.9,20.6
18,USGS,02156500,2016-10-18,9.9,2.45,8.1,22.0,19.8,2.26,2.51,8.8,21.1
19,USGS,02156500,2016-10-19,10.0,2.46,8.0,22.6,20.1,2.44,2.48,8.7,21.5
20,USGS,02156500,2016-10-20,9.9,2.45,7.9,23.0,20.7,2.27,2.54,8.6,22.0
21,USGS,02156500,2016-10-21,9.8,2.35,7.8,22.8,20.6,2.09,2.53,8.5,21.8
22,USGS,02156500,2016-10-22,10.2,2.20,8.0,20.6,18.7,2.09,2.27,8.8,19.6
23,USGS,02156500,2016-10-23,10.3,2.38,8.5,19.1,16.8,2.18,2.57,9.1,18.2
24,USGS,02156500,2016-10-24,10.5,2.49,8.7,19.3,16.6,2.30,2.58,9.3,18.1
25,USGS,02156500,2016-10-25,10.5,2.44,8.6,19.0,17.0,2.31,2.50,9.3,18.1
26,USGS,02156500,2016-10-26,11.0,2.31,8.8,18.4,16.1,2.13,2.48,9.6,17.3
27,USGS,02156500,2016-10-27,10.8,2.39,8.9,18.1,16.2,2.10,2.56,9.6,17.4
28,USGS,02156500,2016-10-28,10.8,2.47,8.8,19.3,16.8,2.34,2.57,9.5,18.1
29,USGS,02156500,2016-10-29,11.1,2.29,8.6,19.6,17.0,2.12,2.49,9.5,18.4
30,USGS,02156500,2016-10-30,11.2,2.38,8.6,20.0,17.4,2.17,2.57,9.5,18.8
31,USGS,02156500,2016-10-31,10.8,2.38,8.5,19.7,17.5,2.06,2.57,9.3,18.8
32,USGS,02156500,2016-11-01,9.8,2.28,8.2,19.8,18.9,2.16,2.51,8.8,19.2
33,USGS,02156500,2016-11-02,10.5,2.53,8.4,20.2,18.1,2.28,2.75,9.1,19.2
34,USGS,02156500,2016-11-03,10.7,2.43,8.4,20.0,17.8,2.23,2.59,9.1,19.1
35,USGS,02156500,2016-11-04,10.0,2.44,8.2,20.0,18.5,2.02,2.76,8.9,19.2
36,USGS,02156500,2016-11-05,10.8,2.30,8.3,19.1,17.0,2.09,2.50,9.3,18.0
37,USGS,02156500,2016-11-06,10.8,2.42,8.6,18.0,16.0,2.28,2.57,9.5,17.1
38,USGS,02156500,2016-11-07,11.2,2.41,8.9,17.3,15.1,2.22,2.59,9.7,16.2
39,USGS,02156500,2016-11-08,11.0,2.47,9.0,16.2,14.6,2.39,2.55,9.8,15.5
40,USGS,02156500,2016-11-09,11.0,2.47,9.2,16.0,14.4,2.31,2.58,9.8,15.1
