,agency_cd,site_no,datetime,Dissolved oxygen_Min,Gage height_Mean,Gage height_Min,Gage height_Max,Dissolved oxygen_Mean,Temperature_Mean,Dissolved oxygen_Max,Temperature_Max,Temperature_Min
0,USGS,02160105,2016-09-30,7.4,3.32,3.23,3.44,7.8,22.4,8.2,24.0,20.6
1,USGS,02160105,2016-10-01,7.8,3.20,3.16,3.23,8.1,20.7,8.6,22.9,18.2
2,USGS,02160105,2016-10-02,7.8,3.15,3.12,3.16,8.2,20.6,8.7,23.2,17.8
3,USGS,02160105,2016-10-03,7.6,3.11,3.09,3.13,8.0,21.8,8.4,24.1,19.4
4,USGS,02160105,2016-10-04,7.7,3.08,3.07,3.09,8.0,21.6,8.5,23.5,19.4
5,USGS,02160105,2016-10-05,7.9,3.07,3.05,3.08,8.3,20.7,8.7,22.6,18.6
6,USGS,02160105,2016-10-06,7.8,3.04,3.02,3.06,8.2,21.2,8.6,23.3,19.2
7,USGS,02160105,2016-10-07,7.9,3.12,3.04,3.16,8.0,21.2,8.3,21.7,20.7
8,USGS,02160105,2016-10-08,7.8,3.34,3.16,3.51,7.9,21.2,8.0,21.8,20.5
9,USGS,02160105,2016-10-09,7.9,3.82,3.51,3.99,8.2,19.5,8.5,20.6,18.1
10,USGS,02160105,2016-10-10,8.3,3.66,3.46,3.90,8.7,17.9,9.0,19.3,16.3
11,USGS,02160105,2016-10-11,8.7,3.37,3.30,3.47,9.0,16.8,9.3,18.6,14.8
12,USGS,02160105,2016-10-12,8.7,3.26,3.23,3.30,9.1,16.5,9.6,18.9,13.8
13,USGS,02160105,2016-10-13,8.5,3.22,3.21,3.23,9.0,17.2,9.4,19.5,14.5
14,USGS,02160105,2016-10-14,8.4,3.21,3.20,3.22,8.8,18.2,9.2,20.2,16.2
15,USGS,02160105,2016-10-15,,3.19,3.17,3.20,,18.2,,19.4,16.6
16,USGS,02160105,2016-10-16,,3.17,3.16,3.18,,19.2,,21.4,17.6
17,USGS,02160105,2016-10-17,,3.19,3.17,3.20,,19.4,,20.5,17.8
18,USGS,02160105,2016-10-18,,3.17,3.15,3.18,,20.0,,21.8,18.4
19,USGS,02160105,2016-10-19,,3.14,3.13,3.16,,20.4,,22.0,18.5
20,USGS,02160105,2016-10-20,,3.12,3.10,3.14,,20.9,,22.5,19.4
21,USGS,02160105,2016-10-21,,3.10,3.09,3.13,,,,,
22,USGS,02160105,2016-10-22,8.4,3.08,3.07,3.09,9.2,16.1,10.0,17.7,14.3
23,USGS,02160105,2016-10-23,9.2,3.07,3.05,3.09,9.8,14.2,10.8,16.5,11.5
24,USGS,02160105,2016-10-24,8.9,3.08,3.07,3.09,9.7,14.9,10.8,17.5,12.0
25,USGS,02160105,2016-10-25,9.1,3.09,3.07,3.10,9.8,15.0,11.0,17.0,12.6
26,USGS,02160105,2016-10-26,9.3,3.11,3.09,3.13,10.0,14.3,11.4,16.4,11.8
27,USGS,02160105,2016-10-27,8.8,3.14,3.13,3.14,10.0,15.4,11.5,17.7,13.0
28,USGS,02160105,2016-10-28,8.4,3.17,3.14,3.18,9.5,17.2,11.3,19.4,15.0
