,agency_cd,site_no,datetime,Gage height_Min,Precipitation,Gage height_Mean,Gage height_Max
0,USGS,02160326,2016-09-30,3.58,0.00,3.66,3.68
1,USGS,02160326,2016-10-01,3.54,0.00,3.64,3.68
2,USGS,02160326,2016-10-02,3.55,0.00,3.64,3.67
3,USGS,02160326,2016-10-03,3.61,0.00,3.66,3.69
4,USGS,02160326,2016-10-04,3.58,0.00,3.65,3.68
5,USGS,02160326,2016-10-05,3.57,0.00,3.64,3.68
6,USGS,02160326,2016-10-06,3.54,0.00,3.64,3.69
7,USGS,02160326,2016-10-07,3.54,0.03,3.72,4.00
8,USGS,02160326,2016-10-08,3.84,0.00,3.92,4.01
9,USGS,02160326,2016-10-09,3.70,0.00,3.76,3.85
10,USGS,02160326,2016-10-10,3.63,0.00,3.70,3.74
11,USGS,02160326,2016-10-11,3.60,0.00,3.69,3.74
12,USGS,02160326,2016-10-12,3.60,0.00,3.68,3.73
13,USGS,02160326,2016-10-13,3.67,0.00,3.70,3.73
14,USGS,02160326,2016-10-14,3.60,0.00,3.68,3.72
15,USGS,02160326,2016-10-15,3.59,0.00,3.66,3.69
16,USGS,02160326,2016-10-16,3.62,0.00,3.68,3.70
17,USGS,02160326,2016-10-17,3.67,0.00,3.70,3.73
18,USGS,02160326,2016-10-18,3.67,0.00,3.69,3.72
19,USGS,02160326,2016-10-19,3.59,0.00,3.67,3.69
20,USGS,02160326,2016-10-20,3.64,0.00,3.67,3.69
21,USGS,02160326,2016-10-21,3.59,0.00,3.66,3.69
22,USGS,02160326,2016-10-22,3.52,0.00,3.62,3.67
23,USGS,02160326,2016-10-23,3.57,0.00,3.64,3.68
24,USGS,02160326,2016-10-24,3.62,,3.66,3.70
25,USGS,02160326,2016-10-25,3.63,,3.66,3.70
26,USGS,02160326,2016-10-26,3.62,,3.66,3.68
27,USGS,02160326,2016-10-27,3.63,,3.67,3.69
28,USGS,02160326,2016-10-28,3.60,,3.67,3.73
29,USGS,02160326,2016-10-29,3.58,,3.67,3.71
30,USGS,02160326,2016-10-30,3.58,,3.66,3.69
31,USGS,02160326,2016-10-31,3.64,,3.68,3.78
32,USGS,02160326,2016-11-01,3.63,,3.67,3.69
33,USGS,02160326,2016-11-02,3.63,,3.68,3.71
34,USGS,02160326,2016-11-03,3.61,,3.68,3.72
35,USGS,02160326,2016-11-04,3.65,,3.68,3.75
36,USGS,02160326,2016-11-05,3.57,,3.65,3.69
37,USGS,02160326,2016-11-06,3.56,,3.66,3.70
38,USGS,02160326,2016-11-07,3.62,,3.69,3.71
39,USGS,02160326,2016-11-08,3.66,,3.70,3.72
40,USGS,02160326,2016-11-09,3.69,,3.72,3.76
41,USGS,02160326,2016-11-10,3.64,,3.70,3.73
42,USGS,02160326,2016-11-11,3.60,,3.69,3.72
43,USGS,02160326,2016-11-12,3.60,,3.68,3.72
44,USGS,02160326,2016-11-13,3.61,,3.71,3.75
45,USGS,02160326,2016-11-14,3.68,,3.74,3.76
46,USGS,02160326,2016-11-15,3.69,,3.74,3.76
47,USGS,02160326,2016-11-16,3.68,,3.74,3.77
48,USGS,02160326,2016-11-17,3.67,,3.74,3.81
49,USGS,02160326,2016-11-18,3.67,,3.73,3.75
50,USGS,02160326,2016-11-19,3.65,,3.72,3.75
51,USGS,02160326,2016-11-20,3.73,,3.76,3.80
52,USGS,02160326,2016-11-21,3.67,,3.74,3.76
53,USGS,02160326,2016-11-22,3.66,,3.73,3.76
54,USGS,02160326,2016-11-23,3.66,,3.73,3.76
55,USGS,02160326,2016-11-24,3.69,,3.74,3.76
56,USGS,02160326,2016-11-25,3.66,,3.73,3.77
57,USGS,02160326,2016-11-26,3.68,,3.74,3.78
58,USGS,02160326,2016-11-27,3.70,,3.74,3.77
59,USGS,02160326,2016-11-28,3.72,,3.75,3.78
60,USGS,02160326,2016-11-29,3.70,,4.44,5.09
61,USGS,02160326,2016-11-30,4.21,,4.69,5.69
62,USGS,02160326,2016-12-01,4.12,,4.51,5.40
63,USGS,02160326,2016-12-02,3.92,,3.99,4.13
64,USGS,02160326,2016-12-03,3.84,,3.89,3.92
65,USGS,02160326,2016-12-04,3.86,,4.08,4.48
66,USGS,02160326,2016-12-05,4.12,,4.27,4.47
67,USGS,02160326,2016-12-06,4.08,0.35,4.40,4.74
68,USGS,02160326,2016-12-07,4.10,0.00,4.29,4.52
69,USGS,02160326,2016-12-08,3.97,0.00,4.02,4.11
70,USGS,02160326,2016-12-09,3.89,0.00,3.93,3.98
71,USGS,02160326,2016-12-10,3.84,0.00,3.90,3.92
72,USGS,02160326,2016-12-11,3.83,0.00,3.89,3.92
