,agency_cd,site_no,datetime,Gage height_Min,Gage height_Max,Precipitation,Gage height_Mean
0,USGS,02160381,2016-09-30,2.16,2.26,0.00,2.22
1,USGS,02160381,2016-10-01,2.15,2.28,0.00,2.21
2,USGS,02160381,2016-10-02,2.21,2.27,0.00,2.24
3,USGS,02160381,2016-10-03,2.17,2.25,0.00,2.22
4,USGS,02160381,2016-10-04,2.12,2.27,0.00,2.21
5,USGS,02160381,2016-10-05,2.11,2.24,0.00,2.18
6,USGS,02160381,2016-10-06,2.15,2.23,0.00,2.19
7,USGS,02160381,2016-10-07,2.19,2.38,0.27,2.25
8,USGS,02160381,2016-10-08,2.24,2.37,0.01,2.29
9,USGS,02160381,2016-10-09,2.21,2.26,0.00,2.24
10,USGS,02160381,2016-10-10,2.17,2.23,0.00,2.20
11,USGS,02160381,2016-10-11,2.19,2.27,0.00,2.24
12,USGS,02160381,2016-10-12,2.12,2.29,0.00,2.21
13,USGS,02160381,2016-10-13,2.12,2.25,0.00,2.18
14,USGS,02160381,2016-10-14,2.19,2.24,0.00,2.21
15,USGS,02160381,2016-10-15,2.20,2.25,0.00,2.23
16,USGS,02160381,2016-10-16,2.14,2.24,0.00,2.20
17,USGS,02160381,2016-10-17,2.13,2.25,0.00,2.19
18,USGS,02160381,2016-10-18,2.16,2.22,0.00,2.19
19,USGS,02160381,2016-10-19,2.16,2.21,0.00,2.19
20,USGS,02160381,2016-10-20,2.14,2.20,0.00,2.17
21,USGS,02160381,2016-10-21,2.12,2.21,0.00,2.16
22,USGS,02160381,2016-10-22,2.12,2.18,0.00,2.15
23,USGS,02160381,2016-10-23,2.12,2.21,0.00,2.16
24,USGS,02160381,2016-10-24,2.17,2.21,0.00,2.19
25,USGS,02160381,2016-10-25,2.14,2.20,,2.18
26,USGS,02160381,2016-10-26,2.16,2.21,0.00,2.19
27,USGS,02160381,2016-10-27,2.16,2.21,0.00,2.18
28,USGS,02160381,2016-10-28,2.18,2.27,0.00,2.21
29,USGS,02160381,2016-10-29,2.15,2.19,0.00,2.17
30,USGS,02160381,2016-10-30,2.11,2.19,0.00,2.16
31,USGS,02160381,2016-10-31,2.10,2.20,0.00,2.15
32,USGS,02160381,2016-11-01,2.12,2.18,0.00,2.15
33,USGS,02160381,2016-11-02,2.11,2.23,0.00,2.17
34,USGS,02160381,2016-11-03,2.16,2.21,0.00,2.19
35,USGS,02160381,2016-11-04,2.13,2.21,0.00,2.17
36,USGS,02160381,2016-11-05,2.11,2.22,0.00,2.16
37,USGS,02160381,2016-11-06,2.12,2.22,0.00,2.19
38,USGS,02160381,2016-11-07,2.11,2.23,0.00,2.17
39,USGS,02160381,2016-11-08,2.16,2.22,0.00,2.20
40,USGS,02160381,2016-11-09,2.19,2.24,0.00,2.21
41,USGS,02160381,2016-11-10,2.16,2.29,0.00,2.21
42,USGS,02160381,2016-11-11,2.21,2.24,0.00,2.23
