,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Max,Dissolved oxygen_Min,Dissolved oxygen_Max,Temperature_Max,Temperature_Mean,Dissolved oxygen_Mean,Temperature_Min,Gage height_Min
0,USGS,02160700,2016-09-30,14.79,14.90,7.2,8.6,23.9,22.4,7.8,20.9,14.72
1,USGS,02160700,2016-10-01,14.69,14.72,7.7,9.0,22.4,20.6,8.2,18.7,14.68
2,USGS,02160700,2016-10-02,14.66,14.68,7.9,9.1,22.0,20.2,8.3,18.1,14.64
3,USGS,02160700,2016-10-03,14.62,14.64,7.7,9.0,23.1,21.2,8.1,19.6,14.61
4,USGS,02160700,2016-10-04,14.62,14.63,7.7,8.8,23.0,21.2,8.1,19.8,14.61
5,USGS,02160700,2016-10-05,14.61,14.62,7.8,9.2,21.9,20.4,8.3,19.0,14.60
6,USGS,02160700,2016-10-06,14.59,14.60,7.8,9.1,22.5,20.9,8.2,19.4,14.59
7,USGS,02160700,2016-10-07,14.59,14.62,7.7,8.5,21.3,21.1,7.9,20.8,14.57
8,USGS,02160700,2016-10-08,14.68,14.72,7.6,8.3,21.6,21.2,7.8,20.6,14.62
9,USGS,02160700,2016-10-09,14.73,14.80,7.7,9.1,20.9,19.5,8.3,18.1,14.70
10,USGS,02160700,2016-10-10,14.98,15.02,8.2,9.2,19.3,17.8,8.7,16.5,14.80
11,USGS,02160700,2016-10-11,14.83,14.93,8.6,9.6,18.4,16.8,9.0,15.3,14.76
12,USGS,02160700,2016-10-12,14.72,14.76,8.7,9.8,18.1,16.2,9.1,14.2,14.69
13,USGS,02160700,2016-10-13,14.67,14.69,8.5,9.7,18.7,16.7,9.0,14.7,14.65
14,USGS,02160700,2016-10-14,14.66,14.67,8.3,9.6,19.3,17.8,8.8,16.3,14.64
15,USGS,02160700,2016-10-15,14.63,14.65,8.3,9.3,19.0,18.1,8.7,16.9,14.62
16,USGS,02160700,2016-10-16,14.64,14.65,8.1,9.3,20.8,19.1,8.6,17.6,14.63
17,USGS,02160700,2016-10-17,14.64,14.65,8.0,9.3,20.9,19.1,8.5,17.4,14.63
18,USGS,02160700,2016-10-18,14.64,14.65,7.9,9.4,21.2,19.5,8.4,17.7,14.63
19,USGS,02160700,2016-10-19,14.64,14.65,7.8,9.2,21.7,19.9,8.3,18.2,14.63
20,USGS,02160700,2016-10-20,14.64,14.65,7.6,9.2,22.1,20.4,8.2,18.7,14.63
21,USGS,02160700,2016-10-21,14.62,14.63,7.7,8.9,21.2,19.7,8.1,17.7,14.61
22,USGS,02160700,2016-10-22,14.59,14.61,7.9,9.6,17.7,16.3,8.7,14.4,14.58
23,USGS,02160700,2016-10-23,14.56,14.58,8.7,10.3,15.9,14.2,9.4,12.2,14.55
24,USGS,02160700,2016-10-24,14.54,14.55,8.7,10.3,16.5,14.5,9.3,12.3,14.53
25,USGS,02160700,2016-10-25,14.54,14.56,8.8,10.3,16.4,14.7,9.3,13.0,14.51
26,USGS,02160700,2016-10-26,14.55,14.57,8.9,10.5,15.7,14.0,9.5,12.2,14.54
27,USGS,02160700,2016-10-27,14.58,14.60,8.5,10.5,16.8,15.0,9.4,13.2,14.55
28,USGS,02160700,2016-10-28,14.59,14.61,8.3,9.9,18.6,16.7,8.9,15.1,14.57
29,USGS,02160700,2016-10-29,14.61,14.62,8.2,10.0,18.4,16.7,8.8,14.9,14.59
30,USGS,02160700,2016-10-30,14.61,14.63,8.0,9.9,18.9,17.0,8.7,15.3,14.60
31,USGS,02160700,2016-10-31,14.63,14.64,8.0,9.9,19.0,17.2,8.6,15.5,14.61
32,USGS,02160700,2016-11-01,14.63,14.65,7.9,9.6,19.4,18.3,8.4,17.5,14.61
33,USGS,02160700,2016-11-02,14.62,14.64,8.0,9.9,19.3,17.8,8.6,16.6,14.60
34,USGS,02160700,2016-11-03,14.62,14.64,7.8,9.9,18.8,17.4,8.6,15.8,14.61
35,USGS,02160700,2016-11-04,14.63,14.64,7.8,9.5,19.0,17.6,8.4,16.0,14.62
36,USGS,02160700,2016-11-05,14.64,14.65,8.0,10.1,16.3,14.9,9.0,13.6,14.63
37,USGS,02160700,2016-11-06,14.64,14.66,8.8,10.8,14.5,13.1,9.6,11.5,14.63
38,USGS,02160700,2016-11-07,14.65,14.66,9.1,10.8,14.1,12.5,9.8,10.8,14.63
39,USGS,02160700,2016-11-08,14.64,14.67,9.3,11.2,13.2,11.8,10.0,10.1,14.62
40,USGS,02160700,2016-11-09,14.66,14.68,9.0,10.8,14.2,12.7,9.7,11.5,14.65
41,USGS,02160700,2016-11-10,14.69,14.71,9.1,11.0,13.2,11.8,9.8,10.3,14.68
42,USGS,02160700,2016-11-11,14.69,14.70,9.5,11.4,12.2,10.7,10.2,9.0,14.68
43,USGS,02160700,2016-11-12,14.72,14.73,9.5,11.2,12.7,11.2,10.1,10.0,14.70
44,USGS,02160700,2016-11-13,14.73,14.75,9.8,11.0,10.3,9.6,10.3,9.2,14.71
45,USGS,02160700,2016-11-14,14.75,14.77,9.9,11.7,11.5,9.9,10.5,8.7,14.73
46,USGS,02160700,2016-11-15,14.78,14.82,9.9,11.6,11.1,9.7,10.5,8.2,14.75
47,USGS,02160700,2016-11-16,14.87,14.90,9.9,11.4,11.2,9.7,10.4,8.3,14.82
48,USGS,02160700,2016-11-17,14.84,14.87,9.9,11.4,11.6,10.1,10.4,8.6,14.82
49,USGS,02160700,2016-11-18,14.83,14.84,9.7,11.5,12.1,10.5,10.3,8.8,14.82
50,USGS,02160700,2016-11-19,14.83,14.84,9.6,11.2,12.6,10.8,10.1,9.4,14.82
51,USGS,02160700,2016-11-20,14.83,14.84,9.6,11.5,10.0,8.8,10.5,7.7,14.81
52,USGS,02160700,2016-11-21,14.81,14.82,10.4,12.0,8.9,7.5,11.0,6.2,14.80
53,USGS,02160700,2016-11-22,14.81,14.85,10.7,12.2,8.6,7.2,11.3,5.8,14.79
54,USGS,02160700,2016-11-23,14.85,14.86,10.5,12.2,8.8,7.5,11.3,6.0,14.83
55,USGS,02160700,2016-11-24,14.84,14.85,9.7,11.5,11.8,10.2,10.5,8.6,14.83
56,USGS,02160700,2016-11-25,14.85,14.86,9.4,11.0,13.3,11.8,10.0,10.6,14.84
57,USGS,02160700,2016-11-26,14.87,14.88,9.4,11.2,11.8,10.7,10.2,9.2,14.86
58,USGS,02160700,2016-11-27,14.86,14.88,10.1,11.9,9.3,8.3,10.9,7.0,14.85
59,USGS,02160700,2016-11-28,14.86,14.87,10.3,12.0,9.6,8.0,11.1,6.6,14.84
60,USGS,02160700,2016-11-29,14.91,14.96,9.1,10.4,13.0,11.7,9.9,9.6,14.86
61,USGS,02160700,2016-11-30,15.05,15.18,8.7,9.8,15.0,14.0,9.1,13.0,14.96
62,USGS,02160700,2016-12-01,16.11,16.38,8.7,9.1,14.4,13.7,8.9,12.7,15.18
63,USGS,02160700,2016-12-02,16.55,17.03,9.0,9.5,12.7,12.0,9.2,11.2,16.00
64,USGS,02160700,2016-12-03,15.79,16.15,9.5,10.1,11.2,10.4,9.9,9.8,15.53
65,USGS,02160700,2016-12-04,15.39,15.53,10.1,10.3,10.1,9.9,10.2,9.5,15.31
66,USGS,02160700,2016-12-05,15.32,15.40,10.1,10.4,10.5,9.8,10.3,9.2,15.29
67,USGS,02160700,2016-12-06,15.90,16.27,9.9,10.1,10.8,10.6,10.0,10.4,15.40
68,USGS,02160700,2016-12-07,15.96,16.16,10.0,10.5,11.2,10.7,10.2,10.2,15.88
69,USGS,02160700,2016-12-08,16.16,16.34,10.3,10.6,11.1,10.9,10.4,10.0,15.92
70,USGS,02160700,2016-12-09,15.69,15.92,10.6,11.7,10.0,8.5,11.2,6.9,15.53
71,USGS,02160700,2016-12-10,15.42,15.53,11.7,12.6,6.9,5.9,12.2,4.9,15.34
72,USGS,02160700,2016-12-11,15.28,15.34,12.6,13.0,4.9,4.3,12.9,3.7,15.25
73,USGS,02160700,2016-12-12,15.23,15.25,12.1,13.0,6.6,5.4,12.6,4.2,15.22
74,USGS,02160700,2016-12-13,15.22,15.22,11.8,12.1,7.5,6.8,12.0,6.3,15.21
75,USGS,02160700,2016-12-14,15.20,15.22,11.4,11.8,8.7,8.0,11.6,7.5,15.18
76,USGS,02160700,2016-12-15,15.19,15.20,11.5,12.0,8.4,7.6,11.7,6.3,15.18
77,USGS,02160700,2016-12-16,15.17,15.19,12.0,12.8,6.3,5.4,12.5,4.8,15.15
78,USGS,02160700,2016-12-17,15.12,15.15,12.5,12.9,5.6,5.0,12.7,4.4,15.11
79,USGS,02160700,2016-12-18,15.14,15.16,11.4,12.5,9.3,7.5,12.0,5.6,15.12
80,USGS,02160700,2016-12-19,15.18,15.19,11.3,11.7,9.2,8.8,11.4,8.0,15.16
81,USGS,02160700,2016-12-20,15.19,15.19,11.7,12.0,8.1,7.6,11.9,6.6,15.18
82,USGS,02160700,2016-12-21,15.15,15.18,12.0,12.5,7.1,6.2,12.3,5.4,15.12
83,USGS,02160700,2016-12-22,15.12,15.12,12.0,12.5,8.0,6.6,12.2,5.5,15.11
84,USGS,02160700,2016-12-23,15.11,15.12,12.0,12.4,8.1,7.0,12.2,6.0,15.10
85,USGS,02160700,2016-12-24,15.10,15.11,11.4,12.0,9.6,8.4,11.7,7.3,15.09
86,USGS,02160700,2016-12-25,15.10,15.11,11.1,11.6,10.7,9.5,11.4,8.4,15.09
87,USGS,02160700,2016-12-26,15.09,15.11,10.8,11.1,11.4,10.7,11.0,10.0,15.08
88,USGS,02160700,2016-12-27,15.10,15.11,10.3,10.8,12.8,11.8,10.6,11.0,15.09
89,USGS,02160700,2016-12-28,15.09,15.11,10.3,10.9,12.3,11.4,10.6,10.4,15.07
90,USGS,02160700,2016-12-29,15.12,15.15,10.6,10.9,12.0,10.7,10.7,9.4,15.09
91,USGS,02160700,2016-12-30,15.60,16.69,10.8,11.8,9.4,8.2,11.5,7.4,15.15
92,USGS,02160700,2016-12-31,16.08,16.63,11.4,11.9,7.9,7.3,11.7,7.0,15.72
93,USGS,02160700,2017-01-01,15.53,15.72,11.8,12.0,7.6,7.2,11.9,6.9,15.42
94,USGS,02160700,2017-01-02,15.45,15.54,11.3,11.8,9.1,8.4,11.6,7.6,15.41
