,agency_cd,site_no,datetime,Dissolved oxygen_Mean,Temperature_Mean,Temperature_Min,Gage height_Mean,Dissolved oxygen_Min,Gage height_Min,Gage height_Max,Dissolved oxygen_Max,Temperature_Max
0,USGS,02160991,2016-09-30,6.5,27.8,27.4,220.83,6.0,220.50,220.98,7.2,28.2
1,USGS,02160991,2016-10-01,6.8,27.2,26.6,220.90,6.2,220.54,220.97,7.8,28.0
2,USGS,02160991,2016-10-02,7.1,26.7,26.2,220.78,6.2,220.50,220.97,8.4,27.6
3,USGS,02160991,2016-10-03,6.9,26.6,26.1,220.74,6.4,220.48,221.02,7.6,27.1
4,USGS,02160991,2016-10-04,7.0,26.8,26.4,220.96,6.6,220.87,221.04,7.8,27.0
5,USGS,02160991,2016-10-05,7.0,25.7,24.9,220.76,6.7,220.52,221.03,7.3,26.7
6,USGS,02160991,2016-10-06,7.4,24.7,24.2,220.67,6.9,220.49,220.76,7.9,25.1
7,USGS,02160991,2016-10-07,7.3,24.1,23.8,220.74,7.1,220.71,220.78,7.5,24.9
8,USGS,02160991,2016-10-08,7.5,23.8,23.3,221.17,7.1,220.72,221.67,7.7,24.3
9,USGS,02160991,2016-10-09,7.6,22.9,22.2,221.27,7.4,220.73,221.65,7.8,23.5
10,USGS,02160991,2016-10-10,7.5,22.6,21.8,220.76,7.4,220.69,220.82,7.8,23.4
11,USGS,02160991,2016-10-11,7.6,23.6,23.1,220.86,7.2,220.78,220.92,8.3,24.2
12,USGS,02160991,2016-10-12,7.7,23.5,23.0,220.88,7.3,220.84,220.92,8.2,23.9
13,USGS,02160991,2016-10-13,7.9,23.5,22.7,220.85,7.2,220.30,221.23,8.9,24.3
14,USGS,02160991,2016-10-14,8.1,23.7,23.3,220.96,7.4,220.68,221.13,9.3,24.1
15,USGS,02160991,2016-10-15,7.8,23.3,23.1,220.68,7.6,220.64,220.72,8.2,23.8
16,USGS,02160991,2016-10-16,7.9,23.4,22.8,220.71,7.3,220.24,221.03,9.1,24.3
17,USGS,02160991,2016-10-17,7.6,23.2,22.7,220.68,7.1,220.20,221.06,8.4,24.1
18,USGS,02160991,2016-10-18,7.3,23.7,22.8,220.69,6.9,220.21,221.06,8.0,24.5
