,agency_cd,site_no,datetime,Gage height_Mean,Dissolved oxygen_Min,Dissolved oxygen_Mean,"Turbidity, water_Min","Turbidity, water_Max","Turbidity, water_Mean",Gage height_Min,Gage height_Max,Temperature_Mean,Temperature_Min,Dissolved oxygen_Max,Temperature_Max
0,USGS,02162035,2016-09-30,154.17,7.5,8.0,0.5,2.3,1.3,153.99,154.40,27.9,27.5,8.4,28.5
1,USGS,02162035,2016-10-01,154.14,7.4,8.0,0.2,3.4,1.4,154.11,154.16,26.7,26.1,8.8,27.5
2,USGS,02162035,2016-10-02,154.07,7.8,8.3,0.3,2.7,1.1,153.97,154.15,25.7,25.4,9.1,26.1
3,USGS,02162035,2016-10-03,154.07,7.7,8.4,0.1,3.1,1.1,153.95,154.13,25.3,25.1,8.9,25.6
4,USGS,02162035,2016-10-04,154.07,7.7,8.2,0.2,1.7,0.7,153.95,154.13,25.4,25.1,8.8,25.8
5,USGS,02162035,2016-10-05,154.06,7.6,8.2,0.4,3.3,1.5,154.01,154.11,25.0,24.6,8.8,25.5
6,USGS,02162035,2016-10-06,153.88,7.9,8.5,0.7,3.9,1.4,153.81,154.02,24.1,23.9,9.0,24.6
7,USGS,02162035,2016-10-07,153.93,7.7,8.5,0.6,2.8,1.4,153.89,153.96,23.9,23.8,9.2,24.0
8,USGS,02162035,2016-10-08,154.50,7.6,7.9,1.0,17.0,8.1,153.96,154.88,23.5,22.7,8.2,23.9
9,USGS,02162035,2016-10-09,154.59,7.2,7.5,14.0,76.0,40.1,154.40,154.72,21.9,21.4,8.1,22.7
10,USGS,02162035,2016-10-10,154.19,8.1,8.3,9.5,18.0,11.9,154.05,154.41,21.7,21.5,8.6,22.3
11,USGS,02162035,2016-10-11,154.06,7.7,8.2,7.2,11.0,8.9,154.01,154.08,21.0,20.7,8.6,21.5
12,USGS,02162035,2016-10-12,154.07,8.1,8.6,4.7,9.2,6.8,154.03,154.09,20.3,19.9,9.2,20.7
13,USGS,02162035,2016-10-13,154.03,8.4,8.8,2.7,5.2,4.1,153.90,154.10,20.8,20.2,9.4,21.7
14,USGS,02162035,2016-10-14,154.14,8.1,8.7,2.0,3.8,2.9,154.06,154.16,21.4,20.7,9.5,22.3
15,USGS,02162035,2016-10-15,153.98,8.3,8.8,1.5,2.8,2.2,153.91,154.15,22.2,21.8,9.3,22.7
16,USGS,02162035,2016-10-16,153.91,8.0,8.9,1.2,3.3,2.3,153.87,154.01,22.5,22.2,9.6,23.5
17,USGS,02162035,2016-10-17,153.85,7.9,8.3,1.1,2.9,1.8,153.58,154.06,22.6,22.2,9.8,23.2
18,USGS,02162035,2016-10-18,153.86,7.8,8.1,0.8,2.2,1.4,153.70,154.00,22.8,22.4,9.2,23.8
19,USGS,02162035,2016-10-19,153.96,7.6,7.9,0.7,2.1,1.4,153.82,154.09,23.0,22.7,9.2,23.8
20,USGS,02162035,2016-10-20,154.01,7.3,7.8,0.3,1.9,0.9,153.88,154.15,23.5,23.1,8.6,24.6
21,USGS,02162035,2016-10-21,153.98,7.2,8.0,0.2,3.3,1.3,153.86,154.08,23.9,23.0,9.9,24.8
22,USGS,02162035,2016-10-22,153.96,7.6,8.2,1.2,3.1,2.0,153.88,154.07,22.5,21.0,8.9,23.0
23,USGS,02162035,2016-10-23,153.94,7.6,8.5,0.9,4.0,1.8,153.80,154.04,20.6,19.9,9.7,21.0
24,USGS,02162035,2016-10-24,153.99,7.9,8.9,0.3,2.9,1.4,153.80,154.13,19.5,19.2,9.4,20.0
25,USGS,02162035,2016-10-25,,8.5,9.2,0.1,2.5,0.8,,,19.2,18.8,10.1,19.7
26,USGS,02162035,2016-10-26,,8.8,9.2,0.5,2.2,1.2,,,19.1,18.8,9.8,19.5
27,USGS,02162035,2016-10-27,154.03,8.3,9.2,0.5,3.3,1.7,153.93,154.08,19.1,18.8,10.6,19.7
28,USGS,02162035,2016-10-28,153.97,8.5,9.1,0.4,1.8,0.9,153.86,154.09,19.5,18.8,10.0,20.0
29,USGS,02162035,2016-10-29,153.98,8.2,8.6,0.3,1.6,0.7,153.87,154.09,19.5,19.2,9.2,20.0
30,USGS,02162035,2016-10-30,153.99,8.0,8.4,,,,153.86,154.08,20.4,19.7,10.2,21.0
31,USGS,02162035,2016-10-31,153.92,7.7,8.5,,,,153.78,154.04,20.8,20.4,9.7,21.3
32,USGS,02162035,2016-11-01,153.93,7.6,8.2,,,,153.78,154.06,21.1,20.6,9.9,21.7
33,USGS,02162035,2016-11-02,153.87,7.6,8.4,0.1,0.6,0.3,153.76,154.00,21.1,20.8,8.7,21.6
34,USGS,02162035,2016-11-03,153.97,7.7,8.4,0.1,1.2,0.4,153.75,154.07,21.0,20.7,9.4,21.6
35,USGS,02162035,2016-11-04,154.04,7.9,8.3,,,,153.93,154.18,20.8,20.6,9.7,21.3
36,USGS,02162035,2016-11-05,154.08,7.9,8.4,0.1,2.8,0.8,153.99,154.20,20.5,19.7,8.8,20.8
37,USGS,02162035,2016-11-06,153.99,7.9,8.8,0.6,6.8,1.3,153.95,154.00,19.4,18.7,9.8,19.8
