,agency_cd,site_no,datetime,Gage height_Min,Gage height_Mean,Gage height_Max
0,USGS,021623975,2016-09-30,3.14,3.17,3.19
1,USGS,021623975,2016-10-01,3.14,3.16,3.18
2,USGS,021623975,2016-10-02,3.14,3.16,3.18
3,USGS,021623975,2016-10-03,3.14,3.16,3.18
4,USGS,021623975,2016-10-04,3.15,3.16,3.18
5,USGS,021623975,2016-10-05,3.11,3.14,3.16
6,USGS,021623975,2016-10-06,3.11,3.13,3.15
7,USGS,021623975,2016-10-07,3.08,3.25,3.59
8,USGS,021623975,2016-10-08,3.21,3.25,3.33
9,USGS,021623975,2016-10-09,3.16,3.18,3.21
10,USGS,021623975,2016-10-10,3.16,3.17,3.18
11,USGS,021623975,2016-10-11,3.15,3.18,3.24
12,USGS,021623975,2016-10-12,3.17,3.18,3.20
13,USGS,021623975,2016-10-13,3.16,3.17,3.19
14,USGS,021623975,2016-10-14,3.14,3.16,3.18
15,USGS,021623975,2016-10-15,3.16,3.17,3.19
16,USGS,021623975,2016-10-16,3.15,3.17,3.19
17,USGS,021623975,2016-10-17,3.15,3.16,3.18
18,USGS,021623975,2016-10-18,3.15,3.17,3.20
19,USGS,021623975,2016-10-19,3.15,3.17,3.18
20,USGS,021623975,2016-10-20,3.16,3.17,3.18
21,USGS,021623975,2016-10-21,3.14,3.16,3.24
22,USGS,021623975,2016-10-22,3.14,3.16,3.21
23,USGS,021623975,2016-10-23,3.13,3.16,3.18
24,USGS,021623975,2016-10-24,3.15,3.17,3.21
25,USGS,021623975,2016-10-25,3.15,3.18,3.26
26,USGS,021623975,2016-10-26,3.16,3.17,3.19
27,USGS,021623975,2016-10-27,3.15,3.17,3.18
28,USGS,021623975,2016-10-28,3.15,3.17,3.19
29,USGS,021623975,2016-10-29,3.14,3.16,3.18
30,USGS,021623975,2016-10-30,3.16,3.18,3.19
31,USGS,021623975,2016-10-31,3.16,3.17,3.18
32,USGS,021623975,2016-11-01,3.15,3.16,3.17
33,USGS,021623975,2016-11-02,3.16,3.17,3.19
34,USGS,021623975,2016-11-03,3.16,3.17,3.20
35,USGS,021623975,2016-11-04,3.15,3.16,3.17
36,USGS,021623975,2016-11-05,3.14,3.15,3.19
37,USGS,021623975,2016-11-06,3.17,3.18,3.20
38,USGS,021623975,2016-11-07,3.17,3.19,3.31
39,USGS,021623975,2016-11-08,3.15,3.16,3.18
40,USGS,021623975,2016-11-09,3.15,3.16,3.18
41,USGS,021623975,2016-11-10,3.16,3.17,3.18
42,USGS,021623975,2016-11-11,3.16,3.17,3.19
43,USGS,021623975,2016-11-12,3.16,3.16,3.18
44,USGS,021623975,2016-11-13,3.13,3.16,3.18
45,USGS,021623975,2016-11-14,3.16,3.17,3.19
46,USGS,021623975,2016-11-15,3.14,3.18,3.20
47,USGS,021623975,2016-11-16,3.18,3.19,3.21
48,USGS,021623975,2016-11-17,3.18,3.19,3.22
49,USGS,021623975,2016-11-18,3.17,3.18,3.21
50,USGS,021623975,2016-11-19,3.15,3.18,3.20
51,USGS,021623975,2016-11-20,3.16,3.18,3.19
52,USGS,021623975,2016-11-21,3.17,3.20,3.20
53,USGS,021623975,2016-11-22,3.16,3.19,3.20
54,USGS,021623975,2016-11-23,3.18,3.20,3.21
55,USGS,021623975,2016-11-24,3.17,3.20,3.22
56,USGS,021623975,2016-11-25,3.17,3.19,3.20
57,USGS,021623975,2016-11-26,3.16,3.18,3.19
58,USGS,021623975,2016-11-27,3.18,3.20,3.21
59,USGS,021623975,2016-11-28,3.19,3.20,3.21
60,USGS,021623975,2016-11-29,3.20,3.64,4.12
61,USGS,021623975,2016-11-30,3.32,3.51,3.99
62,USGS,021623975,2016-12-01,3.30,3.40,3.73
63,USGS,021623975,2016-12-02,3.24,3.27,3.30
64,USGS,021623975,2016-12-03,3.23,3.24,3.25
65,USGS,021623975,2016-12-04,3.22,3.31,3.42
66,USGS,021623975,2016-12-05,3.31,3.36,3.42
67,USGS,021623975,2016-12-06,3.36,3.53,3.68
68,USGS,021623975,2016-12-07,3.34,3.39,3.48
69,USGS,021623975,2016-12-08,3.28,3.31,3.34
70,USGS,021623975,2016-12-09,3.26,3.28,3.29
71,USGS,021623975,2016-12-10,3.25,3.33,3.40
72,USGS,021623975,2016-12-11,3.24,3.25,3.26
73,USGS,021623975,2016-12-12,,3.25,
74,USGS,021623975,2016-12-13,,3.25,
75,USGS,021623975,2016-12-14,3.21,3.23,3.25
76,USGS,021623975,2016-12-15,3.18,3.22,3.24
77,USGS,021623975,2016-12-16,3.20,3.22,3.26
78,USGS,021623975,2016-12-17,3.21,3.23,3.26
79,USGS,021623975,2016-12-18,3.23,3.27,3.29
80,USGS,021623975,2016-12-19,3.24,3.26,3.27
81,USGS,021623975,2016-12-20,3.23,3.24,3.27
