,agency_cd,site_no,datetime,Temperature_Max,Temperature_Mean,Temperature_Min
0,USGS,02163001,2016-09-30,25.4,24.3,23.5
1,USGS,02163001,2016-10-01,24.8,23.5,22.6
2,USGS,02163001,2016-10-02,24.6,23.0,22.3
3,USGS,02163001,2016-10-03,24.1,22.9,22.2
4,USGS,02163001,2016-10-04,23.4,22.6,22.1
5,USGS,02163001,2016-10-05,23.3,22.3,21.7
6,USGS,02163001,2016-10-06,23.2,22.2,21.6
7,USGS,02163001,2016-10-07,22.0,21.9,21.8
8,USGS,02163001,2016-10-08,22.0,21.6,20.9
9,USGS,02163001,2016-10-09,22.0,20.8,20.1
10,USGS,02163001,2016-10-10,21.2,20.2,19.6
11,USGS,02163001,2016-10-11,20.8,19.7,19.0
12,USGS,02163001,2016-10-12,20.6,19.2,18.5
13,USGS,02163001,2016-10-13,20.4,18.9,18.0
14,USGS,02163001,2016-10-14,20.0,19.1,18.5
15,USGS,02163001,2016-10-15,19.6,19.0,18.6
16,USGS,02163001,2016-10-16,20.6,19.4,18.9
17,USGS,02163001,2016-10-17,21.0,19.7,19.0
18,USGS,02163001,2016-10-18,21.2,20.1,19.3
19,USGS,02163001,2016-10-19,21.7,20.6,19.9
20,USGS,02163001,2016-10-20,21.9,20.8,20.2
21,USGS,02163001,2016-10-21,22.0,21.0,20.3
22,USGS,02163001,2016-10-22,20.9,20.0,19.1
23,USGS,02163001,2016-10-23,20.2,19.0,18.1
24,USGS,02163001,2016-10-24,20.0,18.5,17.7
25,USGS,02163001,2016-10-25,19.0,17.9,17.3
26,USGS,02163001,2016-10-26,18.6,17.4,16.7
27,USGS,02163001,2016-10-27,18.6,17.5,16.8
28,USGS,02163001,2016-10-28,19.1,17.8,17.0
29,USGS,02163001,2016-10-29,18.6,17.4,16.7
30,USGS,02163001,2016-10-30,19.0,17.6,16.8
31,USGS,02163001,2016-10-31,19.0,17.8,17.1
32,USGS,02163001,2016-11-01,19.1,18.1,17.6
33,USGS,02163001,2016-11-02,19.6,18.4,17.7
34,USGS,02163001,2016-11-03,19.8,18.7,17.9
35,USGS,02163001,2016-11-04,19.7,18.7,18.2
36,USGS,02163001,2016-11-05,19.1,18.1,17.4
37,USGS,02163001,2016-11-06,18.7,17.5,16.8
38,USGS,02163001,2016-11-07,17.8,16.8,16.2
39,USGS,02163001,2016-11-08,16.9,16.1,15.6
40,USGS,02163001,2016-11-09,16.7,15.8,15.3
41,USGS,02163001,2016-11-10,15.9,15.0,14.1
42,USGS,02163001,2016-11-11,15.1,14.3,13.6
43,USGS,02163001,2016-11-12,14.7,14.0,13.4
44,USGS,02163001,2016-11-13,13.4,13.1,12.4
45,USGS,02163001,2016-11-14,13.0,12.3,11.8
46,USGS,02163001,2016-11-15,13.0,12.0,11.5
47,USGS,02163001,2016-11-16,13.0,11.9,11.3
48,USGS,02163001,2016-11-17,12.9,11.8,11.2
49,USGS,02163001,2016-11-18,13.2,11.9,11.3
50,USGS,02163001,2016-11-19,13.1,11.9,11.4
51,USGS,02163001,2016-11-20,12.1,11.2,10.7
52,USGS,02163001,2016-11-21,11.6,10.7,10.2
53,USGS,02163001,2016-11-22,11.1,10.2,9.7
54,USGS,02163001,2016-11-23,10.6,9.8,9.5
55,USGS,02163001,2016-11-24,11.6,10.5,9.8
56,USGS,02163001,2016-11-25,11.7,10.7,10.2
57,USGS,02163001,2016-11-26,11.6,10.7,10.2
58,USGS,02163001,2016-11-27,11.0,10.1,9.6
59,USGS,02163001,2016-11-28,10.5,10.2,9.9
60,USGS,02163001,2016-11-29,11.3,11.0,10.4
61,USGS,02163001,2016-11-30,12.9,12.3,11.2
62,USGS,02163001,2016-12-01,13.3,13.0,12.4
63,USGS,02163001,2016-12-02,12.9,12.2,11.6
64,USGS,02163001,2016-12-03,11.6,11.0,10.8
65,USGS,02163001,2016-12-04,10.8,10.6,10.2
66,USGS,02163001,2016-12-05,10.5,10.2,9.9
67,USGS,02163001,2016-12-06,10.7,10.5,10.3
68,USGS,02163001,2016-12-07,11.3,11.0,10.6
69,USGS,02163001,2016-12-08,11.5,11.3,10.7
70,USGS,02163001,2016-12-09,10.7,10.3,9.6
71,USGS,02163001,2016-12-10,9.6,9.1,8.4
72,USGS,02163001,2016-12-11,8.4,7.7,7.3
73,USGS,02163001,2016-12-12,8.5,7.6,7.2
74,USGS,02163001,2016-12-13,7.8,7.6,7.2
75,USGS,02163001,2016-12-14,8.4,8.0,7.6
76,USGS,02163001,2016-12-15,8.8,8.2,7.7
77,USGS,02163001,2016-12-16,8.1,7.6,7.3
78,USGS,02163001,2016-12-17,7.7,7.5,7.2
79,USGS,02163001,2016-12-18,9.1,8.3,7.5
80,USGS,02163001,2016-12-19,8.5,8.2,8.0
81,USGS,02163001,2016-12-20,8.3,7.9,7.5
82,USGS,02163001,2016-12-21,8.3,7.6,7.0
83,USGS,02163001,2016-12-22,9.1,8.2,7.6
84,USGS,02163001,2016-12-23,8.8,8.3,7.9
85,USGS,02163001,2016-12-24,9.1,8.6,8.3
86,USGS,02163001,2016-12-25,9.8,9.0,8.3
87,USGS,02163001,2016-12-26,9.9,9.7,9.4
88,USGS,02163001,2016-12-27,11.0,10.4,9.9
89,USGS,02163001,2016-12-28,11.1,10.6,10.2
90,USGS,02163001,2016-12-29,11.5,10.9,10.3
91,USGS,02163001,2016-12-30,10.3,9.9,9.4
92,USGS,02163001,2016-12-31,9.4,8.8,8.3
93,USGS,02163001,2017-01-01,8.4,8.3,8.1
94,USGS,02163001,2017-01-02,8.7,8.4,8.1
95,USGS,02163001,2017-01-03,10.4,9.6,8.7
96,USGS,02163001,2017-01-04,10.5,10.3,9.9
97,USGS,02163001,2017-01-05,9.9,9.4,8.9
98,USGS,02163001,2017-01-06,8.9,8.5,8.0
99,USGS,02163001,2017-01-07,8.0,7.4,6.6
100,USGS,02163001,2017-01-08,6.8,6.2,5.6
101,USGS,02163001,2017-01-09,5.7,5.3,4.9
102,USGS,02163001,2017-01-10,5.5,5.0,4.5
103,USGS,02163001,2017-01-11,6.3,5.6,5.2
104,USGS,02163001,2017-01-12,8.0,6.7,5.8
105,USGS,02163001,2017-01-13,9.0,8.0,7.0
106,USGS,02163001,2017-01-14,9.9,9.2,8.4
107,USGS,02163001,2017-01-15,11.1,10.2,9.6
108,USGS,02163001,2017-01-16,11.3,11.0,10.8
109,USGS,02163001,2017-01-17,11.8,11.3,11.0
110,USGS,02163001,2017-01-18,12.6,12.0,11.5
111,USGS,02163001,2017-01-19,12.6,12.0,11.5
112,USGS,02163001,2017-01-20,13.3,12.6,12.2
113,USGS,02163001,2017-01-21,12.8,12.7,12.5
114,USGS,02163001,2017-01-22,13.2,12.8,12.5
115,USGS,02163001,2017-01-23,12.8,12.5,12.3
116,USGS,02163001,2017-01-24,12.7,12.4,12.0
117,USGS,02163001,2017-01-25,12.5,12.1,11.8
118,USGS,02163001,2017-01-26,12.9,12.3,11.6
119,USGS,02163001,2017-01-27,12.3,11.5,11.0
120,USGS,02163001,2017-01-28,11.3,10.7,10.1
121,USGS,02163001,2017-01-29,10.2,9.7,8.9
122,USGS,02163001,2017-01-30,9.1,8.6,8.3
123,USGS,02163001,2017-01-31,9.5,8.7,8.0
124,USGS,02163001,2017-02-01,10.5,9.3,8.6
125,USGS,02163001,2017-02-02,10.8,10.0,9.4
126,USGS,02163001,2017-02-03,10.7,10.3,9.9
127,USGS,02163001,2017-02-04,10.0,9.6,9.0
128,USGS,02163001,2017-02-05,10.2,9.3,8.9
129,USGS,02163001,2017-02-06,9.7,9.1,8.5
130,USGS,02163001,2017-02-07,10.4,9.7,9.1
131,USGS,02163001,2017-02-08,11.5,10.7,9.9
132,USGS,02163001,2017-02-09,12.3,11.7,11.3
133,USGS,02163001,2017-02-10,12.0,11.3,10.6
134,USGS,02163001,2017-02-11,12.4,11.5,10.9
135,USGS,02163001,2017-02-12,13.8,12.4,11.5
136,USGS,02163001,2017-02-13,13.2,12.5,11.8
137,USGS,02163001,2017-02-14,13.3,12.6,12.1
138,USGS,02163001,2017-02-15,13.8,12.8,12.3
139,USGS,02163001,2017-02-16,12.5,11.9,11.5
140,USGS,02163001,2017-02-17,12.7,11.6,10.9
141,USGS,02163001,2017-02-18,12.0,11.5,11.0
142,USGS,02163001,2017-02-19,13.2,12.1,11.2
143,USGS,02163001,2017-02-20,12.7,12.0,11.2
144,USGS,02163001,2017-02-21,12.9,12.4,11.8
145,USGS,02163001,2017-02-22,13.5,13.1,12.7
146,USGS,02163001,2017-02-23,15.0,13.9,13.1
147,USGS,02163001,2017-02-24,15.0,14.3,13.5
