,agency_cd,site_no,datetime,Gage height_Max,Gage height_Min,Gage height_Mean
0,USGS,02168501,2016-09-30,73.08,73.05,73.06
1,USGS,02168501,2016-10-01,73.09,73.04,73.07
2,USGS,02168501,2016-10-02,73.09,73.04,73.07
3,USGS,02168501,2016-10-03,73.09,73.05,73.07
4,USGS,02168501,2016-10-04,77.63,73.04,74.44
5,USGS,02168501,2016-10-05,77.62,73.74,75.83
6,USGS,02168501,2016-10-06,,,
7,USGS,02168501,2016-10-07,73.83,73.78,73.81
8,USGS,02168501,2016-10-08,73.86,73.78,73.82
9,USGS,02168501,2016-10-09,73.89,73.14,73.48
10,USGS,02168501,2016-10-10,73.18,73.14,73.16
11,USGS,02168501,2016-10-11,73.20,73.15,73.18
12,USGS,02168501,2016-10-12,73.19,73.16,73.18
13,USGS,02168501,2016-10-13,73.18,73.16,73.17
14,USGS,02168501,2016-10-14,73.18,73.16,73.17
15,USGS,02168501,2016-10-15,73.18,73.16,73.17
16,USGS,02168501,2016-10-16,73.19,73.16,73.17
17,USGS,02168501,2016-10-17,73.18,72.91,73.00
18,USGS,02168501,2016-10-18,72.92,72.91,72.92
19,USGS,02168501,2016-10-19,72.93,72.92,72.92
20,USGS,02168501,2016-10-20,72.94,72.92,72.93
21,USGS,02168501,2016-10-21,73.12,72.93,73.00
22,USGS,02168501,2016-10-22,73.04,73.00,73.01
23,USGS,02168501,2016-10-23,73.05,73.01,73.03
24,USGS,02168501,2016-10-24,73.04,72.92,72.97
25,USGS,02168501,2016-10-25,73.06,72.92,72.99
26,USGS,02168501,2016-10-26,73.06,72.89,72.96
27,USGS,02168501,2016-10-27,72.90,72.89,72.89
28,USGS,02168501,2016-10-28,72.89,72.85,72.88
29,USGS,02168501,2016-10-29,72.86,72.85,72.85
30,USGS,02168501,2016-10-30,72.87,72.85,72.86
31,USGS,02168501,2016-10-31,72.87,72.85,72.85
32,USGS,02168501,2016-11-01,72.87,72.85,72.85
