,agency_cd,site_no,datetime,Precipitation,Gage height_Max,Dissolved oxygen_Max,Temperature_Mean,Dissolved oxygen_Mean,Temperature_Min,Dissolved oxygen_Min,Temperature_Max,Gage height_Mean,Gage height_Min
0,USGS,02168504,2016-09-30,0.00,3.00,7.2,15.6,6.5,15.2,6.2,16.4,3.00,3.00
1,USGS,02168504,2016-10-01,0.00,3.01,7.1,15.7,6.4,15.2,6.0,16.5,3.00,3.00
2,USGS,02168504,2016-10-02,0.00,3.01,7.1,15.7,6.4,15.3,6.0,16.4,3.01,3.01
3,USGS,02168504,2016-10-03,0.00,3.01,6.8,15.7,6.2,15.3,5.9,16.4,3.01,3.01
4,USGS,02168504,2016-10-04,0.00,7.69,6.0,15.5,4.9,15.2,2.0,15.9,4.50,3.01
5,USGS,02168504,2016-10-05,0.00,7.70,6.0,15.3,3.6,15.2,1.4,15.4,5.94,3.88
6,USGS,02168504,2016-10-06,0.00,4.02,6.0,15.4,5.8,15.2,5.6,15.7,3.95,3.88
7,USGS,02168504,2016-10-07,0.54,3.97,5.7,15.3,5.7,15.2,5.6,15.4,3.96,3.95
8,USGS,02168504,2016-10-08,2.39,4.00,5.8,15.4,5.7,15.3,5.5,15.4,3.97,3.94
9,USGS,02168504,2016-10-09,0.00,3.98,6.4,15.3,6.0,15.0,5.7,15.7,3.53,3.10
10,USGS,02168504,2016-10-10,0.00,3.13,6.4,15.2,6.1,15.0,6.0,15.5,3.11,3.10
11,USGS,02168504,2016-10-11,0.00,3.15,6.3,15.2,6.1,15.0,5.8,15.5,3.13,3.11
12,USGS,02168504,2016-10-12,0.00,3.14,6.3,15.2,6.0,15.0,5.8,15.6,3.14,3.13
13,USGS,02168504,2016-10-13,0.00,3.13,6.4,15.2,6.0,15.1,5.9,15.6,3.12,3.12
14,USGS,02168504,2016-10-14,0.00,3.13,6.4,15.2,6.0,15.1,5.9,15.5,3.12,3.12
15,USGS,02168504,2016-10-15,0.00,3.13,6.3,15.2,6.0,15.1,5.9,15.5,3.12,3.12
16,USGS,02168504,2016-10-16,0.00,3.13,6.3,15.3,6.0,15.1,5.8,15.6,3.13,3.12
17,USGS,02168504,2016-10-17,0.00,3.13,7.2,15.3,6.5,15.1,5.8,15.8,2.91,2.79
18,USGS,02168504,2016-10-18,0.00,2.83,7.1,15.3,6.7,15.1,6.5,15.8,2.82,2.82
19,USGS,02168504,2016-10-19,0.00,2.83,7.2,15.3,6.7,15.2,6.5,15.8,2.83,2.82
20,USGS,02168504,2016-10-20,0.00,2.84,7.1,15.3,6.7,15.2,6.4,15.8,2.84,2.83
