,agency_cd,site_no,datetime,Temperature_Max,Dissolved oxygen_Mean,Temperature_Mean,Dissolved oxygen_Min,Temperature_Min,Gage height_Mean,Gage height_Max,Dissolved oxygen_Max,Gage height_Min
0,USGS,02169000,2016-09-30,18.4,8.6,18.0,8.1,17.6,2.42,2.42,9.3,2.41
1,USGS,02169000,2016-10-01,17.7,8.7,17.4,8.3,17.0,2.41,2.41,9.4,2.41
2,USGS,02169000,2016-10-02,17.8,8.7,17.3,8.2,17.0,2.41,2.42,9.3,2.41
3,USGS,02169000,2016-10-03,17.7,8.6,17.4,8.2,17.1,2.42,2.42,9.2,2.41
4,USGS,02169000,2016-10-04,18.0,8.3,17.4,6.7,16.0,2.87,4.71,8.7,2.41
5,USGS,02169000,2016-10-05,16.0,5.1,15.6,4.7,15.2,4.16,4.79,6.7,2.90
6,USGS,02169000,2016-10-06,17.1,7.5,16.4,5.8,15.7,2.91,2.96,8.6,2.87
7,USGS,02169000,2016-10-07,17.1,7.5,16.4,7.3,16.1,2.94,2.99,7.8,2.92
8,USGS,02169000,2016-10-08,19.6,7.6,18.5,7.4,16.5,3.71,4.30,7.8,2.99
9,USGS,02169000,2016-10-09,18.7,7.6,17.7,7.4,17.1,3.09,3.40,7.9,2.72
10,USGS,02169000,2016-10-10,17.4,8.0,17.0,7.7,16.5,2.62,2.72,8.5,2.57
11,USGS,02169000,2016-10-11,16.5,8.2,16.2,7.9,15.8,2.55,2.57,8.6,2.55
12,USGS,02169000,2016-10-12,16.6,8.2,16.1,7.9,15.6,2.54,2.55,8.6,2.54
13,USGS,02169000,2016-10-13,16.8,8.1,16.5,7.8,16.1,2.53,2.54,8.6,2.52
14,USGS,02169000,2016-10-14,16.8,8.1,16.6,7.8,16.4,2.52,2.53,8.5,2.52
15,USGS,02169000,2016-10-15,16.6,8.0,16.5,7.8,16.3,2.52,2.53,8.5,2.52
16,USGS,02169000,2016-10-16,17.1,8.0,16.7,7.7,16.3,2.52,2.53,8.6,2.52
17,USGS,02169000,2016-10-17,17.1,8.0,16.8,7.8,16.4,2.44,2.52,8.6,2.36
18,USGS,02169000,2016-10-18,17.6,8.1,17.1,7.7,16.8,2.37,2.37,8.7,2.36
19,USGS,02169000,2016-10-19,17.7,8.2,17.3,7.8,17.0,2.37,2.37,8.8,2.36
20,USGS,02169000,2016-10-20,17.7,8.2,17.3,7.9,17.1,2.37,2.37,8.7,2.36
21,USGS,02169000,2016-10-21,17.4,8.2,17.1,7.9,16.6,2.40,2.44,8.7,2.36
22,USGS,02169000,2016-10-22,16.6,8.2,15.9,7.9,15.4,2.41,2.42,8.7,2.40
23,USGS,02169000,2016-10-23,15.6,8.5,15.3,8.2,14.9,2.41,2.42,8.9,2.41
24,USGS,02169000,2016-10-24,16.0,8.5,15.6,8.2,15.3,2.38,2.41,8.9,2.34
25,USGS,02169000,2016-10-25,16.4,8.5,16.0,8.1,15.6,2.36,2.41,9.0,2.33
26,USGS,02169000,2016-10-26,15.9,8.6,15.6,8.2,15.4,2.37,2.42,9.0,2.31
27,USGS,02169000,2016-10-27,16.9,8.5,16.2,8.2,15.5,2.31,2.31,9.0,2.30
28,USGS,02169000,2016-10-28,17.9,8.4,17.2,7.9,16.6,2.30,2.31,9.0,2.30
29,USGS,02169000,2016-10-29,17.9,8.4,17.4,8.0,16.9,2.29,2.30,8.9,2.28
30,USGS,02169000,2016-10-30,17.9,8.4,17.4,8.0,16.8,2.29,2.29,8.9,2.28
31,USGS,02169000,2016-10-31,17.9,8.3,17.4,7.9,16.9,2.28,2.29,8.8,2.28
32,USGS,02169000,2016-11-01,17.8,8.0,17.5,7.7,17.2,2.29,2.30,8.4,2.27
33,USGS,02169000,2016-11-02,17.5,7.9,17.2,7.4,16.8,2.30,2.31,8.8,2.29
34,USGS,02169000,2016-11-03,17.7,8.1,17.3,7.8,17.0,2.39,2.54,8.7,2.29
