,agency_cd,site_no,datetime,Gage height_Min,Gage height_Max,Gage height_Mean
0,USGS,02169672,2016-09-30,2.58,2.65,2.63
1,USGS,02169672,2016-10-01,2.57,2.59,2.58
2,USGS,02169672,2016-10-02,2.57,2.59,2.58
3,USGS,02169672,2016-10-03,2.57,2.58,2.58
4,USGS,02169672,2016-10-04,2.57,2.59,2.58
5,USGS,02169672,2016-10-05,2.58,2.59,2.59
6,USGS,02169672,2016-10-06,2.58,2.59,2.58
7,USGS,02169672,2016-10-07,2.57,3.56,2.84
8,USGS,02169672,2016-10-08,3.56,6.76,5.27
9,USGS,02169672,2016-10-09,6.76,7.61,7.30
10,USGS,02169672,2016-10-10,7.35,7.63,7.54
11,USGS,02169672,2016-10-11,6.69,7.35,7.04
12,USGS,02169672,2016-10-12,5.91,6.69,6.31
13,USGS,02169672,2016-10-13,5.08,5.91,5.48
14,USGS,02169672,2016-10-14,4.49,5.08,4.75
15,USGS,02169672,2016-10-15,4.14,4.49,4.31
16,USGS,02169672,2016-10-16,3.86,4.14,4.00
17,USGS,02169672,2016-10-17,3.68,3.86,3.76
18,USGS,02169672,2016-10-18,3.54,3.68,3.60
19,USGS,02169672,2016-10-19,3.46,3.54,3.50
20,USGS,02169672,2016-10-20,3.40,3.46,3.44
21,USGS,02169672,2016-10-21,3.39,3.41,3.40
22,USGS,02169672,2016-10-22,3.34,3.39,3.37
23,USGS,02169672,2016-10-23,3.29,3.34,3.31
24,USGS,02169672,2016-10-24,3.25,3.29,3.27
25,USGS,02169672,2016-10-25,3.21,3.25,3.23
26,USGS,02169672,2016-10-26,3.19,3.21,3.20
27,USGS,02169672,2016-10-27,3.19,3.20,3.19
28,USGS,02169672,2016-10-28,3.19,3.21,3.20
29,USGS,02169672,2016-10-29,3.20,3.22,3.21
30,USGS,02169672,2016-10-30,3.20,3.21,3.20
31,USGS,02169672,2016-10-31,3.20,3.21,3.20
32,USGS,02169672,2016-11-01,3.19,3.20,3.19
33,USGS,02169672,2016-11-02,3.17,3.19,3.18
34,USGS,02169672,2016-11-03,3.17,3.20,3.18
35,USGS,02169672,2016-11-04,3.20,3.22,3.21
36,USGS,02169672,2016-11-05,3.18,3.22,3.20
37,USGS,02169672,2016-11-06,3.13,3.18,3.15
38,USGS,02169672,2016-11-07,3.09,3.13,3.11
39,USGS,02169672,2016-11-08,3.08,3.10,3.09
40,USGS,02169672,2016-11-09,3.08,3.11,3.10
41,USGS,02169672,2016-11-10,3.10,3.14,3.12
42,USGS,02169672,2016-11-11,3.14,3.16,3.15
43,USGS,02169672,2016-11-12,3.15,3.16,3.15
44,USGS,02169672,2016-11-13,3.14,3.29,3.18
45,USGS,02169672,2016-11-14,3.29,3.41,3.37
