,agency_cd,site_no,datetime
0,USGS,02171500,2016-09-30
1,USGS,02171500,2016-10-01
2,USGS,02171500,2016-10-02
3,USGS,02171500,2016-10-03
4,USGS,02171500,2016-10-04
5,USGS,02171500,2016-10-05
6,USGS,02171500,2016-10-06
7,USGS,02171500,2016-10-07
8,USGS,02171500,2016-10-08
9,USGS,02171500,2016-10-09
10,USGS,02171500,2016-10-10
11,USGS,02171500,2016-10-11
12,USGS,02171500,2016-10-12
13,USGS,02171500,2016-10-13
14,USGS,02171500,2016-10-14
15,USGS,02171500,2016-10-15
16,USGS,02171500,2016-10-16
17,USGS,02171500,2016-10-17
18,USGS,02171500,2016-10-18
19,USGS,02171500,2016-10-19
20,USGS,02171500,2016-10-20
21,USGS,02171500,2016-10-21
22,USGS,02171500,2016-10-22
23,USGS,02171500,2016-10-23
24,USGS,02171500,2016-10-24
25,USGS,02171500,2016-10-25
26,USGS,02171500,2016-10-26
27,USGS,02171500,2016-10-27
28,USGS,02171500,2016-10-28
29,USGS,02171500,2016-10-29
30,USGS,02171500,2016-10-30
31,USGS,02171500,2016-10-31
32,USGS,02171500,2016-11-01
33,USGS,02171500,2016-11-02
34,USGS,02171500,2016-11-03
35,USGS,02171500,2016-11-04
36,USGS,02171500,2016-11-05
37,USGS,02171500,2016-11-06
38,USGS,02171500,2016-11-07
39,USGS,02171500,2016-11-08
40,USGS,02171500,2016-11-09
41,USGS,02171500,2016-11-10
42,USGS,02171500,2016-11-11
43,USGS,02171500,2016-11-12
44,USGS,02171500,2016-11-13
45,USGS,02171500,2016-11-14
46,USGS,02171500,2016-11-15
47,USGS,02171500,2016-11-16
48,USGS,02171500,2016-11-17
49,USGS,02171500,2016-11-18
50,USGS,02171500,2016-11-19
51,USGS,02171500,2016-11-20
52,USGS,02171500,2016-11-21
53,USGS,02171500,2016-11-22
54,USGS,02171500,2016-11-23
55,USGS,02171500,2016-11-24
56,USGS,02171500,2016-11-25
57,USGS,02171500,2016-11-26
58,USGS,02171500,2016-11-27
59,USGS,02171500,2016-11-28
60,USGS,02171500,2016-11-29
61,USGS,02171500,2016-11-30
62,USGS,02171500,2016-12-01
63,USGS,02171500,2016-12-02
64,USGS,02171500,2016-12-03
65,USGS,02171500,2016-12-04
66,USGS,02171500,2016-12-05
67,USGS,02171500,2016-12-06
68,USGS,02171500,2016-12-07
69,USGS,02171500,2016-12-08
70,USGS,02171500,2016-12-09
71,USGS,02171500,2016-12-10
72,USGS,02171500,2016-12-11
73,USGS,02171500,2016-12-12
74,USGS,02171500,2016-12-13
75,USGS,02171500,2016-12-14
76,USGS,02171500,2016-12-15
77,USGS,02171500,2016-12-16
78,USGS,02171500,2016-12-17
79,USGS,02171500,2016-12-18
80,USGS,02171500,2016-12-19
81,USGS,02171500,2016-12-20
82,USGS,02171500,2016-12-21
83,USGS,02171500,2016-12-22
84,USGS,02171500,2016-12-23
85,USGS,02171500,2016-12-24
86,USGS,02171500,2016-12-25
87,USGS,02171500,2016-12-26
88,USGS,02171500,2016-12-27
89,USGS,02171500,2016-12-28
90,USGS,02171500,2016-12-29
91,USGS,02171500,2016-12-30
92,USGS,02171500,2016-12-31
93,USGS,02171500,2017-01-01
94,USGS,02171500,2017-01-02
95,USGS,02171500,2017-01-03
96,USGS,02171500,2017-01-04
97,USGS,02171500,2017-01-05
98,USGS,02171500,2017-01-06
99,USGS,02171500,2017-01-07
100,USGS,02171500,2017-01-08
101,USGS,02171500,2017-01-09
102,USGS,02171500,2017-01-10
103,USGS,02171500,2017-01-11
104,USGS,02171500,2017-01-12
105,USGS,02171500,2017-01-13
106,USGS,02171500,2017-01-14
107,USGS,02171500,2017-01-15
