,agency_cd,site_no,datetime,Dissolved oxygen_Mean,Temperature_Min,Temperature_Max,Temperature_Mean,Gage height_Max,Gage height_Min,Dissolved oxygen_Min,Dissolved oxygen_Max,Gage height_Mean
0,USGS,02171645,2016-09-30,6.0,27.2,29.0,27.9,8.16,6.63,4.6,7.8,6.86
1,USGS,02171645,2016-10-01,6.5,27.1,28.9,27.9,6.66,6.62,5.6,8.7,6.63
2,USGS,02171645,2016-10-02,6.7,27.1,28.4,27.7,6.63,6.61,5.7,8.6,6.62
3,USGS,02171645,2016-10-03,6.4,26.7,28.2,27.4,6.63,6.62,5.7,8.1,6.62
4,USGS,02171645,2016-10-04,6.0,26.3,27.2,26.9,6.64,6.61,5.3,7.3,6.62
5,USGS,02171645,2016-10-05,6.3,24.1,26.3,25.4,19.10,6.60,5.0,7.7,11.19
6,USGS,02171645,2016-10-06,7.4,23.2,24.1,23.8,19.32,9.08,6.8,8.1,13.28
7,USGS,02171645,2016-10-07,7.7,22.9,23.8,23.2,22.23,10.92,7.2,8.0,16.97
8,USGS,02171645,2016-10-08,7.5,23.1,24.0,23.7,23.95,22.23,7.4,7.7,23.29
9,USGS,02171645,2016-10-09,7.9,22.2,23.1,22.6,24.31,21.39,7.4,8.4,23.80
10,USGS,02171645,2016-10-10,8.2,21.5,22.7,22.1,23.95,19.84,7.1,8.7,22.46
11,USGS,02171645,2016-10-11,7.0,21.3,21.7,21.5,21.74,16.81,5.0,8.4,18.88
12,USGS,02171645,2016-10-12,7.3,21.3,21.8,21.5,16.81,13.69,5.9,8.1,15.21
13,USGS,02171645,2016-10-13,6.6,21.5,21.8,21.6,13.69,11.06,4.7,8.1,12.33
14,USGS,02171645,2016-10-14,6.6,21.3,22.2,21.7,11.06,9.13,5.4,7.4,10.03
15,USGS,02171645,2016-10-15,6.3,21.5,22.7,22.1,9.13,8.12,5.8,7.2,8.57
16,USGS,02171645,2016-10-16,6.1,21.7,23.0,22.3,8.12,7.65,4.7,7.1,7.87
17,USGS,02171645,2016-10-17,6.3,22.0,24.6,22.9,7.65,7.39,5.8,8.3,7.51
18,USGS,02171645,2016-10-18,6.3,22.1,24.2,23.0,7.39,7.20,5.4,8.6,7.29
19,USGS,02171645,2016-10-19,6.4,22.4,24.3,23.0,16.74,7.09,5.2,8.1,9.55
20,USGS,02171645,2016-10-20,6.9,22.7,24.5,23.5,16.56,8.73,6.4,7.5,11.07
21,USGS,02171645,2016-10-21,7.0,23.8,25.0,24.3,16.98,8.31,6.5,7.6,11.16
22,USGS,02171645,2016-10-22,7.1,23.2,24.1,23.7,16.62,7.80,6.8,7.5,10.48
23,USGS,02171645,2016-10-23,7.2,21.2,23.3,22.1,17.32,9.65,6.6,7.7,12.11
24,USGS,02171645,2016-10-24,7.3,19.8,22.1,20.9,16.54,7.36,6.8,8.0,10.06
25,USGS,02171645,2016-10-25,7.3,19.5,20.5,19.9,12.68,7.38,6.6,8.1,9.33
26,USGS,02171645,2016-10-26,7.2,19.2,20.7,19.9,7.38,6.75,6.7,8.2,6.93
27,USGS,02171645,2016-10-27,7.1,19.6,21.4,20.4,6.75,6.71,6.5,8.4,6.73
28,USGS,02171645,2016-10-28,6.7,20.1,22.1,20.9,6.72,6.69,6.2,8.0,6.70
29,USGS,02171645,2016-10-29,6.5,20.3,22.5,21.2,6.70,6.68,5.9,8.0,6.69
30,USGS,02171645,2016-10-30,6.4,20.3,21.8,21.0,6.69,6.66,5.7,7.8,6.68
31,USGS,02171645,2016-10-31,6.2,20.6,22.1,21.2,6.69,6.66,5.3,7.9,6.67
32,USGS,02171645,2016-11-01,6.3,20.7,21.9,21.2,6.69,6.66,5.6,7.9,6.68
33,USGS,02171645,2016-11-02,6.2,20.8,23.0,21.6,6.70,6.68,5.5,8.3,6.69
34,USGS,02171645,2016-11-03,6.2,20.9,22.2,21.6,6.69,6.65,5.3,7.9,6.67
35,USGS,02171645,2016-11-04,6.0,20.7,21.7,21.3,6.70,6.64,5.2,7.2,6.67
36,USGS,02171645,2016-11-05,6.1,19.6,21.0,20.3,6.66,6.64,5.3,8.3,6.65
37,USGS,02171645,2016-11-06,6.6,19.0,20.3,19.6,6.66,6.64,5.5,9.3,6.65
38,USGS,02171645,2016-11-07,6.4,18.7,19.6,19.1,6.68,6.64,5.6,8.1,6.66
39,USGS,02171645,2016-11-08,6.8,18.1,19.4,18.8,6.64,6.63,5.7,9.4,6.63
40,USGS,02171645,2016-11-09,6.9,18.0,18.8,18.4,6.63,6.61,5.6,9.7,6.63
41,USGS,02171645,2016-11-10,6.7,17.3,18.9,18.1,6.63,6.61,5.8,9.0,6.62
42,USGS,02171645,2016-11-11,6.9,17.3,18.7,17.8,6.63,6.62,6.0,8.8,6.62
43,USGS,02171645,2016-11-12,6.5,17.1,18.0,17.5,8.05,6.62,5.5,7.7,6.76
44,USGS,02171645,2016-11-13,6.7,16.2,17.2,16.7,6.66,6.61,6.4,7.3,6.63
45,USGS,02171645,2016-11-14,6.9,15.9,16.4,16.1,6.65,6.63,6.4,8.1,6.64
46,USGS,02171645,2016-11-15,7.0,15.6,17.7,16.3,6.65,6.64,5.9,8.8,6.64
47,USGS,02171645,2016-11-16,7.6,15.4,16.9,16.0,6.65,6.63,6.1,8.9,6.64
48,USGS,02171645,2016-11-17,8.5,15.3,16.3,15.9,6.64,6.64,8.2,9.0,6.64
49,USGS,02171645,2016-11-18,8.5,15.3,17.0,16.0,6.64,6.63,8.2,9.0,6.64
50,USGS,02171645,2016-11-19,8.8,15.2,16.5,15.8,6.64,6.55,8.3,9.2,6.61
51,USGS,02171645,2016-11-20,9.0,14.3,15.3,14.8,6.64,6.58,8.7,9.6,6.62
52,USGS,02171645,2016-11-21,9.0,13.8,15.2,14.4,6.63,6.61,8.8,9.3,6.62
53,USGS,02171645,2016-11-22,9.0,13.6,15.1,14.2,6.61,6.60,8.8,9.3,6.61
54,USGS,02171645,2016-11-23,9.0,13.3,14.5,13.9,6.63,6.61,8.5,10.1,6.62
55,USGS,02171645,2016-11-24,8.8,14.1,15.8,14.9,6.62,6.59,8.3,9.5,6.61
56,USGS,02171645,2016-11-25,8.9,14.9,16.1,15.5,6.62,6.61,8.3,9.9,6.62
57,USGS,02171645,2016-11-26,9.0,15.2,16.1,15.6,6.63,6.58,8.4,9.6,6.60
58,USGS,02171645,2016-11-27,9.2,14.4,15.5,14.9,6.61,6.60,8.8,10.3,6.60
59,USGS,02171645,2016-11-28,9.2,13.9,14.6,14.4,6.67,6.60,8.8,9.8,6.62
60,USGS,02171645,2016-11-29,8.9,14.6,16.4,15.4,6.65,6.59,8.5,9.6,6.62
61,USGS,02171645,2016-11-30,8.8,15.7,17.6,16.4,6.64,6.58,7.8,9.9,6.62
62,USGS,02171645,2016-12-01,9.2,16.2,17.9,17.0,9.41,6.59,8.7,9.9,6.72
63,USGS,02171645,2016-12-02,9.0,15.4,16.4,15.9,6.73,6.58,8.4,9.7,6.63
64,USGS,02171645,2016-12-03,9.3,14.9,15.5,15.2,6.62,6.60,8.9,9.8,6.61
65,USGS,02171645,2016-12-04,9.1,14.8,15.2,15.0,6.63,6.61,8.8,9.6,6.62
66,USGS,02171645,2016-12-05,9.0,14.5,15.4,14.9,6.70,6.60,8.8,9.6,6.63
67,USGS,02171645,2016-12-06,9.3,14.7,15.3,14.9,6.82,6.70,9.0,9.8,6.76
68,USGS,02171645,2016-12-07,9.2,14.6,15.6,15.0,11.39,6.74,8.8,10.3,7.10
69,USGS,02171645,2016-12-08,9.2,14.9,15.7,15.3,7.62,6.76,8.7,9.5,6.96
70,USGS,02171645,2016-12-09,9.3,13.8,15.0,14.4,6.77,6.72,9.0,9.7,6.74
71,USGS,02171645,2016-12-10,9.4,12.9,13.9,13.4,6.73,6.70,9.1,10.1,6.71
72,USGS,02171645,2016-12-11,9.5,12.3,13.1,12.7,6.73,6.69,9.1,10.0,6.70
73,USGS,02171645,2016-12-12,9.6,12.8,13.6,13.2,6.74,6.69,9.0,10.1,6.72
74,USGS,02171645,2016-12-13,9.4,13.4,13.6,13.5,6.75,6.71,9.0,9.9,6.73
75,USGS,02171645,2016-12-14,9.5,13.4,13.8,13.6,6.78,6.73,9.0,10.2,6.76
76,USGS,02171645,2016-12-15,9.6,12.6,13.7,13.2,6.77,6.72,9.2,10.2,6.75
77,USGS,02171645,2016-12-16,9.8,11.6,12.7,12.1,6.76,6.73,9.4,10.3,6.74
78,USGS,02171645,2016-12-17,9.9,11.2,12.9,12.0,6.76,6.72,9.3,10.9,6.74
79,USGS,02171645,2016-12-18,9.7,12.3,13.7,13.0,6.75,6.71,8.7,10.7,6.74
80,USGS,02171645,2016-12-19,10.0,12.2,13.9,13.1,6.76,6.70,9.4,10.3,6.73
81,USGS,02171645,2016-12-20,9.9,11.5,12.2,11.8,6.73,6.72,9.7,10.3,6.72
82,USGS,02171645,2016-12-21,9.8,11.2,12.8,11.8,6.73,6.71,9.6,10.1,6.72
83,USGS,02171645,2016-12-22,10.0,11.1,12.2,11.6,6.73,6.70,9.7,10.4,6.71
84,USGS,02171645,2016-12-23,10.1,11.3,12.1,11.7,6.73,6.70,9.8,10.5,6.71
85,USGS,02171645,2016-12-24,10.2,11.7,13.0,12.3,6.71,6.68,9.9,10.6,6.70
86,USGS,02171645,2016-12-25,10.1,12.3,13.3,12.7,6.73,6.70,9.7,10.7,6.70
87,USGS,02171645,2016-12-26,10.0,12.7,13.3,12.8,6.71,6.68,9.6,10.3,6.69
88,USGS,02171645,2016-12-27,9.9,12.9,13.5,13.2,6.72,6.68,9.3,10.5,6.69
89,USGS,02171645,2016-12-28,9.8,13.3,13.9,13.5,6.72,6.69,9.1,10.4,6.70
90,USGS,02171645,2016-12-29,9.8,12.8,14.1,13.4,6.72,6.60,9.2,10.3,6.67
91,USGS,02171645,2016-12-30,10.2,11.5,12.8,12.3,17.27,6.63,9.9,11.5,10.53
92,USGS,02171645,2016-12-31,10.7,10.6,11.5,10.8,19.89,12.71,10.4,10.8,16.92
93,USGS,02171645,2017-01-01,11.1,10.6,11.0,10.8,17.12,9.08,10.3,12.8,11.73
94,USGS,02171645,2017-01-02,10.5,11.0,12.1,11.4,17.28,8.31,10.2,10.9,11.50
95,USGS,02171645,2017-01-03,10.5,12.1,13.3,12.7,16.90,8.21,10.0,10.8,11.23
96,USGS,02171645,2017-01-04,10.3,13.2,13.9,13.6,16.75,7.96,10.0,10.5,10.89
97,USGS,02171645,2017-01-05,10.3,13.1,13.7,13.4,16.99,7.84,10.1,10.4,10.79
98,USGS,02171645,2017-01-06,10.4,12.4,13.4,13.0,18.92,9.85,10.2,10.6,12.98
99,USGS,02171645,2017-01-07,10.6,10.1,12.4,11.5,21.93,11.45,10.4,11.0,16.76
100,USGS,02171645,2017-01-08,11.0,8.8,10.1,9.2,21.98,16.05,10.8,11.4,19.42
101,USGS,02171645,2017-01-09,11.2,8.5,8.8,8.6,22.79,17.29,11.0,11.4,20.58
102,USGS,02171645,2017-01-10,11.3,8.1,8.8,8.4,20.79,14.56,11.1,11.6,17.29
103,USGS,02171645,2017-01-11,11.3,8.1,9.8,8.9,18.87,10.93,10.7,11.6,14.12
104,USGS,02171645,2017-01-12,10.9,9.4,10.7,10.0,10.93,7.37,10.5,11.4,8.76
105,USGS,02171645,2017-01-13,11.0,9.9,11.3,10.7,16.05,7.09,10.5,11.5,10.32
106,USGS,02171645,2017-01-14,10.9,10.7,12.0,11.1,16.78,7.01,10.1,11.4,9.31
107,USGS,02171645,2017-01-15,11.2,11.8,13.4,12.5,16.57,7.98,10.9,11.5,10.98
108,USGS,02171645,2017-01-16,11.0,13.4,13.8,13.5,18.03,9.89,10.6,11.3,12.66
109,USGS,02171645,2017-01-17,10.6,13.3,14.5,13.7,10.52,6.99,9.8,10.9,8.28
110,USGS,02171645,2017-01-18,10.1,13.8,15.1,14.4,6.99,6.67,9.6,10.4,6.77
111,USGS,02171645,2017-01-19,9.9,14.2,15.1,14.6,6.71,6.68,9.5,10.4,6.70
112,USGS,02171645,2017-01-20,9.6,14.5,15.6,15.0,6.69,6.65,9.2,10.1,6.67
113,USGS,02171645,2017-01-21,9.4,15.0,15.4,15.2,16.65,6.66,8.4,10.4,8.41
114,USGS,02171645,2017-01-22,9.7,15.0,15.4,15.2,17.00,7.83,9.4,10.0,10.67
115,USGS,02171645,2017-01-23,9.5,14.8,15.4,15.2,16.89,8.49,9.3,9.8,11.43
116,USGS,02171645,2017-01-24,9.7,13.6,14.8,14.2,18.78,10.90,9.3,10.0,14.50
117,USGS,02171645,2017-01-25,10.0,13.3,14.5,13.9,18.40,11.69,9.7,10.3,14.31
118,USGS,02171645,2017-01-26,10.0,13.9,14.6,14.2,18.95,9.26,9.6,10.3,12.96
119,USGS,02171645,2017-01-27,10.1,12.8,14.3,13.8,19.10,12.39,9.9,10.3,15.53
120,USGS,02171645,2017-01-28,10.3,11.4,12.8,12.3,19.10,12.57,10.1,10.6,15.17
121,USGS,02171645,2017-01-29,10.6,10.2,11.5,11.1,18.23,11.86,10.3,11.1,14.40
122,USGS,02171645,2017-01-30,10.9,9.9,10.5,10.2,19.26,12.86,10.8,11.2,15.59
123,USGS,02171645,2017-01-31,11.1,9.8,10.4,10.0,18.83,12.56,10.7,11.4,15.28
124,USGS,02171645,2017-02-01,11.2,10.0,11.6,10.6,16.49,10.05,10.9,11.5,12.74
125,USGS,02171645,2017-02-02,11.1,10.9,12.6,11.6,15.73,9.36,10.9,11.4,11.63
126,USGS,02171645,2017-02-03,11.0,12.0,12.7,12.3,16.46,7.37,10.6,11.6,9.66
127,USGS,02171645,2017-02-04,11.1,11.4,12.7,12.2,17.66,10.92,10.9,11.2,13.68
128,USGS,02171645,2017-02-05,,,,,,,,,
129,USGS,02171645,2017-02-06,,,,,,,,,
130,USGS,02171645,2017-02-07,,,,,,,,,
131,USGS,02171645,2017-02-08,,,,,,,,,
132,USGS,02171645,2017-02-09,10.7,13.4,14.1,13.8,18.50,11.08,10.4,10.9,14.21
133,USGS,02171645,2017-02-10,10.4,12.3,13.5,13.0,19.29,13.44,10.1,11.0,15.82
134,USGS,02171645,2017-02-11,10.5,11.6,12.4,12.0,19.87,12.22,10.2,10.8,15.47
135,USGS,02171645,2017-02-12,10.5,11.9,14.1,12.6,18.91,8.89,9.8,11.0,12.93
136,USGS,02171645,2017-02-13,10.5,13.9,15.0,14.3,15.87,8.81,10.0,10.8,12.07
137,USGS,02171645,2017-02-14,10.4,13.7,14.8,14.2,14.62,7.91,9.7,10.7,9.78
138,USGS,02171645,2017-02-15,9.9,14.1,14.8,14.4,10.40,7.09,9.2,10.4,8.13
139,USGS,02171645,2017-02-16,10.0,13.5,14.5,14.0,10.18,6.97,9.4,10.4,7.85
140,USGS,02171645,2017-02-17,10.0,13.5,14.8,14.1,10.28,6.89,9.3,10.6,7.81
141,USGS,02171645,2017-02-18,9.5,13.8,14.6,14.2,6.93,6.72,8.8,10.1,6.77
142,USGS,02171645,2017-02-19,9.0,13.8,15.9,14.8,6.72,6.65,8.3,9.5,6.69
143,USGS,02171645,2017-02-20,9.5,14.5,16.0,15.3,9.97,6.68,7.2,10.8,7.61
144,USGS,02171645,2017-02-21,9.5,14.9,15.5,15.3,9.95,6.77,8.2,10.1,7.67
145,USGS,02171645,2017-02-22,9.4,14.9,16.0,15.5,9.95,6.78,8.3,10.2,7.70
146,USGS,02171645,2017-02-23,9.3,15.3,16.3,15.8,9.90,6.81,7.7,10.0,7.67
147,USGS,02171645,2017-02-24,9.2,15.6,16.8,16.2,9.97,6.74,7.0,9.8,7.63
148,USGS,02171645,2017-02-25,8.8,16.1,17.3,16.6,9.98,6.71,6.6,9.5,7.60
149,USGS,02171645,2017-02-26,8.6,15.9,17.6,16.9,10.05,6.71,6.2,9.4,7.60
150,USGS,02171645,2017-02-27,8.6,16.3,17.5,17.0,9.99,6.73,6.6,9.4,7.60
151,USGS,02171645,2017-02-28,8.3,17.1,18.3,17.7,9.81,6.72,6.1,9.1,7.57
152,USGS,02171645,2017-03-01,7.3,18.0,19.3,18.6,10.02,6.63,3.9,9.0,7.15
153,USGS,02171645,2017-03-02,8.2,18.3,19.1,18.8,10.29,6.71,5.7,8.7,7.55
154,USGS,02171645,2017-03-03,8.2,17.6,18.6,18.2,10.11,6.79,6.7,9.5,7.92
155,USGS,02171645,2017-03-04,8.0,17.1,18.6,17.8,13.09,6.73,6.5,9.6,7.76
156,USGS,02171645,2017-03-05,8.1,16.8,18.1,17.4,10.76,6.86,5.2,8.6,8.19
157,USGS,02171645,2017-03-06,8.3,16.3,17.1,16.7,8.63,6.66,6.9,10.5,7.16
158,USGS,02171645,2017-03-07,8.4,16.4,17.4,16.9,9.91,6.65,3.4,10.2,7.54
159,USGS,02171645,2017-03-08,8.7,16.8,18.0,17.3,9.93,6.69,3.9,10.9,7.55
160,USGS,02171645,2017-03-09,9.1,16.6,18.3,17.3,10.13,6.68,4.4,11.7,7.66
161,USGS,02171645,2017-03-10,9.0,17.0,18.1,17.4,9.82,6.70,5.0,10.6,7.48
162,USGS,02171645,2017-03-11,8.7,16.6,17.9,17.1,9.84,6.66,5.0,10.7,7.53
163,USGS,02171645,2017-03-12,8.5,15.5,17.0,16.3,9.89,6.68,5.8,9.3,7.51
164,USGS,02171645,2017-03-13,9.0,14.9,15.6,15.3,9.95,6.71,7.5,10.5,7.58
165,USGS,02171645,2017-03-14,9.6,14.4,15.5,15.1,9.66,6.69,7.4,11.9,7.46
166,USGS,02171645,2017-03-15,9.4,14.0,15.1,14.5,9.91,6.67,7.1,11.8,7.76
167,USGS,02171645,2017-03-16,10.0,13.2,14.4,13.8,10.46,6.87,8.4,12.8,7.88
168,USGS,02171645,2017-03-17,10.3,12.7,14.0,13.4,10.32,6.79,7.8,14.3,7.74
169,USGS,02171645,2017-03-18,10.1,12.6,13.5,13.0,10.09,6.75,8.6,12.3,8.11
170,USGS,02171645,2017-03-19,11.0,11.8,14.0,12.7,10.72,7.13,9.5,14.1,8.63
171,USGS,02171645,2017-03-20,11.3,12.4,14.2,13.3,12.11,7.42,9.5,15.7,8.99
172,USGS,02171645,2017-03-21,11.2,13.2,15.3,14.0,10.74,7.14,9.1,16.7,8.65
173,USGS,02171645,2017-03-22,10.6,14.6,16.2,15.3,12.13,7.44,7.4,14.9,9.39
174,USGS,02171645,2017-03-23,10.6,15.3,16.5,15.8,11.01,7.32,9.0,14.6,8.90
175,USGS,02171645,2017-03-24,10.3,15.6,16.7,16.1,10.59,6.87,8.4,13.8,8.20
176,USGS,02171645,2017-03-25,10.5,16.1,16.9,16.4,10.22,6.79,7.6,15.5,8.13
177,USGS,02171645,2017-03-26,10.1,16.1,17.7,16.8,10.72,7.19,8.2,16.0,8.71
178,USGS,02171645,2017-03-27,9.9,17.2,19.0,18.0,10.70,7.18,7.6,16.6,8.69
179,USGS,02171645,2017-03-28,9.1,18.4,19.9,19.1,10.82,7.16,7.4,12.3,8.68
180,USGS,02171645,2017-03-29,9.5,19.3,21.1,20.0,10.72,7.20,6.9,14.2,8.69
