,agency_cd,site_no,datetime,Temperature_Mean,Temperature_Max,Temperature_Min,Gage height_Mean,Gage height_Min,Gage height_Max
0,USGS,02171905,2016-09-30,27.5,28.3,26.8,21.94,19.60,24.00
1,USGS,02171905,2016-10-01,27.3,28.2,26.7,22.22,19.82,24.27
2,USGS,02171905,2016-10-02,27.1,27.5,26.5,22.20,19.95,24.14
3,USGS,02171905,2016-10-03,26.6,27.4,26.0,22.27,20.18,24.12
4,USGS,02171905,2016-10-04,25.8,26.7,24.9,22.61,20.55,24.38
5,USGS,02171905,2016-10-05,24.5,25.5,24.2,22.72,20.95,24.38
6,USGS,02171905,2016-10-06,23.5,24.4,23.2,22.86,21.10,24.46
7,USGS,02171905,2016-10-07,,,,,,
8,USGS,02171905,2016-10-08,,,,,,
9,USGS,02171905,2016-10-09,,,,,,
10,USGS,02171905,2016-10-10,,,,,,
11,USGS,02171905,2016-10-11,,,,,,
12,USGS,02171905,2016-10-12,20.6,21.1,20.0,23.42,21.61,25.06
13,USGS,02171905,2016-10-13,20.7,21.6,20.1,23.10,21.01,24.84
14,USGS,02171905,2016-10-14,20.7,21.7,20.2,22.99,20.72,24.92
15,USGS,02171905,2016-10-15,21.0,22.3,20.4,23.04,20.69,24.95
16,USGS,02171905,2016-10-16,21.4,22.6,20.5,22.91,20.51,25.06
17,USGS,02171905,2016-10-17,22.0,23.7,20.9,22.86,20.34,25.08
18,USGS,02171905,2016-10-18,22.5,23.8,21.2,22.73,20.31,25.03
19,USGS,02171905,2016-10-19,22.9,23.9,21.6,22.45,19.95,24.82
20,USGS,02171905,2016-10-20,23.0,24.2,22.0,22.44,19.90,24.70
21,USGS,02171905,2016-10-21,22.9,24.0,22.0,22.46,20.28,24.73
22,USGS,02171905,2016-10-22,21.1,22.1,20.1,22.05,19.58,24.38
23,USGS,02171905,2016-10-23,19.9,20.7,18.6,22.51,20.41,24.47
24,USGS,02171905,2016-10-24,19.3,19.9,18.4,22.14,19.95,23.95
25,USGS,02171905,2016-10-25,19.6,20.4,18.8,22.53,20.57,24.44
26,USGS,02171905,2016-10-26,19.6,20.3,18.8,22.40,20.20,24.12
27,USGS,02171905,2016-10-27,19.9,20.8,19.1,22.18,20.00,24.10
28,USGS,02171905,2016-10-28,20.5,21.5,19.6,21.97,19.81,23.95
29,USGS,02171905,2016-10-29,21.2,22.0,20.3,22.22,19.75,24.27
30,USGS,02171905,2016-10-30,21.4,22.0,20.6,22.02,19.85,24.12
31,USGS,02171905,2016-10-31,21.7,22.3,21.0,22.00,19.55,24.12
32,USGS,02171905,2016-11-01,21.8,22.4,21.2,22.65,20.62,24.65
33,USGS,02171905,2016-11-02,21.9,22.9,21.2,22.14,20.15,24.21
34,USGS,02171905,2016-11-03,22.0,22.7,21.3,21.77,19.89,23.84
35,USGS,02171905,2016-11-04,21.7,22.1,21.0,21.86,19.74,23.71
36,USGS,02171905,2016-11-05,20.6,21.6,19.8,22.45,20.73,24.22
37,USGS,02171905,2016-11-06,19.6,20.3,18.8,22.13,20.39,23.98
38,USGS,02171905,2016-11-07,18.9,19.6,17.5,22.13,20.35,23.94
39,USGS,02171905,2016-11-08,18.1,18.8,17.3,22.44,20.54,24.22
40,USGS,02171905,2016-11-09,17.3,17.9,16.2,22.31,19.97,24.06
41,USGS,02171905,2016-11-10,16.6,17.2,15.5,22.40,20.03,24.24
42,USGS,02171905,2016-11-11,16.1,16.9,15.2,22.51,20.12,24.42
43,USGS,02171905,2016-11-12,15.9,16.7,14.9,22.93,19.92,24.86
44,USGS,02171905,2016-11-13,15.0,16.0,13.9,22.92,20.38,25.09
45,USGS,02171905,2016-11-14,14.1,15.2,13.2,22.65,20.06,25.05
46,USGS,02171905,2016-11-15,14.2,15.3,12.8,22.39,19.53,24.89
47,USGS,02171905,2016-11-16,14.5,15.5,13.2,22.33,19.58,24.85
48,USGS,02171905,2016-11-17,14.6,15.5,13.4,22.09,19.49,24.54
49,USGS,02171905,2016-11-18,14.9,15.8,13.6,22.03,19.52,24.46
50,USGS,02171905,2016-11-19,15.2,16.3,14.1,21.81,19.67,24.26
51,USGS,02171905,2016-11-20,14.4,15.4,13.5,21.53,19.20,23.93
52,USGS,02171905,2016-11-21,13.7,14.4,13.0,21.78,19.76,23.80
53,USGS,02171905,2016-11-22,13.3,13.9,12.6,21.69,19.67,23.52
54,USGS,02171905,2016-11-23,13.2,14.0,12.5,21.58,19.58,23.41
55,USGS,02171905,2016-11-24,14.0,15.0,13.1,21.52,19.30,23.51
56,USGS,02171905,2016-11-25,14.9,15.6,14.1,21.52,19.30,23.46
57,USGS,02171905,2016-11-26,15.6,16.2,15.0,21.72,19.53,23.72
58,USGS,02171905,2016-11-27,15.0,15.4,14.3,22.28,19.86,24.29
