,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Max,Gage height_Min
0,USGS,02172001,2016-09-30,7.46,8.88,5.50
1,USGS,02172001,2016-10-01,7.88,9.34,5.86
2,USGS,02172001,2016-10-02,7.98,9.41,6.44
3,USGS,02172001,2016-10-03,8.00,9.45,5.76
4,USGS,02172001,2016-10-04,8.11,9.47,6.12
5,USGS,02172001,2016-10-05,8.33,9.48,7.23
6,USGS,02172001,2016-10-06,8.43,9.64,7.19
7,USGS,02172001,2016-10-07,8.78,9.95,7.59
8,USGS,02172001,2016-10-08,11.43,12.61,8.75
9,USGS,02172001,2016-10-09,9.89,11.05,8.47
10,USGS,02172001,2016-10-10,9.21,10.31,8.25
11,USGS,02172001,2016-10-11,9.12,10.18,8.06
12,USGS,02172001,2016-10-12,8.97,10.14,7.54
13,USGS,02172001,2016-10-13,8.71,9.76,7.34
14,USGS,02172001,2016-10-14,8.31,9.68,6.62
15,USGS,02172001,2016-10-15,8.50,9.80,6.47
16,USGS,02172001,2016-10-16,8.49,9.98,6.39
17,USGS,02172001,2016-10-17,8.54,9.87,6.33
18,USGS,02172001,2016-10-18,8.64,11.12,6.61
19,USGS,02172001,2016-10-19,8.34,10.83,6.47
20,USGS,02172001,2016-10-20,8.05,9.87,6.25
21,USGS,02172001,2016-10-21,8.39,9.96,6.39
22,USGS,02172001,2016-10-22,7.78,9.34,5.79
23,USGS,02172001,2016-10-23,8.06,9.37,6.40
24,USGS,02172001,2016-10-24,8.22,9.28,6.58
25,USGS,02172001,2016-10-25,7.88,9.40,5.93
26,USGS,02172001,2016-10-26,8.11,9.27,6.50
27,USGS,02172001,2016-10-27,7.98,9.28,6.06
28,USGS,02172001,2016-10-28,7.88,9.30,5.78
29,USGS,02172001,2016-10-29,7.87,9.08,5.45
30,USGS,02172001,2016-10-30,7.92,9.24,5.90
31,USGS,02172001,2016-10-31,7.62,8.97,5.53
32,USGS,02172001,2016-11-01,8.13,9.54,6.44
33,USGS,02172001,2016-11-02,8.02,10.02,6.67
34,USGS,02172001,2016-11-03,7.65,9.18,6.28
35,USGS,02172001,2016-11-04,7.49,8.92,5.79
36,USGS,02172001,2016-11-05,7.91,9.43,6.26
37,USGS,02172001,2016-11-06,7.92,9.33,6.18
38,USGS,02172001,2016-11-07,7.81,9.30,6.03
