,agency_cd,site_no,datetime,Temperature_Max,Dissolved oxygen_Min,Gage height_Max,Dissolved oxygen_Mean,Gage height_Mean,Gage height_Min,Dissolved oxygen_Max,Temperature_Mean,Temperature_Min
0,USGS,02172002,2016-09-30,27.1,5.1,7.97,6.3,6.53,4.46,7.2,26.7,26.4
1,USGS,02172002,2016-10-01,27.0,5.6,8.41,6.6,6.95,4.80,7.0,26.8,26.4
2,USGS,02172002,2016-10-02,26.9,5.6,8.28,6.8,7.03,5.43,7.4,26.7,26.4
3,USGS,02172002,2016-10-03,26.9,5.5,8.34,6.7,7.06,5.03,7.3,26.6,26.3
4,USGS,02172002,2016-10-04,26.5,5.4,8.57,6.6,7.18,5.12,7.2,26.4,26.2
5,USGS,02172002,2016-10-05,26.2,5.8,8.56,7.2,7.39,6.29,7.8,25.8,25.4
6,USGS,02172002,2016-10-06,25.4,5.2,8.73,7.1,7.50,6.25,7.7,25.0,24.7
7,USGS,02172002,2016-10-07,24.7,4.3,9.04,7.0,7.86,6.68,7.7,24.5,24.2
8,USGS,02172002,2016-10-08,24.3,6.7,11.55,7.4,10.43,7.76,7.7,24.0,23.6
9,USGS,02172002,2016-10-09,23.6,5.4,10.01,7.4,8.95,7.53,7.9,23.1,22.8
10,USGS,02172002,2016-10-10,22.8,5.8,9.37,7.7,8.27,7.31,8.4,22.4,22.0
11,USGS,02172002,2016-10-11,22.2,7.0,9.13,8.1,8.18,7.12,8.6,22.0,21.7
12,USGS,02172002,2016-10-12,22.2,7.4,9.21,8.3,8.03,6.61,8.8,21.9,21.7
13,USGS,02172002,2016-10-13,22.1,7.2,8.89,8.2,7.78,6.41,8.6,21.9,21.6
14,USGS,02172002,2016-10-14,22.0,7.2,8.78,7.9,7.37,5.69,8.3,21.8,21.6
15,USGS,02172002,2016-10-15,21.6,6.9,8.90,7.6,7.57,5.55,8.0,21.5,21.4
16,USGS,02172002,2016-10-16,21.8,6.7,9.07,7.9,7.56,5.46,8.4,21.5,21.3
17,USGS,02172002,2016-10-17,22.0,7.4,8.98,8.1,7.59,5.39,8.6,21.7,21.4
18,USGS,02172002,2016-10-18,22.2,6.6,9.67,8.0,7.63,5.61,8.6,21.9,21.5
19,USGS,02172002,2016-10-19,22.6,6.8,9.18,7.9,7.35,5.70,8.8,21.9,21.6
20,USGS,02172002,2016-10-20,22.4,6.2,8.78,7.8,7.12,5.52,8.4,22.0,21.7
