,agency_cd,site_no,datetime,Temperature_Mean,Gage height_Mean,Temperature_Min,Gage height_Min,Gage height_Max,Temperature_Max
0,USGS,02172020,2016-09-30,26.8,12.42,26.5,10.76,13.83,27.0
1,USGS,02172020,2016-10-01,26.7,12.77,26.5,10.97,14.11,27.0
2,USGS,02172020,2016-10-02,26.7,12.85,26.4,11.23,14.09,26.9
3,USGS,02172020,2016-10-03,26.6,12.91,26.4,11.41,14.15,26.8
4,USGS,02172020,2016-10-04,26.2,13.05,26.0,11.68,14.28,26.6
5,USGS,02172020,2016-10-05,25.5,13.25,25.1,12.09,14.42,26.0
6,USGS,02172020,2016-10-06,24.8,13.35,24.6,12.15,14.57,25.1
7,USGS,02172020,2016-10-07,24.4,13.76,24.4,12.48,14.91,24.6
8,USGS,02172020,2016-10-08,24.1,15.74,23.4,14.43,16.70,24.4
9,USGS,02172020,2016-10-09,22.9,14.22,22.5,13.26,14.90,23.4
10,USGS,02172020,2016-10-10,21.9,14.02,21.5,13.13,15.14,22.5
11,USGS,02172020,2016-10-11,21.1,13.96,20.8,13.00,14.95,21.6
12,USGS,02172020,2016-10-12,21.0,13.83,20.6,12.77,15.03,21.3
13,USGS,02172020,2016-10-13,21.4,13.58,21.0,12.37,14.72,21.8
14,USGS,02172020,2016-10-14,21.7,13.25,21.3,11.93,14.62,22.0
15,USGS,02172020,2016-10-15,21.7,13.40,21.4,11.84,14.70,21.9
16,USGS,02172020,2016-10-16,21.7,13.36,21.4,11.77,14.73,22.0
17,USGS,02172020,2016-10-17,21.8,13.38,21.5,11.70,14.77,22.2
18,USGS,02172020,2016-10-18,22.1,13.33,21.8,11.66,14.71,22.4
19,USGS,02172020,2016-10-19,22.4,13.03,22.1,11.32,14.27,22.8
20,USGS,02172020,2016-10-20,22.5,12.93,22.2,11.10,14.40,22.8
21,USGS,02172020,2016-10-21,22.4,13.08,22.1,11.53,14.64,22.7
22,USGS,02172020,2016-10-22,21.5,12.61,21.2,10.80,14.18,22.1
23,USGS,02172020,2016-10-23,21.0,12.92,20.8,11.58,14.26,21.4
24,USGS,02172020,2016-10-24,20.8,12.88,20.6,11.66,14.01,21.0
25,USGS,02172020,2016-10-25,20.7,12.79,20.4,11.33,14.29,20.8
26,USGS,02172020,2016-10-26,20.5,12.99,20.2,11.81,14.12,20.7
27,USGS,02172020,2016-10-27,20.6,12.83,20.3,11.45,14.02,20.8
28,USGS,02172020,2016-10-28,20.7,12.66,20.5,11.16,13.90,20.9
29,USGS,02172020,2016-10-29,20.9,12.65,20.7,10.84,13.99,21.2
30,USGS,02172020,2016-10-30,21.0,12.71,20.7,11.13,14.03,21.2
31,USGS,02172020,2016-10-31,21.1,12.50,20.8,10.73,13.89,21.3
32,USGS,02172020,2016-11-01,21.2,13.05,20.9,11.50,14.44,21.4
33,USGS,02172020,2016-11-02,21.1,12.85,20.8,11.42,14.15,21.4
34,USGS,02172020,2016-11-03,21.1,12.50,20.8,10.94,13.87,21.3
