,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Max,Gage height_Min,Precipitation
0,USGS,02172035,2016-09-30,5.65,5.70,5.55,0.03
1,USGS,02172035,2016-10-01,5.40,5.55,5.23,0.00
2,USGS,02172035,2016-10-02,5.07,5.23,4.92,0.00
3,USGS,02172035,2016-10-03,4.80,4.92,4.67,0.00
4,USGS,02172035,2016-10-04,4.58,4.67,4.48,0.00
5,USGS,02172035,2016-10-05,4.41,4.48,4.33,0.00
6,USGS,02172035,2016-10-06,4.30,4.35,4.25,0.00
7,USGS,02172035,2016-10-07,4.40,6.06,4.22,3.17
8,USGS,02172035,2016-10-08,9.98,11.06,6.06,
9,USGS,02172035,2016-10-09,9.21,10.34,8.14,0.00
10,USGS,02172035,2016-10-10,7.56,8.16,7.12,0.00
11,USGS,02172035,2016-10-11,6.85,7.12,6.61,0.00
12,USGS,02172035,2016-10-12,6.44,6.62,6.28,0.00
13,USGS,02172035,2016-10-13,6.14,6.29,5.99,0.00
14,USGS,02172035,2016-10-14,5.88,6.00,5.77,0.00
15,USGS,02172035,2016-10-15,5.68,5.77,5.59,0.00
16,USGS,02172035,2016-10-16,5.52,5.59,5.44,0.00
17,USGS,02172035,2016-10-17,5.39,5.44,5.32,0.00
18,USGS,02172035,2016-10-18,5.27,5.32,5.21,0.00
19,USGS,02172035,2016-10-19,5.16,5.21,5.09,0.00
20,USGS,02172035,2016-10-20,5.04,5.09,4.98,0.00
21,USGS,02172035,2016-10-21,4.91,4.98,4.82,0.00
22,USGS,02172035,2016-10-22,4.74,4.82,4.66,0.00
23,USGS,02172035,2016-10-23,4.60,4.66,4.54,0.00
24,USGS,02172035,2016-10-24,4.48,4.54,4.42,
25,USGS,02172035,2016-10-25,4.37,4.42,4.32,0.00
26,USGS,02172035,2016-10-26,4.26,4.32,4.21,0.00
27,USGS,02172035,2016-10-27,4.17,4.21,4.12,0.00
28,USGS,02172035,2016-10-28,4.09,4.12,4.06,0.00
29,USGS,02172035,2016-10-29,4.03,4.06,3.99,0.00
30,USGS,02172035,2016-10-30,3.96,3.99,3.93,0.00
31,USGS,02172035,2016-10-31,3.90,3.93,3.87,0.00
32,USGS,02172035,2016-11-01,3.85,3.87,3.83,0.00
33,USGS,02172035,2016-11-02,3.81,3.83,3.78,0.00
34,USGS,02172035,2016-11-03,3.77,3.78,3.75,0.00
35,USGS,02172035,2016-11-04,3.74,3.75,3.73,0.00
36,USGS,02172035,2016-11-05,3.73,3.75,3.72,
37,USGS,02172035,2016-11-06,3.71,3.72,3.70,
38,USGS,02172035,2016-11-07,3.69,3.70,3.68,0.00
39,USGS,02172035,2016-11-08,3.68,3.69,3.67,0.00
40,USGS,02172035,2016-11-09,3.66,3.67,3.65,0.00
41,USGS,02172035,2016-11-10,3.65,3.66,3.64,0.00
42,USGS,02172035,2016-11-11,3.63,3.64,3.62,0.00
43,USGS,02172035,2016-11-12,3.61,3.62,3.60,0.00
44,USGS,02172035,2016-11-13,3.63,3.68,3.59,0.53
45,USGS,02172035,2016-11-14,3.69,3.70,3.68,0.02
46,USGS,02172035,2016-11-15,3.67,3.68,3.66,0.00
47,USGS,02172035,2016-11-16,3.66,3.66,3.65,0.00
48,USGS,02172035,2016-11-17,3.65,3.65,3.64,0.00
49,USGS,02172035,2016-11-18,3.66,3.67,3.64,0.00
50,USGS,02172035,2016-11-19,3.66,3.67,3.66,0.00
51,USGS,02172035,2016-11-20,3.66,3.66,3.65,0.00
52,USGS,02172035,2016-11-21,3.65,3.65,3.64,0.00
53,USGS,02172035,2016-11-22,3.63,3.64,3.63,0.00
54,USGS,02172035,2016-11-23,3.62,3.63,3.61,0.00
55,USGS,02172035,2016-11-24,3.61,3.61,3.60,0.00
56,USGS,02172035,2016-11-25,3.60,3.61,3.60,0.00
57,USGS,02172035,2016-11-26,3.60,3.60,3.59,0.00
58,USGS,02172035,2016-11-27,3.58,3.59,3.58,0.00
59,USGS,02172035,2016-11-28,3.57,3.58,3.56,0.00
60,USGS,02172035,2016-11-29,3.56,3.56,3.55,0.00
61,USGS,02172035,2016-11-30,3.55,3.55,3.54,0.00
62,USGS,02172035,2016-12-01,3.57,3.57,3.54,0.17
63,USGS,02172035,2016-12-02,3.56,3.56,3.56,0.00
64,USGS,02172035,2016-12-03,3.56,3.56,3.56,0.01
65,USGS,02172035,2016-12-04,3.57,3.57,3.56,0.00
66,USGS,02172035,2016-12-05,3.63,3.88,3.57,1.65
67,USGS,02172035,2016-12-06,5.26,5.78,3.88,2.60
68,USGS,02172035,2016-12-07,5.83,5.86,5.78,0.00
69,USGS,02172035,2016-12-08,5.67,5.78,5.55,0.00
70,USGS,02172035,2016-12-09,5.43,5.55,5.31,0.00
71,USGS,02172035,2016-12-10,5.22,5.31,5.13,0.00
72,USGS,02172035,2016-12-11,5.05,5.13,4.98,0.09
73,USGS,02172035,2016-12-12,4.99,5.00,4.97,0.19
74,USGS,02172035,2016-12-13,4.95,4.97,4.94,0.04
75,USGS,02172035,2016-12-14,4.93,4.94,4.91,0.05
76,USGS,02172035,2016-12-15,4.88,4.91,4.84,0.01
77,USGS,02172035,2016-12-16,4.80,4.84,4.75,0.00
78,USGS,02172035,2016-12-17,4.70,4.75,4.65,0.00
79,USGS,02172035,2016-12-18,4.60,4.65,4.57,0.00
80,USGS,02172035,2016-12-19,4.53,4.57,4.50,0.27
81,USGS,02172035,2016-12-20,4.52,4.54,4.49,0.05
82,USGS,02172035,2016-12-21,4.47,4.49,4.45,0.00
83,USGS,02172035,2016-12-22,4.43,4.45,4.40,0.00
84,USGS,02172035,2016-12-23,4.37,4.40,4.34,0.00
85,USGS,02172035,2016-12-24,4.30,4.34,4.27,0.00
86,USGS,02172035,2016-12-25,4.24,4.27,4.22,0.00
87,USGS,02172035,2016-12-26,4.19,4.22,4.17,0.00
88,USGS,02172035,2016-12-27,4.15,4.17,4.13,0.00
89,USGS,02172035,2016-12-28,4.11,4.13,4.10,0.00
90,USGS,02172035,2016-12-29,4.09,4.10,4.08,0.04
91,USGS,02172035,2016-12-30,4.05,4.08,4.03,0.00
92,USGS,02172035,2016-12-31,4.01,4.03,3.99,0.02
93,USGS,02172035,2017-01-01,4.00,4.01,3.98,0.13
94,USGS,02172035,2017-01-02,4.00,4.01,3.99,0.02
95,USGS,02172035,2017-01-03,4.10,4.21,4.01,0.46
96,USGS,02172035,2017-01-04,4.20,4.23,4.18,0.00
97,USGS,02172035,2017-01-05,4.24,4.25,4.23,0.00
98,USGS,02172035,2017-01-06,4.19,4.23,4.16,0.00
99,USGS,02172035,2017-01-07,4.30,4.37,4.16,0.50
100,USGS,02172035,2017-01-08,4.35,4.37,4.32,0.00
101,USGS,02172035,2017-01-09,4.35,4.37,4.31,0.00
102,USGS,02172035,2017-01-10,4.27,4.31,4.24,0.00
103,USGS,02172035,2017-01-11,4.21,4.24,4.19,0.00
104,USGS,02172035,2017-01-12,4.17,4.19,4.15,0.00
105,USGS,02172035,2017-01-13,4.12,4.15,4.10,0.00
106,USGS,02172035,2017-01-14,4.07,4.10,4.05,0.00
107,USGS,02172035,2017-01-15,4.03,4.05,4.01,0.00
108,USGS,02172035,2017-01-16,3.99,4.01,3.97,0.00
109,USGS,02172035,2017-01-17,3.95,3.97,3.94,0.00
110,USGS,02172035,2017-01-18,3.93,3.94,3.92,0.00
111,USGS,02172035,2017-01-19,3.91,3.92,3.90,0.00
112,USGS,02172035,2017-01-20,3.89,3.90,3.87,0.00
113,USGS,02172035,2017-01-21,3.92,4.09,3.86,0.57
114,USGS,02172035,2017-01-22,4.70,5.47,4.09,1.51
115,USGS,02172035,2017-01-23,5.87,6.11,5.47,0.05
116,USGS,02172035,2017-01-24,6.08,6.13,5.99,0.00
117,USGS,02172035,2017-01-25,5.88,5.99,5.77,0.00
118,USGS,02172035,2017-01-26,5.67,5.78,5.57,0.02
119,USGS,02172035,2017-01-27,5.47,5.57,5.37,0.00
120,USGS,02172035,2017-01-28,5.28,5.37,5.18,0.00
121,USGS,02172035,2017-01-29,5.09,5.18,5.01,0.00
122,USGS,02172035,2017-01-30,4.93,5.01,4.85,0.00
123,USGS,02172035,2017-01-31,4.78,4.85,4.72,0.00
124,USGS,02172035,2017-02-01,4.66,4.72,4.61,0.00
125,USGS,02172035,2017-02-02,4.56,4.61,4.52,0.00
126,USGS,02172035,2017-02-03,4.48,4.52,4.44,0.00
127,USGS,02172035,2017-02-04,4.39,4.44,4.34,0.00
128,USGS,02172035,2017-02-05,4.31,4.34,4.28,0.00
129,USGS,02172035,2017-02-06,4.24,4.28,4.21,0.00
130,USGS,02172035,2017-02-07,4.19,4.21,4.16,0.00
131,USGS,02172035,2017-02-08,4.33,4.41,4.16,0.53
132,USGS,02172035,2017-02-09,4.45,4.48,4.40,0.01
133,USGS,02172035,2017-02-10,4.44,4.48,4.39,0.00
134,USGS,02172035,2017-02-11,4.33,4.39,4.28,0.00
135,USGS,02172035,2017-02-12,4.24,4.28,4.22,0.00
136,USGS,02172035,2017-02-13,4.18,4.22,4.14,0.00
137,USGS,02172035,2017-02-14,4.11,4.14,4.08,0.00
138,USGS,02172035,2017-02-15,4.08,4.12,4.05,0.19
139,USGS,02172035,2017-02-16,4.09,4.12,4.08,0.00
140,USGS,02172035,2017-02-17,4.09,4.09,4.07,0.00
141,USGS,02172035,2017-02-18,4.04,4.07,4.01,0.00
142,USGS,02172035,2017-02-19,3.99,4.01,3.97,0.00
143,USGS,02172035,2017-02-20,3.94,3.97,3.92,0.00
144,USGS,02172035,2017-02-21,3.90,3.93,3.88,
145,USGS,02172035,2017-02-22,3.87,3.88,3.86,0.00
146,USGS,02172035,2017-02-23,3.84,3.86,3.84,0.00
147,USGS,02172035,2017-02-24,3.83,3.84,3.81,0.00
148,USGS,02172035,2017-02-25,3.80,3.82,3.78,0.00
149,USGS,02172035,2017-02-26,3.77,3.79,3.75,0.00
150,USGS,02172035,2017-02-27,3.74,3.75,3.73,0.00
151,USGS,02172035,2017-02-28,3.72,3.73,3.71,0.00
152,USGS,02172035,2017-03-01,3.70,3.71,3.70,0.00
153,USGS,02172035,2017-03-02,3.71,3.72,3.69,0.20
154,USGS,02172035,2017-03-03,3.70,3.71,3.69,0.00
155,USGS,02172035,2017-03-04,3.68,3.69,3.67,0.00
156,USGS,02172035,2017-03-05,3.67,3.67,3.66,0.00
157,USGS,02172035,2017-03-06,3.66,3.66,3.65,0.00
158,USGS,02172035,2017-03-07,3.65,3.65,3.64,0.00
159,USGS,02172035,2017-03-08,3.63,3.64,3.63,0.00
160,USGS,02172035,2017-03-09,3.62,3.63,3.61,0.00
161,USGS,02172035,2017-03-10,3.61,3.61,3.60,0.00
162,USGS,02172035,2017-03-11,3.59,3.60,3.59,0.00
163,USGS,02172035,2017-03-12,3.58,3.59,3.58,0.04
164,USGS,02172035,2017-03-13,3.59,3.61,3.58,0.20
165,USGS,02172035,2017-03-14,3.64,3.65,3.61,0.13
166,USGS,02172035,2017-03-15,3.63,3.64,3.62,0.00
167,USGS,02172035,2017-03-16,3.61,3.62,3.61,0.00
168,USGS,02172035,2017-03-17,3.61,3.62,3.60,0.00
169,USGS,02172035,2017-03-18,3.61,3.62,3.61,0.00
170,USGS,02172035,2017-03-19,3.62,3.62,3.61,
171,USGS,02172035,2017-03-20,3.61,3.62,3.61,0.00
172,USGS,02172035,2017-03-21,3.61,3.62,3.61,0.05
173,USGS,02172035,2017-03-22,3.66,3.66,3.62,0.28
174,USGS,02172035,2017-03-23,3.63,3.66,3.62,0.00
175,USGS,02172035,2017-03-24,3.62,3.62,3.61,0.00
176,USGS,02172035,2017-03-25,3.61,3.62,3.61,0.00
177,USGS,02172035,2017-03-26,3.61,3.61,3.60,0.00
178,USGS,02172035,2017-03-27,3.60,3.60,3.60,0.00
179,USGS,02172035,2017-03-28,3.59,3.60,3.59,0.01
180,USGS,02172035,2017-03-29,3.59,3.60,3.59,0.01
181,USGS,02172035,2017-03-30,3.62,3.68,3.59,0.38
182,USGS,02172035,2017-03-31,3.68,3.69,3.67,0.05
183,USGS,02172035,2017-04-01,3.66,3.67,3.64,0.00
184,USGS,02172035,2017-04-02,3.63,3.64,3.62,0.00
185,USGS,02172035,2017-04-03,3.64,3.74,3.62,0.53
186,USGS,02172035,2017-04-04,3.75,3.77,3.72,0.00
187,USGS,02172035,2017-04-05,3.74,3.95,3.71,0.69
188,USGS,02172035,2017-04-06,4.65,4.84,3.95,0.57
189,USGS,02172035,2017-04-07,4.86,4.90,4.80,0.00
190,USGS,02172035,2017-04-08,4.66,4.80,4.54,0.00
191,USGS,02172035,2017-04-09,4.43,4.54,4.34,0.00
192,USGS,02172035,2017-04-10,4.27,4.34,4.20,0.00
193,USGS,02172035,2017-04-11,4.14,4.20,4.08,0.00
194,USGS,02172035,2017-04-12,4.04,4.08,3.99,0.00
195,USGS,02172035,2017-04-13,3.95,3.99,3.90,0.00
196,USGS,02172035,2017-04-14,3.86,3.90,3.82,0.00
197,USGS,02172035,2017-04-15,3.79,3.82,3.76,0.00
198,USGS,02172035,2017-04-16,3.73,3.76,3.70,0.00
199,USGS,02172035,2017-04-17,3.68,3.70,3.65,0.00
200,USGS,02172035,2017-04-18,3.63,3.65,3.61,0.00
201,USGS,02172035,2017-04-19,3.79,4.42,3.58,1.74
202,USGS,02172035,2017-04-20,4.40,4.54,4.34,0.01
203,USGS,02172035,2017-04-21,4.53,4.58,4.40,0.00
204,USGS,02172035,2017-04-22,4.27,4.40,4.13,0.00
205,USGS,02172035,2017-04-23,4.02,4.13,3.92,0.00
206,USGS,02172035,2017-04-24,5.83,7.27,3.90,5.42
207,USGS,02172035,2017-04-25,6.90,7.28,6.55,0.06
208,USGS,02172035,2017-04-26,6.34,6.55,6.13,0.00
209,USGS,02172035,2017-04-27,5.98,6.14,5.84,0.00
210,USGS,02172035,2017-04-28,5.71,5.84,5.59,0.00
211,USGS,02172035,2017-04-29,5.48,5.59,5.35,0.00
212,USGS,02172035,2017-04-30,5.24,5.35,5.12,0.00
213,USGS,02172035,2017-05-01,5.01,5.12,4.90,0.27
214,USGS,02172035,2017-05-02,4.84,4.92,4.72,0.01
215,USGS,02172035,2017-05-03,4.64,4.72,4.54,0.00
216,USGS,02172035,2017-05-04,4.47,4.54,4.40,0.07
217,USGS,02172035,2017-05-05,4.34,4.40,4.26,0.02
218,USGS,02172035,2017-05-06,4.21,4.26,4.15,0.00
219,USGS,02172035,2017-05-07,4.10,4.15,4.04,0.00
220,USGS,02172035,2017-05-08,3.99,4.04,3.93,0.00
221,USGS,02172035,2017-05-09,3.88,3.93,3.83,0.00
222,USGS,02172035,2017-05-10,3.79,3.83,3.74,0.00
223,USGS,02172035,2017-05-11,3.71,3.74,3.68,0.00
224,USGS,02172035,2017-05-12,3.65,3.68,3.62,0.00
225,USGS,02172035,2017-05-13,3.65,3.78,3.59,0.87
226,USGS,02172035,2017-05-14,3.75,3.78,3.72,0.00
227,USGS,02172035,2017-05-15,4.05,4.19,3.73,0.00
228,USGS,02172035,2017-05-16,4.14,4.19,4.04,0.00
229,USGS,02172035,2017-05-17,3.95,4.04,3.85,0.00
