,agency_cd,site_no,datetime,Temperature_Min,Temperature_Mean,Gage height_Mean,Temperature_Max,Gage height_Min,Gage height_Max
0,USGS,02172040,2016-09-30,26.6,27.0,16.30,27.5,15.04,17.40
1,USGS,02172040,2016-10-01,26.4,26.9,16.60,27.2,15.22,17.62
2,USGS,02172040,2016-10-02,26.2,26.7,16.71,27.1,15.49,17.62
3,USGS,02172040,2016-10-03,26.0,26.6,16.78,26.9,15.66,17.68
4,USGS,02172040,2016-10-04,25.9,26.3,16.93,26.6,15.88,17.79
5,USGS,02172040,2016-10-05,24.8,25.4,17.11,26.0,16.22,17.94
6,USGS,02172040,2016-10-06,24.0,24.5,17.21,24.9,16.30,18.08
7,USGS,02172040,2016-10-07,23.8,24.2,17.59,24.4,16.59,18.37
8,USGS,02172040,2016-10-08,23.4,24.1,19.67,24.4,18.35,20.31
9,USGS,02172040,2016-10-09,22.5,23.0,18.46,23.4,17.60,19.00
10,USGS,02172040,2016-10-10,20.9,21.8,18.00,22.5,17.27,18.78
11,USGS,02172040,2016-10-11,20.2,20.9,17.89,21.2,17.12,18.54
12,USGS,02172040,2016-10-12,20.2,20.7,17.71,21.2,16.88,18.52
13,USGS,02172040,2016-10-13,20.5,21.1,17.48,21.7,16.48,18.25
14,USGS,02172040,2016-10-14,20.7,21.3,17.16,21.8,16.09,18.10
15,USGS,02172040,2016-10-15,21.0,21.7,17.25,22.1,16.10,18.18
16,USGS,02172040,2016-10-16,21.2,21.8,17.22,22.2,16.05,18.18
17,USGS,02172040,2016-10-17,21.4,22.0,17.23,22.4,15.97,18.17
18,USGS,02172040,2016-10-18,21.7,22.3,17.20,22.6,15.93,18.19
19,USGS,02172040,2016-10-19,22.1,22.5,,22.9,,
20,USGS,02172040,2016-10-20,22.3,22.7,16.82,23.1,15.37,17.88
21,USGS,02172040,2016-10-21,22.2,22.7,16.92,23.0,15.66,18.04
22,USGS,02172040,2016-10-22,20.9,21.6,16.51,22.2,15.01,17.69
23,USGS,02172040,2016-10-23,20.3,20.7,16.77,21.0,15.67,17.78
24,USGS,02172040,2016-10-24,20.0,20.4,16.75,20.8,15.77,17.61
25,USGS,02172040,2016-10-25,19.7,20.2,16.66,20.7,15.57,17.80
26,USGS,02172040,2016-10-26,19.8,20.3,16.86,20.6,15.90,17.71
27,USGS,02172040,2016-10-27,19.8,20.4,16.71,20.8,15.70,17.61
28,USGS,02172040,2016-10-28,20.0,20.7,16.54,21.1,15.41,17.50
29,USGS,02172040,2016-10-29,20.3,21.0,16.51,21.5,15.13,17.58
30,USGS,02172040,2016-10-30,20.7,21.2,16.58,21.6,15.39,17.60
31,USGS,02172040,2016-10-31,20.8,21.3,16.39,21.7,15.00,17.52
32,USGS,02172040,2016-11-01,21.1,21.4,16.90,21.7,15.71,17.92
33,USGS,02172040,2016-11-02,21.0,21.4,16.74,21.7,15.64,17.71
34,USGS,02172040,2016-11-03,20.9,21.3,16.41,21.6,15.16,17.46
35,USGS,02172040,2016-11-04,20.9,21.2,16.23,21.4,14.79,17.27
36,USGS,02172040,2016-11-05,19.9,20.4,16.70,20.9,15.57,17.69
37,USGS,02172040,2016-11-06,19.1,19.6,16.64,20.0,15.61,17.62
38,USGS,02172040,2016-11-07,18.4,19.1,16.50,19.5,15.34,17.54
39,USGS,02172040,2016-11-08,18.2,18.6,16.81,19.0,15.85,17.77
40,USGS,02172040,2016-11-09,17.8,18.3,16.89,18.6,15.90,17.70
41,USGS,02172040,2016-11-10,17.4,17.9,16.81,18.2,15.81,17.79
42,USGS,02172040,2016-11-11,17.2,17.6,16.86,17.8,15.75,17.82
43,USGS,02172040,2016-11-12,16.9,17.2,17.00,17.4,15.70,18.11
44,USGS,02172040,2016-11-13,15.9,16.4,17.27,16.9,16.17,18.28
45,USGS,02172040,2016-11-14,15.5,15.8,17.13,16.1,15.96,18.26
46,USGS,02172040,2016-11-15,14.8,15.6,16.80,16.1,15.35,17.96
47,USGS,02172040,2016-11-16,15.2,15.9,16.91,16.2,15.57,18.06
