,agency_cd,site_no,datetime,Dissolved oxygen_Max,Temperature_Min,Temperature_Mean,Dissolved oxygen_Min,Temperature_Max,Gage height_Max,Gage height_Min,Dissolved oxygen_Mean,Gage height_Mean
0,USGS,02172050,2016-09-30,6.0,26.8,27.0,5.4,27.3,18.06,14.33,5.7,16.40
1,USGS,02172050,2016-10-01,6.0,26.7,27.0,5.4,27.2,18.36,14.54,5.8,16.74
2,USGS,02172050,2016-10-02,6.3,26.6,26.9,5.4,27.2,18.31,14.86,5.8,16.79
3,USGS,02172050,2016-10-03,6.4,26.5,26.8,5.6,27.2,18.37,15.13,6.0,16.90
4,USGS,02172050,2016-10-04,6.6,26.3,26.5,5.6,26.8,18.54,15.42,6.1,17.11
5,USGS,02172050,2016-10-05,6.6,25.2,25.8,5.9,26.4,18.67,15.78,6.3,17.27
6,USGS,02172050,2016-10-06,6.7,24.5,25.0,5.9,25.5,18.86,15.87,6.4,17.39
7,USGS,02172050,2016-10-07,6.9,24.2,24.5,5.9,24.8,19.22,16.15,6.5,17.91
8,USGS,02172050,2016-10-08,,,,,,20.23,17.12,,19.17
9,USGS,02172050,2016-10-09,,,,,,18.94,16.44,,17.62
10,USGS,02172050,2016-10-10,5.2,21.6,22.1,4.5,22.7,19.28,16.50,4.8,17.89
11,USGS,02172050,2016-10-11,5.0,20.8,21.2,4.5,21.6,19.13,16.31,4.7,17.85
12,USGS,02172050,2016-10-12,5.4,20.7,20.8,4.6,21.0,19.26,16.04,5.1,17.75
13,USGS,02172050,2016-10-13,5.9,20.8,21.0,4.8,21.3,18.98,15.46,5.4,17.45
14,USGS,02172050,2016-10-14,6.1,21.0,21.3,5.2,21.7,,,5.6,
15,USGS,02172050,2016-10-15,6.2,21.3,21.6,5.3,21.9,19.01,15.22,5.7,17.32
16,USGS,02172050,2016-10-16,6.5,21.5,21.8,5.3,22.2,19.06,14.98,5.9,17.26
17,USGS,02172050,2016-10-17,6.6,21.8,22.1,5.4,22.5,19.13,14.87,6.0,17.24
18,USGS,02172050,2016-10-18,6.7,22.0,22.4,5.5,22.7,19.15,14.87,6.1,17.16
19,USGS,02172050,2016-10-19,6.6,22.3,22.7,5.7,23.0,18.80,14.59,6.2,16.90
20,USGS,02172050,2016-10-20,6.5,22.6,23.0,5.6,23.3,18.73,14.46,6.2,16.86
21,USGS,02172050,2016-10-21,6.5,22.6,23.0,5.7,23.2,18.88,14.75,6.1,16.94
22,USGS,02172050,2016-10-22,6.8,21.2,22.2,6.1,22.7,18.50,14.22,6.4,16.55
23,USGS,02172050,2016-10-23,6.8,20.7,21.3,6.2,21.8,18.51,15.03,6.5,16.90
24,USGS,02172050,2016-10-24,7.2,20.5,20.8,6.3,21.1,18.20,14.90,6.7,16.79
25,USGS,02172050,2016-10-25,7.3,20.2,20.6,6.5,20.8,18.54,14.91,7.0,16.87
26,USGS,02172050,2016-10-26,7.4,20.1,20.4,6.7,20.5,18.36,15.14,7.1,16.94
27,USGS,02172050,2016-10-27,7.6,20.2,20.4,6.9,20.6,18.26,14.97,7.2,16.77
28,USGS,02172050,2016-10-28,7.7,20.4,20.7,7.0,20.9,18.13,14.73,7.3,16.59
29,USGS,02172050,2016-10-29,7.6,20.7,20.9,7.0,21.3,18.24,14.46,7.3,16.64
30,USGS,02172050,2016-10-30,7.7,20.9,21.2,6.9,21.5,18.29,14.76,7.3,16.63
31,USGS,02172050,2016-10-31,7.7,21.1,21.4,7.1,21.6,18.16,14.35,7.4,16.48
32,USGS,02172050,2016-11-01,7.7,21.3,21.5,7.0,21.7,18.73,15.25,7.4,17.06
33,USGS,02172050,2016-11-02,7.8,21.3,21.6,6.9,21.8,18.41,15.12,7.4,16.78
34,USGS,02172050,2016-11-03,7.6,21.2,21.6,6.9,21.9,18.13,14.72,7.4,16.45
35,USGS,02172050,2016-11-04,7.6,21.2,21.5,6.9,21.8,17.90,14.41,7.4,16.35
36,USGS,02172050,2016-11-05,7.7,20.4,21.0,7.2,21.4,18.41,15.28,7.5,16.88
37,USGS,02172050,2016-11-06,7.8,19.7,20.3,7.2,20.8,18.25,15.11,7.6,16.72
38,USGS,02172050,2016-11-07,7.9,19.1,19.7,7.4,20.1,18.17,14.86,7.7,16.62
39,USGS,02172050,2016-11-08,8.0,18.6,19.1,7.5,19.4,18.44,15.34,7.8,16.95
40,USGS,02172050,2016-11-09,8.0,18.2,18.6,7.4,18.9,18.36,14.95,7.8,16.97
41,USGS,02172050,2016-11-10,8.1,17.7,18.0,7.7,18.3,18.53,15.11,7.9,17.00
42,USGS,02172050,2016-11-11,8.3,17.3,17.6,7.8,17.8,18.58,15.12,8.1,17.06
43,USGS,02172050,2016-11-12,8.5,17.0,17.3,8.0,17.5,19.02,14.82,8.2,17.28
44,USGS,02172050,2016-11-13,8.6,16.2,16.7,8.1,17.1,19.14,15.31,8.4,17.43
45,USGS,02172050,2016-11-14,8.6,15.7,16.0,8.2,16.5,19.23,14.95,8.4,17.20
46,USGS,02172050,2016-11-15,8.9,15.5,15.9,8.2,16.3,18.94,14.34,8.5,16.89
47,USGS,02172050,2016-11-16,9.1,15.7,16.0,8.3,16.4,19.05,14.51,8.7,16.97
48,USGS,02172050,2016-11-17,9.0,15.8,16.1,8.4,16.4,18.70,14.33,8.8,16.71
49,USGS,02172050,2016-11-18,8.9,15.8,16.2,8.4,16.6,18.57,14.29,8.7,16.65
50,USGS,02172050,2016-11-19,8.8,16.0,16.3,8.3,16.8,18.41,14.31,8.6,16.50
51,USGS,02172050,2016-11-20,8.9,15.2,15.8,8.4,16.2,18.15,13.90,8.7,16.21
52,USGS,02172050,2016-11-21,9.1,14.8,15.3,8.6,15.7,18.00,14.67,8.8,16.42
53,USGS,02172050,2016-11-22,9.1,14.4,14.8,8.6,15.2,17.71,14.46,8.9,16.30
54,USGS,02172050,2016-11-23,9.2,14.1,14.4,8.7,14.8,17.70,14.33,9.0,16.29
55,USGS,02172050,2016-11-24,9.2,14.3,14.6,8.8,14.8,17.59,14.10,9.1,16.14
56,USGS,02172050,2016-11-25,9.2,14.7,15.0,8.8,15.3,17.65,13.91,9.1,16.05
57,USGS,02172050,2016-11-26,9.1,14.9,15.3,8.8,15.6,17.69,14.10,9.0,16.10
58,USGS,02172050,2016-11-27,9.2,14.6,15.0,8.8,15.2,18.45,14.68,9.1,16.74
59,USGS,02172050,2016-11-28,9.4,14.5,14.7,8.9,14.9,18.61,14.74,9.1,16.83
60,USGS,02172050,2016-11-29,9.5,14.7,15.1,8.9,15.6,18.46,15.03,9.2,16.73
61,USGS,02172050,2016-11-30,9.4,15.5,16.0,9.0,16.6,18.10,14.17,9.2,16.33
62,USGS,02172050,2016-12-01,9.2,16.2,16.7,8.6,17.0,17.69,14.02,9.0,15.87
63,USGS,02172050,2016-12-02,9.3,16.1,16.4,8.6,16.7,17.79,13.38,9.0,15.78
