,agency_cd,site_no,datetime,Gage height_Min,Temperature_Max,Temperature_Mean,Gage height_Mean,Temperature_Min,Gage height_Max
0,USGS,021720508,2016-09-30,5.27,27.3,27.1,7.70,26.9,9.64
1,USGS,021720508,2016-10-01,5.51,27.2,27.1,8.04,26.9,9.91
2,USGS,021720508,2016-10-02,5.83,27.2,27.0,8.09,26.8,9.87
3,USGS,021720508,2016-10-03,6.15,27.2,26.9,8.21,26.7,9.98
4,USGS,021720508,2016-10-04,6.45,26.9,26.7,8.42,26.5,10.13
5,USGS,021720508,2016-10-05,6.85,26.5,26.0,8.56,25.6,10.22
6,USGS,021720508,2016-10-06,6.93,25.8,25.3,8.70,24.9,10.42
7,USGS,021720508,2016-10-07,7.22,25.3,24.9,9.28,24.5,10.91
8,USGS,021720508,2016-10-08,7.28,25.3,24.6,10.28,23.6,12.51
9,USGS,021720508,2016-10-09,7.03,23.6,23.0,8.61,22.7,10.26
10,USGS,021720508,2016-10-10,7.38,22.7,22.4,9.12,21.8,10.74
11,USGS,021720508,2016-10-11,7.10,21.8,21.5,9.09,21.1,10.63
12,USGS,021720508,2016-10-12,6.86,21.3,21.1,9.02,20.9,10.84
13,USGS,021720508,2016-10-13,6.21,21.3,21.1,8.69,20.8,10.58
14,USGS,021720508,2016-10-14,5.85,21.5,21.2,8.47,21.0,10.56
15,USGS,021720508,2016-10-15,5.97,21.8,21.5,8.60,21.3,10.65
16,USGS,021720508,2016-10-16,5.69,22.1,21.7,8.53,21.5,10.76
17,USGS,021720508,2016-10-17,5.61,22.4,22.0,8.50,21.8,10.81
18,USGS,021720508,2016-10-18,5.61,22.9,22.4,8.40,22.1,10.83
19,USGS,021720508,2016-10-19,5.44,23.3,22.7,8.15,22.3,10.52
20,USGS,021720508,2016-10-20,5.40,23.3,23.0,8.14,22.7,10.38
21,USGS,021720508,2016-10-21,5.67,23.3,23.1,8.17,22.9,10.47
22,USGS,021720508,2016-10-22,5.20,22.9,22.5,7.83,21.9,10.06
23,USGS,021720508,2016-10-23,6.07,22.1,21.8,8.21,21.2,10.07
