,agency_cd,site_no,datetime,Gage height_Max,Gage height_Min,Gage height_Mean,Temperature_Max,Temperature_Mean,Temperature_Min
0,USGS,02172053,2016-09-30,10.30,5.09,8.00,27.4,27.1,26.8
1,USGS,02172053,2016-10-01,10.61,5.26,8.33,27.5,27.1,26.8
2,USGS,02172053,2016-10-02,10.55,5.64,8.37,27.4,27.0,26.8
3,USGS,02172053,2016-10-03,10.68,5.95,8.52,27.5,27.0,26.6
4,USGS,02172053,2016-10-04,10.81,6.37,8.77,27.1,26.7,26.5
5,USGS,02172053,2016-10-05,10.83,6.70,8.90,26.7,26.1,25.8
6,USGS,02172053,2016-10-06,11.02,6.95,9.07,26.0,25.6,25.1
7,USGS,02172053,2016-10-07,11.78,7.31,9.70,25.5,25.2,24.8
8,USGS,02172053,2016-10-08,,,,25.4,24.7,23.7
9,USGS,02172053,2016-10-09,10.71,6.61,8.62,23.7,23.2,22.6
10,USGS,02172053,2016-10-10,11.33,7.30,9.36,22.7,22.4,22.2
11,USGS,02172053,2016-10-11,11.21,6.65,9.31,22.3,21.9,21.4
12,USGS,02172053,2016-10-12,11.47,6.22,9.27,22.2,21.5,21.1
13,USGS,02172053,2016-10-13,11.24,5.70,8.89,21.8,21.3,21.0
14,USGS,02172053,2016-10-14,11.26,5.32,8.73,21.8,21.3,21.1
15,USGS,02172053,2016-10-15,11.41,5.37,8.83,21.8,21.5,21.3
16,USGS,02172053,2016-10-16,11.53,5.01,8.72,22.2,21.7,21.4
17,USGS,02172053,2016-10-17,11.62,4.98,8.68,22.7,22.0,21.6
18,USGS,02172053,2016-10-18,11.60,4.98,8.56,23.2,22.4,22.0
19,USGS,02172053,2016-10-19,11.34,4.96,8.35,23.7,22.7,22.4
20,USGS,02172053,2016-10-20,11.14,5.05,8.38,23.7,23.0,22.7
21,USGS,02172053,2016-10-21,11.18,5.46,8.40,23.7,23.1,22.8
22,USGS,02172053,2016-10-22,10.79,5.16,8.16,23.0,22.7,22.3
