,agency_cd,site_no,datetime,Temperature_Mean,Temperature_Min,Gage height_Max,Dissolved oxygen_Mean,Temperature_Max,Dissolved oxygen_Max,Gage height_Min,Gage height_Mean,Dissolved oxygen_Min
0,USGS,021720677,2016-09-30,27.4,27.2,13.38,4.7,27.8,5.2,7.56,10.78,4.3
1,USGS,021720677,2016-10-01,27.3,27.1,13.78,4.7,27.5,5.0,7.76,11.11,4.2
2,USGS,021720677,2016-10-02,27.3,27.0,13.70,4.7,27.5,5.0,8.11,11.13,4.2
3,USGS,021720677,2016-10-03,27.3,26.6,13.82,4.7,27.4,5.4,8.54,11.32,3.9
4,USGS,021720677,2016-10-04,27.0,26.6,14.08,4.9,27.2,5.5,8.88,11.57,4.4
5,USGS,021720677,2016-10-05,26.3,25.9,13.98,5.3,27.0,5.9,9.19,11.67,4.6
6,USGS,021720677,2016-10-06,25.7,25.2,14.23,5.5,26.3,6.2,9.60,11.86,4.8
7,USGS,021720677,2016-10-07,25.2,25.0,15.32,5.8,25.6,6.6,9.90,12.61,5.2
8,USGS,021720677,2016-10-08,24.7,24.1,17.37,6.4,25.1,6.7,7.99,12.65,5.5
9,USGS,021720677,2016-10-09,23.9,23.4,13.53,6.3,24.5,6.9,8.96,11.18,5.4
10,USGS,021720677,2016-10-10,23.3,22.5,14.38,5.7,24.2,6.3,9.72,12.07,5.2
11,USGS,021720677,2016-10-11,22.9,22.2,14.31,5.4,23.6,5.9,9.04,12.00,4.8
12,USGS,021720677,2016-10-12,22.6,21.9,14.59,5.3,22.9,5.7,8.53,11.97,4.9
13,USGS,021720677,2016-10-13,22.5,22.2,14.40,5.0,22.9,5.4,7.62,11.57,4.5
14,USGS,021720677,2016-10-14,22.4,22.1,14.55,4.9,22.6,5.3,7.62,11.47,4.4
15,USGS,021720677,2016-10-15,22.3,21.9,14.68,4.9,22.6,5.3,7.62,11.56,4.5
16,USGS,021720677,2016-10-16,22.3,21.9,14.85,4.9,22.6,5.3,7.19,11.43,4.4
17,USGS,021720677,2016-10-17,22.4,22.1,14.92,4.8,22.7,5.2,7.18,11.38,4.4
18,USGS,021720677,2016-10-18,22.7,22.3,14.89,4.6,23.0,5.0,7.24,11.22,4.2
19,USGS,021720677,2016-10-19,23.0,22.6,14.62,4.6,23.4,4.9,7.29,11.05,4.2
20,USGS,021720677,2016-10-20,23.3,23.0,14.44,4.6,23.7,5.0,7.48,11.11,4.3
21,USGS,021720677,2016-10-21,23.5,23.2,14.38,4.8,23.9,5.0,7.85,11.08,4.4
22,USGS,021720677,2016-10-22,23.1,22.6,13.99,5.1,23.5,5.7,7.60,10.93,4.7
23,USGS,021720677,2016-10-23,22.7,21.7,13.91,5.3,23.2,5.6,8.54,11.31,5.0
24,USGS,021720677,2016-10-24,22.4,21.8,13.38,5.4,22.8,5.8,8.02,11.03,5.1
25,USGS,021720677,2016-10-25,22.1,21.7,13.88,5.6,22.3,6.0,8.67,11.40,5.2
26,USGS,021720677,2016-10-26,21.8,21.1,13.62,5.6,22.0,6.0,8.28,11.28,5.2
27,USGS,021720677,2016-10-27,21.7,21.5,13.56,5.6,21.9,5.9,7.92,11.08,5.3
