,agency_cd,site_no,datetime,Gage height_Min,Gage height_Mean,Temperature_Min,Temperature_Mean,Gage height_Max,Temperature_Max
0,USGS,021720710,2016-09-30,15.42,18.47,27.1,27.5,21.05,27.9
1,USGS,021720710,2016-10-01,15.66,18.80,27.1,27.4,21.42,28.1
2,USGS,021720710,2016-10-02,16.00,18.82,27.1,27.4,21.32,27.6
3,USGS,021720710,2016-10-03,16.38,19.00,26.9,27.2,21.47,27.6
4,USGS,021720710,2016-10-04,16.82,19.32,26.5,26.8,21.77,27.0
5,USGS,021720710,2016-10-05,17.14,19.41,25.7,26.0,21.72,26.6
6,USGS,021720710,2016-10-06,17.50,19.62,24.9,25.2,21.91,25.8
7,USGS,021720710,2016-10-07,17.84,20.47,24.3,24.8,23.81,24.9
8,USGS,021720710,2016-10-08,,,24.3,24.5,,24.6
9,USGS,021720710,2016-10-09,16.69,18.77,23.4,24.0,21.13,24.4
10,USGS,021720710,2016-10-10,17.58,19.70,22.3,23.3,22.00,23.9
11,USGS,021720710,2016-10-11,16.96,19.65,22.3,22.9,21.95,23.4
12,USGS,021720710,2016-10-12,16.47,19.62,22.3,22.5,22.29,23.3
13,USGS,021720710,2016-10-13,15.55,19.21,22.2,22.5,22.10,23.0
14,USGS,021720710,2016-10-14,,,22.2,22.5,,23.0
15,USGS,021720710,2016-10-15,,,22.1,22.6,,23.0
16,USGS,021720710,2016-10-16,,,22.3,22.5,,22.7
17,USGS,021720710,2016-10-17,,,,,,
18,USGS,021720710,2016-10-18,,,22.6,23.0,,23.4
19,USGS,021720710,2016-10-19,,,22.9,23.3,,23.8
20,USGS,021720710,2016-10-20,15.37,18.83,23.2,23.6,22.20,24.1
21,USGS,021720710,2016-10-21,15.77,18.76,23.4,23.7,22.10,24.2
22,USGS,021720710,2016-10-22,15.64,18.63,22.1,23.1,21.68,23.8
23,USGS,021720710,2016-10-23,16.45,18.99,21.9,22.5,21.57,22.9
24,USGS,021720710,2016-10-24,15.96,18.71,21.9,22.2,21.05,22.4
25,USGS,021720710,2016-10-25,16.62,19.11,21.6,21.9,21.55,22.3
26,USGS,021720710,2016-10-26,16.20,18.97,21.2,21.6,21.29,22.2
27,USGS,021720710,2016-10-27,15.76,18.79,21.2,21.7,21.31,22.3
28,USGS,021720710,2016-10-28,15.76,18.62,21.4,21.8,21.12,22.5
29,USGS,021720710,2016-10-29,15.74,18.78,21.6,21.9,21.33,23.2
30,USGS,021720710,2016-10-30,15.72,18.64,21.7,22.1,21.35,22.6
31,USGS,021720710,2016-10-31,15.54,18.65,21.8,22.2,21.09,22.5
32,USGS,021720710,2016-11-01,16.46,19.18,21.8,22.1,21.94,22.5
33,USGS,021720710,2016-11-02,16.09,18.74,21.8,22.2,21.42,22.7
34,USGS,021720710,2016-11-03,16.00,18.45,21.9,22.3,20.93,23.0
35,USGS,021720710,2016-11-04,16.18,18.51,21.8,22.1,20.70,22.3
36,USGS,021720710,2016-11-05,16.93,19.06,20.7,21.5,21.40,22.3
37,USGS,021720710,2016-11-06,16.61,18.78,20.4,21.0,21.09,21.6
38,USGS,021720710,2016-11-07,16.64,18.77,19.9,20.6,20.99,21.0
39,USGS,021720710,2016-11-08,16.67,19.02,19.5,20.0,21.32,20.4
40,USGS,021720710,2016-11-09,15.75,18.87,19.5,19.7,21.15,19.9
41,USGS,021720710,2016-11-10,15.69,18.91,18.8,19.0,21.34,19.6
42,USGS,021720710,2016-11-11,15.25,18.96,18.5,18.7,21.70,19.3
43,USGS,021720710,2016-11-12,15.61,19.45,17.8,18.3,22.39,18.7
44,USGS,021720710,2016-11-13,15.59,19.32,16.8,17.4,22.81,18.1
45,USGS,021720710,2016-11-14,15.02,18.95,16.2,16.6,22.75,17.2
46,USGS,021720710,2016-11-15,14.59,18.72,16.1,16.5,22.60,16.7
47,USGS,021720710,2016-11-16,14.79,18.74,16.3,16.5,22.64,16.8
48,USGS,021720710,2016-11-17,14.89,18.49,16.3,16.6,22.12,17.0
49,USGS,021720710,2016-11-18,15.13,18.48,16.4,16.8,21.87,17.1
50,USGS,021720710,2016-11-19,15.45,18.27,16.5,16.9,21.52,17.3
51,USGS,021720710,2016-11-20,15.41,18.25,15.7,16.5,21.27,16.9
52,USGS,021720710,2016-11-21,15.84,18.41,15.6,16.1,20.90,16.5
53,USGS,021720710,2016-11-22,15.82,18.32,15.5,15.9,20.55,16.3
54,USGS,021720710,2016-11-23,15.74,18.25,15.4,15.8,20.47,16.2
55,USGS,021720710,2016-11-24,15.39,18.13,15.8,16.0,20.48,16.6
56,USGS,021720710,2016-11-25,15.57,18.16,16.0,16.3,20.48,16.7
57,USGS,021720710,2016-11-26,15.59,18.31,16.1,16.4,20.69,16.6
58,USGS,021720710,2016-11-27,15.92,18.86,15.7,16.1,21.41,16.6
59,USGS,021720710,2016-11-28,15.96,18.83,15.7,15.9,21.53,16.2
60,USGS,021720710,2016-11-29,15.65,18.57,15.9,16.2,21.43,16.9
61,USGS,021720710,2016-11-30,15.50,18.29,16.3,16.7,21.08,17.1
62,USGS,021720710,2016-12-01,15.06,17.70,16.6,16.9,20.40,17.1
63,USGS,021720710,2016-12-02,15.22,17.94,16.0,16.6,20.74,17.2
64,USGS,021720710,2016-12-03,15.69,18.19,15.9,16.3,20.87,16.6
65,USGS,021720710,2016-12-04,16.21,18.58,15.6,15.9,21.18,16.3
66,USGS,021720710,2016-12-05,16.04,18.39,15.8,16.0,20.54,16.2
67,USGS,021720710,2016-12-06,16.26,18.95,15.7,15.9,21.56,16.1
68,USGS,021720710,2016-12-07,15.96,18.51,15.6,15.9,20.84,16.3
69,USGS,021720710,2016-12-08,15.37,18.55,15.6,15.9,20.92,16.0
70,USGS,021720710,2016-12-09,15.01,18.50,14.8,15.3,21.15,15.8
71,USGS,021720710,2016-12-10,14.79,18.44,14.1,14.5,21.31,15.1
72,USGS,021720710,2016-12-11,14.32,18.46,13.5,13.9,21.68,14.4
73,USGS,021720710,2016-12-12,13.93,18.20,13.7,14.1,21.93,14.5
74,USGS,021720710,2016-12-13,13.87,18.46,14.2,14.3,22.08,14.4
75,USGS,021720710,2016-12-14,14.34,18.63,14.3,14.4,22.44,14.4
76,USGS,021720710,2016-12-15,14.78,18.47,13.8,14.2,22.32,14.3
77,USGS,021720710,2016-12-16,14.65,18.68,13.2,13.5,22.37,13.8
78,USGS,021720710,2016-12-17,15.12,18.40,12.8,13.2,21.94,14.1
79,USGS,021720710,2016-12-18,14.94,17.91,13.1,13.6,21.11,14.2
80,USGS,021720710,2016-12-19,14.85,18.08,13.3,13.7,21.27,14.0
81,USGS,021720710,2016-12-20,15.95,18.42,12.7,13.1,20.81,13.6
82,USGS,021720710,2016-12-21,16.12,18.40,12.4,12.8,20.55,13.0
