,agency_cd,site_no,datetime,Gage height_Min,Temperature_Max,Gage height_Mean,Dissolved oxygen_Min,Dissolved oxygen_Mean,Dissolved oxygen_Max,Gage height_Max,Temperature_Mean,Temperature_Min
0,USGS,021720825,2017-01-26,4.52,15.0,8.29,6.8,7.0,7.2,11.29,14.3,13.9
1,USGS,021720825,2017-01-27,4.35,14.5,8.24,7.0,7.1,7.3,11.12,14.0,13.5
2,USGS,021720825,2017-01-28,4.18,13.4,8.16,7.2,7.7,8.1,11.21,12.3,11.3
3,USGS,021720825,2017-01-29,4.02,11.5,7.76,,,,10.94,10.7,10.0
4,USGS,021720825,2017-01-30,4.00,,7.46,,,,10.80,,
5,USGS,021720825,2017-01-31,4.31,10.3,8.03,8.9,9.1,9.2,11.19,9.6,8.8
6,USGS,021720825,2017-02-01,4.39,,7.92,,,,10.93,,
7,USGS,021720825,2017-02-02,4.37,13.6,7.96,,,,10.92,12.2,11.0
8,USGS,021720825,2017-02-03,4.93,14.8,8.49,7.6,8.1,8.5,11.16,13.5,12.7
9,USGS,021720825,2017-02-04,5.46,13.8,9.10,7.6,8.0,8.3,11.51,13.4,13.0
10,USGS,021720825,2017-02-05,4.33,13.1,8.84,,,,11.88,12.2,10.7
11,USGS,021720825,2017-02-06,4.17,12.6,8.38,8.0,8.5,9.4,11.29,11.8,10.4
12,USGS,021720825,2017-02-07,4.26,13.4,8.69,,,,11.61,12.6,10.9
13,USGS,021720825,2017-02-08,,,,,,,,,
14,USGS,021720825,2017-02-09,3.68,16.9,7.90,,,,11.39,15.8,14.9
15,USGS,021720825,2017-02-10,3.71,,8.47,,,,11.51,,
16,USGS,021720825,2017-02-11,4.03,14.6,8.28,7.7,8.0,8.4,11.53,13.9,13.0
17,USGS,021720825,2017-02-12,,,,,,,,,
18,USGS,021720825,2017-02-13,,,,,,,,,
19,USGS,021720825,2017-02-14,4.55,15.5,8.54,7.6,7.9,8.1,11.35,14.9,14.0
20,USGS,021720825,2017-02-15,4.52,,8.45,,,,11.27,,
21,USGS,021720825,2017-02-16,5.23,15.5,8.45,7.5,7.7,7.8,11.00,14.8,13.9
22,USGS,021720825,2017-02-17,,,,,,,,,
23,USGS,021720825,2017-02-18,5.70,14.9,8.30,7.5,7.7,8.0,10.81,14.3,13.4
24,USGS,021720825,2017-02-19,5.70,15.4,8.25,7.4,7.8,8.0,10.63,14.6,13.4
25,USGS,021720825,2017-02-20,5.76,16.0,8.40,7.4,7.7,7.9,10.80,15.3,14.3
26,USGS,021720825,2017-02-21,5.93,16.1,8.80,,,,10.99,15.8,15.3
27,USGS,021720825,2017-02-22,5.58,16.9,9.13,7.1,7.4,7.5,11.41,16.4,15.9
28,USGS,021720825,2017-02-23,5.58,17.6,9.37,6.9,7.1,7.2,11.73,17.1,16.6
29,USGS,021720825,2017-02-24,5.57,18.6,9.38,6.5,6.7,6.9,11.83,17.7,17.0
30,USGS,021720825,2017-02-25,,,,,,,,,
31,USGS,021720825,2017-02-26,3.85,18.6,8.30,6.2,6.5,6.7,11.34,17.8,17.0
32,USGS,021720825,2017-02-27,4.24,17.6,8.67,6.4,6.6,6.8,11.75,17.1,16.0
33,USGS,021720825,2017-02-28,4.06,18.5,8.58,6.2,6.7,6.8,11.47,17.7,16.9
34,USGS,021720825,2017-03-01,3.92,19.9,8.24,6.3,6.6,6.8,11.37,18.9,17.9
35,USGS,021720825,2017-03-02,3.51,19.8,7.74,6.4,6.6,6.8,11.27,19.2,18.4
36,USGS,021720825,2017-03-03,3.85,,7.88,,,,11.07,,
37,USGS,021720825,2017-03-04,4.31,17.9,7.84,6.7,7.0,7.4,10.99,16.7,15.3
38,USGS,021720825,2017-03-05,4.37,16.9,7.83,6.9,7.2,7.6,11.03,16.1,14.5
39,USGS,021720825,2017-03-06,4.56,16.6,8.23,7.1,7.4,7.6,11.15,16.0,15.2
40,USGS,021720825,2017-03-07,4.24,17.1,8.34,7.0,7.4,7.7,11.30,16.5,15.7
41,USGS,021720825,2017-03-08,,,,,,,,,
42,USGS,021720825,2017-03-09,,,,,,,,,
43,USGS,021720825,2017-03-10,3.98,18.9,8.18,,,,11.30,17.9,17.2
44,USGS,021720825,2017-03-11,3.76,18.3,8.62,7.0,7.3,7.6,11.59,17.5,16.9
45,USGS,021720825,2017-03-12,4.55,17.4,8.72,7.1,7.3,7.5,11.59,16.2,15.0
46,USGS,021720825,2017-03-13,4.86,15.0,9.05,7.4,7.6,7.9,11.82,14.3,13.9
47,USGS,021720825,2017-03-14,4.37,13.9,8.36,7.7,8.0,8.3,11.73,13.3,13.0
48,USGS,021720825,2017-03-15,3.84,13.2,7.52,8.1,8.5,8.9,10.87,12.4,11.1
49,USGS,021720825,2017-03-16,4.38,12.6,7.83,8.7,8.8,9.1,10.82,11.9,9.8
50,USGS,021720825,2017-03-17,4.72,13.0,7.88,8.7,8.8,8.9,10.78,12.1,10.7
51,USGS,021720825,2017-03-18,4.82,13.5,7.60,8.6,8.7,8.9,10.62,12.8,11.8
52,USGS,021720825,2017-03-19,5.13,14.3,7.83,8.3,8.7,9.0,10.21,13.6,12.6
