,agency_cd,site_no,datetime,Gage height_Max,Temperature_Max,Temperature_Mean,Gage height_Min,Dissolved oxygen_Min,Gage height_Mean,Temperature_Min,Dissolved oxygen_Mean,Dissolved oxygen_Max
0,USGS,021720869,2016-09-30,11.72,28.2,27.7,5.66,3.6,9.03,27.3,4.1,4.5
1,USGS,021720869,2016-10-01,12.07,27.8,27.5,5.82,3.5,9.37,27.2,4.0,4.3
2,USGS,021720869,2016-10-02,11.97,27.6,27.3,6.22,3.4,9.39,27.0,4.0,4.4
3,USGS,021720869,2016-10-03,12.13,27.5,27.2,6.61,3.5,9.57,26.8,4.0,4.4
4,USGS,021720869,2016-10-04,12.40,27.1,26.7,7.00,3.7,9.88,26.4,4.3,4.7
5,USGS,021720869,2016-10-05,12.32,26.4,25.5,7.40,4.5,9.95,25.1,4.9,5.2
6,USGS,021720869,2016-10-06,12.54,25.2,24.5,7.74,4.9,10.15,24.1,5.3,5.6
7,USGS,021720869,2016-10-07,14.03,24.4,24.1,8.11,5.2,11.01,23.8,5.7,6.6
8,USGS,021720869,2016-10-08,15.15,24.5,23.9,6.42,5.8,11.15,23.2,6.3,6.7
9,USGS,021720869,2016-10-09,11.81,23.4,22.8,7.05,4.5,9.35,22.5,5.3,5.9
10,USGS,021720869,2016-10-10,12.66,23.4,22.3,7.99,4.3,10.34,21.2,4.7,5.2
11,USGS,021720869,2016-10-11,12.62,22.7,21.3,7.42,4.3,10.35,20.2,4.5,4.8
12,USGS,021720869,2016-10-12,13.05,21.8,20.7,6.97,4.4,10.37,20.0,4.6,4.7
13,USGS,021720869,2016-10-13,12.84,21.6,20.8,6.16,4.1,9.99,20.2,4.5,4.7
14,USGS,021720869,2016-10-14,12.99,21.8,21.0,6.07,4.0,9.90,20.5,4.5,4.8
15,USGS,021720869,2016-10-15,13.15,22.0,21.3,6.22,4.3,10.02,20.7,4.7,5.0
16,USGS,021720869,2016-10-16,13.37,22.3,21.5,5.70,4.4,9.87,20.8,4.7,4.9
17,USGS,021720869,2016-10-17,13.41,22.8,21.9,5.60,4.2,9.80,21.1,4.5,4.8
18,USGS,021720869,2016-10-18,13.36,23.3,22.4,5.60,3.9,9.63,21.5,4.3,4.6
19,USGS,021720869,2016-10-19,13.07,23.8,22.7,5.56,3.8,9.42,21.9,4.2,4.5
20,USGS,021720869,2016-10-20,12.85,24.3,23.1,5.63,3.7,9.46,22.1,4.1,4.3
21,USGS,021720869,2016-10-21,12.77,24.2,23.2,6.03,3.7,9.38,22.3,4.1,4.5
22,USGS,021720869,2016-10-22,12.31,23.5,22.4,5.80,4.0,9.16,21.5,4.6,4.8
23,USGS,021720869,2016-10-23,12.24,22.6,21.6,6.68,4.5,9.56,20.7,4.8,4.9
24,USGS,021720869,2016-10-24,11.71,22.1,21.1,6.12,4.5,9.29,20.2,4.8,4.9
25,USGS,021720869,2016-10-25,12.18,21.7,21.1,6.82,4.6,9.70,20.2,4.9,5.2
26,USGS,021720869,2016-10-26,11.94,21.4,20.8,6.42,4.8,9.58,20.1,5.0,5.2
27,USGS,021720869,2016-10-27,11.94,21.4,20.9,6.11,4.7,9.39,20.2,5.0,5.2
28,USGS,021720869,2016-10-28,11.73,21.7,21.1,5.95,4.5,9.19,20.3,4.9,5.2
29,USGS,021720869,2016-10-29,11.97,22.0,21.5,5.95,4.3,9.35,20.6,4.8,5.2
30,USGS,021720869,2016-10-30,11.97,22.2,21.7,5.92,4.1,9.20,20.9,4.8,5.2
31,USGS,021720869,2016-10-31,11.74,22.4,21.9,5.70,4.1,9.18,21.1,4.8,5.2
32,USGS,021720869,2016-11-01,12.58,22.7,22.2,6.78,4.2,9.79,21.6,4.9,5.1
33,USGS,021720869,2016-11-02,12.10,22.8,22.2,6.36,4.4,9.38,21.6,4.9,5.1
34,USGS,021720869,2016-11-03,11.64,22.9,22.4,6.17,4.3,9.04,21.8,4.8,5.1
35,USGS,021720869,2016-11-04,11.39,22.8,22.4,6.52,4.5,9.07,22.0,5.1,5.9
36,USGS,021720869,2016-11-05,12.06,22.3,21.5,7.25,5.2,9.64,21.1,5.5,5.9
37,USGS,021720869,2016-11-06,11.75,21.6,20.8,6.89,5.3,9.37,20.4,5.6,6.0
38,USGS,021720869,2016-11-07,11.67,20.9,20.3,6.90,5.3,9.34,19.8,5.7,6.2
39,USGS,021720869,2016-11-08,12.01,20.3,19.7,6.86,5.6,9.61,19.1,5.9,6.1
40,USGS,021720869,2016-11-09,11.83,19.8,19.0,5.96,5.7,9.47,18.3,5.9,6.0
41,USGS,021720869,2016-11-10,12.02,18.7,18.3,5.92,5.9,9.57,17.6,6.1,6.2
42,USGS,021720869,2016-11-11,12.41,18.1,17.7,5.55,5.9,9.66,17.1,6.1,6.4
43,USGS,021720869,2016-11-12,13.06,17.5,17.2,5.54,5.9,10.13,16.7,6.4,6.6
44,USGS,021720869,2016-11-13,13.43,16.7,16.2,6.05,6.4,10.00,15.6,6.7,6.9
45,USGS,021720869,2016-11-14,13.37,15.7,15.4,5.33,6.3,9.63,15.2,6.8,7.1
46,USGS,021720869,2016-11-15,13.24,15.7,15.3,4.95,6.1,9.40,14.8,6.8,7.2
47,USGS,021720869,2016-11-16,13.27,15.9,15.3,5.11,6.1,9.41,14.7,6.8,7.3
48,USGS,021720869,2016-11-17,12.80,16.2,15.4,5.17,6.0,9.14,14.7,6.9,7.4
49,USGS,021720869,2016-11-18,12.56,16.4,15.6,5.37,5.8,9.12,14.7,6.9,7.4
50,USGS,021720869,2016-11-19,12.20,16.7,15.8,5.61,6.0,8.89,14.9,7.0,7.5
51,USGS,021720869,2016-11-20,11.95,16.1,15.2,5.47,6.2,8.79,14.6,7.3,7.7
52,USGS,021720869,2016-11-21,11.57,15.5,14.7,6.03,6.7,8.97,14.0,7.4,7.7
53,USGS,021720869,2016-11-22,11.22,15.0,14.3,6.06,6.7,8.89,13.7,7.4,7.7
54,USGS,021720869,2016-11-23,11.17,14.8,14.2,5.99,6.8,8.84,13.6,7.5,7.8
55,USGS,021720869,2016-11-24,11.16,15.4,14.8,5.66,6.4,8.72,14.2,7.4,7.7
56,USGS,021720869,2016-11-25,11.18,15.9,15.4,5.80,6.7,8.74,14.8,7.4,7.7
57,USGS,021720869,2016-11-26,11.34,16.1,15.8,5.79,6.8,8.87,15.4,7.4,7.7
58,USGS,021720869,2016-11-27,12.10,15.6,15.3,6.19,6.8,9.47,15.1,7.4,7.7
59,USGS,021720869,2016-11-28,12.23,15.2,14.9,6.21,6.9,9.45,14.8,7.5,7.8
60,USGS,021720869,2016-11-29,12.12,16.4,15.7,5.92,7.0,9.21,15.0,7.7,8.0
61,USGS,021720869,2016-11-30,11.77,17.5,16.8,5.71,7.2,8.90,16.0,7.7,7.9
62,USGS,021720869,2016-12-01,11.07,17.6,17.4,5.31,7.1,8.26,17.1,7.6,7.8
63,USGS,021720869,2016-12-02,11.39,17.2,16.8,5.44,6.9,8.47,16.5,7.6,7.8
64,USGS,021720869,2016-12-03,11.57,16.5,16.1,5.92,7.2,8.75,15.8,7.6,7.8
65,USGS,021720869,2016-12-04,11.91,16.2,15.6,6.53,7.2,9.14,15.3,7.7,7.8
66,USGS,021720869,2016-12-05,11.30,16.0,15.6,6.30,7.3,8.95,15.3,7.6,7.8
67,USGS,021720869,2016-12-06,12.27,16.0,15.6,6.56,7.0,9.59,15.3,7.8,8.0
68,USGS,021720869,2016-12-07,11.60,16.0,15.5,6.26,7.3,9.10,15.1,7.7,8.0
69,USGS,021720869,2016-12-08,11.64,16.0,15.4,5.57,7.2,9.17,14.9,7.6,7.8
70,USGS,021720869,2016-12-09,11.86,15.7,14.7,5.27,7.3,9.16,13.7,7.7,7.9
71,USGS,021720869,2016-12-10,12.04,14.2,13.5,5.09,7.4,9.14,12.6,7.8,8.0
72,USGS,021720869,2016-12-11,12.41,13.1,12.8,4.78,7.5,9.20,12.3,7.9,8.2
73,USGS,021720869,2016-12-12,12.65,13.7,13.1,4.60,7.6,8.91,12.3,7.9,8.1
74,USGS,021720869,2016-12-13,12.80,14.1,13.6,4.18,7.4,9.14,12.6,7.7,8.0
75,USGS,021720869,2016-12-14,13.10,14.2,13.8,4.66,7.1,9.32,13.1,7.6,7.9
76,USGS,021720869,2016-12-15,12.98,14.1,13.6,5.11,7.2,9.16,13.1,7.7,8.1
77,USGS,021720869,2016-12-16,13.10,13.4,12.6,4.97,7.7,9.35,12.0,8.1,8.5
78,USGS,021720869,2016-12-17,12.61,12.9,12.2,5.51,7.9,9.11,11.6,8.4,8.7
79,USGS,021720869,2016-12-18,11.86,14.3,13.2,5.24,8.2,8.59,12.3,8.6,8.8
80,USGS,021720869,2016-12-19,11.98,14.4,13.8,5.18,8.1,8.67,13.3,8.5,8.7
81,USGS,021720869,2016-12-20,11.45,13.7,13.0,6.22,8.2,9.00,12.4,8.6,8.8
82,USGS,021720869,2016-12-21,11.21,13.2,12.5,6.40,8.2,8.98,12.0,8.6,8.8
83,USGS,021720869,2016-12-22,11.13,12.9,12.5,5.94,8.1,8.81,11.9,8.6,8.8
84,USGS,021720869,2016-12-23,11.28,12.8,12.5,6.73,8.4,9.22,12.0,8.6,8.7
85,USGS,021720869,2016-12-24,11.69,13.2,12.8,5.86,8.2,8.95,12.4,8.5,8.7
86,USGS,021720869,2016-12-25,11.12,13.6,13.2,5.75,7.9,8.63,12.8,8.4,8.6
87,USGS,021720869,2016-12-26,11.65,13.8,13.6,5.81,8.0,9.11,13.3,8.3,8.5
88,USGS,021720869,2016-12-27,11.57,14.1,13.8,5.36,7.8,8.52,13.4,8.2,8.4
89,USGS,021720869,2016-12-28,11.08,14.5,14.2,4.91,7.7,8.23,13.7,8.1,8.4
90,USGS,021720869,2016-12-29,11.65,14.7,14.4,5.08,7.6,8.13,14.1,8.0,8.3
91,USGS,021720869,2016-12-30,10.76,14.1,13.7,4.63,7.9,7.77,13.1,8.3,8.6
92,USGS,021720869,2016-12-31,11.69,13.2,13.0,5.20,8.1,8.44,12.7,8.4,8.6
93,USGS,021720869,2017-01-01,11.57,13.3,12.9,5.23,7.8,8.50,12.6,8.3,8.5
94,USGS,021720869,2017-01-02,11.20,14.1,13.4,4.92,7.8,8.26,12.8,8.2,8.5
95,USGS,021720869,2017-01-03,11.21,14.8,14.2,4.95,7.9,8.21,13.7,8.2,8.4
96,USGS,021720869,2017-01-04,11.03,14.9,14.5,5.23,7.9,8.16,14.2,8.2,8.4
97,USGS,021720869,2017-01-05,11.45,14.8,14.4,5.95,7.9,8.85,14.0,8.1,8.3
98,USGS,021720869,2017-01-06,11.58,14.7,14.2,5.38,7.6,8.70,13.9,8.1,8.3
