,agency_cd,site_no,datetime,Gage height_Min,Temperature_Mean,Gage height_Mean,Temperature_Max,Gage height_Max,Precipitation,Temperature_Min
0,USGS,02172300,2016-09-30,1.98,21.7,1.99,23.1,2.00,0.00,20.9
1,USGS,02172300,2016-10-01,1.98,20.1,2.01,21.0,2.02,0.00,19.0
2,USGS,02172300,2016-10-02,2.01,20.0,2.04,20.8,2.06,0.00,18.8
3,USGS,02172300,2016-10-03,2.04,20.7,2.06,21.4,2.08,0.00,20.0
4,USGS,02172300,2016-10-04,2.03,21.0,2.05,21.5,2.07,0.00,20.5
5,USGS,02172300,2016-10-05,2.03,20.5,2.05,20.8,2.06,0.00,20.2
6,USGS,02172300,2016-10-06,2.05,20.8,2.17,21.4,2.26,0.00,20.3
7,USGS,02172300,2016-10-07,2.09,21.5,2.15,22.0,2.27,0.64,21.3
8,USGS,02172300,2016-10-08,2.25,21.6,3.89,22.0,4.66,1.98,21.3
9,USGS,02172300,2016-10-09,2.57,20.5,3.11,21.4,3.97,0.00,20.0
10,USGS,02172300,2016-10-10,2.29,18.9,2.41,20.1,2.57,0.00,18.3
11,USGS,02172300,2016-10-11,2.20,17.6,2.25,18.4,2.29,0.00,16.8
12,USGS,02172300,2016-10-12,2.17,17.3,2.19,18.4,2.20,0.00,16.3
13,USGS,02172300,2016-10-13,2.15,17.9,2.17,18.6,2.18,0.00,17.0
14,USGS,02172300,2016-10-14,2.12,18.3,2.15,19.0,2.17,0.00,17.6
15,USGS,02172300,2016-10-15,2.12,18.9,2.13,19.3,2.14,0.00,18.4
16,USGS,02172300,2016-10-16,2.00,19.3,2.07,19.7,2.12,0.00,18.9
17,USGS,02172300,2016-10-17,2.00,18.8,2.06,19.4,2.10,0.00,17.8
18,USGS,02172300,2016-10-18,2.07,19.0,2.10,19.8,2.11,0.00,18.2
19,USGS,02172300,2016-10-19,2.07,19.4,2.09,20.1,2.10,0.00,18.6
20,USGS,02172300,2016-10-20,2.08,19.6,2.10,20.2,2.11,0.00,18.9
21,USGS,02172300,2016-10-21,2.07,19.3,2.10,19.8,2.11,0.00,18.8
22,USGS,02172300,2016-10-22,2.05,17.0,2.06,18.8,2.07,0.00,16.0
23,USGS,02172300,2016-10-23,2.05,15.1,2.07,16.0,2.08,0.00,14.1
24,USGS,02172300,2016-10-24,2.05,15.0,2.07,16.0,2.08,0.00,14.0
25,USGS,02172300,2016-10-25,2.04,15.9,2.06,16.4,2.08,0.00,15.4
26,USGS,02172300,2016-10-26,2.04,15.1,2.06,15.9,2.07,0.00,14.3
27,USGS,02172300,2016-10-27,2.05,15.8,2.07,16.7,2.09,0.00,15.1
28,USGS,02172300,2016-10-28,2.08,16.5,2.09,17.3,2.09,0.00,15.8
29,USGS,02172300,2016-10-29,2.08,16.8,2.09,17.5,2.10,0.00,16.1
30,USGS,02172300,2016-10-30,2.07,17.0,2.09,17.7,2.10,0.00,16.3
31,USGS,02172300,2016-10-31,2.06,17.2,2.08,17.8,2.09,0.00,16.4
32,USGS,02172300,2016-11-01,2.06,18.1,2.08,18.5,2.11,0.00,17.6
33,USGS,02172300,2016-11-02,2.11,17.3,2.12,18.0,2.13,0.00,16.7
34,USGS,02172300,2016-11-03,2.10,17.2,2.11,17.9,2.12,0.00,16.5
35,USGS,02172300,2016-11-04,2.10,17.4,2.11,17.7,2.12,0.00,16.9
36,USGS,02172300,2016-11-05,2.09,15.6,2.10,16.9,2.12,0.00,15.1
37,USGS,02172300,2016-11-06,2.09,14.3,2.09,15.2,2.11,0.00,13.5
38,USGS,02172300,2016-11-07,2.08,13.8,2.09,14.3,2.09,0.00,13.1
39,USGS,02172300,2016-11-08,2.08,13.1,2.09,13.9,2.11,0.00,12.4
40,USGS,02172300,2016-11-09,2.10,13.2,2.11,13.8,2.11,0.00,12.7
41,USGS,02172300,2016-11-10,2.10,12.6,2.11,13.5,2.12,0.00,12.0
42,USGS,02172300,2016-11-11,2.12,11.7,2.13,12.4,2.15,0.00,10.9
43,USGS,02172300,2016-11-12,2.12,12.7,2.13,13.0,2.14,0.00,12.3
44,USGS,02172300,2016-11-13,2.12,12.1,2.23,12.7,2.55,0.41,11.7
45,USGS,02172300,2016-11-14,2.32,12.1,2.41,12.6,2.54,0.01,11.7
46,USGS,02172300,2016-11-15,2.23,11.6,2.27,12.2,2.32,0.00,10.8
47,USGS,02172300,2016-11-16,2.20,11.4,2.22,12.0,2.24,0.00,10.6
48,USGS,02172300,2016-11-17,2.14,11.5,2.19,12.2,2.22,0.00,10.7
49,USGS,02172300,2016-11-18,2.14,11.5,2.15,12.4,2.16,0.00,10.6
50,USGS,02172300,2016-11-19,2.13,11.7,2.16,12.3,2.20,0.00,10.9
51,USGS,02172300,2016-11-20,2.18,10.1,2.20,11.4,2.21,0.00,9.3
52,USGS,02172300,2016-11-21,2.20,9.1,2.22,9.7,2.26,0.00,8.2
53,USGS,02172300,2016-11-22,2.20,8.8,2.21,9.4,2.24,0.00,7.9
54,USGS,02172300,2016-11-23,2.19,9.0,2.20,10.2,2.20,0.00,8.0
55,USGS,02172300,2016-11-24,2.19,11.0,2.20,11.9,2.21,0.00,10.2
56,USGS,02172300,2016-11-25,2.21,12.3,2.22,13.1,2.23,0.00,11.5
57,USGS,02172300,2016-11-26,2.21,11.8,2.21,12.7,2.22,0.00,11.1
58,USGS,02172300,2016-11-27,2.20,10.0,2.21,11.1,2.23,0.00,9.2
59,USGS,02172300,2016-11-28,2.22,10.1,2.24,11.7,2.25,0.00,9.1
60,USGS,02172300,2016-11-29,2.24,12.9,2.41,13.9,3.33,0.64,11.7
61,USGS,02172300,2016-11-30,2.81,14.2,3.00,14.9,3.35,0.34,13.6
62,USGS,02172300,2016-12-01,2.52,14.3,2.75,15.0,3.01,0.00,13.0
63,USGS,02172300,2016-12-02,2.34,12.1,2.42,13.0,2.52,0.00,11.5
64,USGS,02172300,2016-12-03,2.28,10.8,2.31,11.5,2.34,0.00,10.0
65,USGS,02172300,2016-12-04,2.28,11.2,2.30,11.4,2.36,0.40,10.9
66,USGS,02172300,2016-12-05,2.36,11.3,2.95,11.8,3.30,0.76,10.8
67,USGS,02172300,2016-12-06,2.99,12.0,3.32,12.2,3.61,0.35,11.7
68,USGS,02172300,2016-12-07,2.59,12.1,2.77,12.3,3.02,0.01,12.0
69,USGS,02172300,2016-12-08,2.45,12.2,2.51,12.6,2.59,0.00,11.7
70,USGS,02172300,2016-12-09,2.37,10.1,2.41,11.7,2.45,0.00,9.1
71,USGS,02172300,2016-12-10,2.32,8.1,2.34,9.1,2.37,0.00,7.4
72,USGS,02172300,2016-12-11,2.30,7.6,2.31,8.3,2.32,0.00,6.8
73,USGS,02172300,2016-12-12,2.31,8.9,2.32,9.8,2.33,0.03,8.1
74,USGS,02172300,2016-12-13,2.32,10.3,3.01,11.0,3.70,0.89,9.5
75,USGS,02172300,2016-12-14,2.72,11.0,2.95,11.2,3.23,0.14,10.8
76,USGS,02172300,2016-12-15,2.50,10.4,2.60,11.0,2.72,0.00,9.7
77,USGS,02172300,2016-12-16,2.41,8.4,2.44,9.7,2.50,0.00,8.0
78,USGS,02172300,2016-12-17,2.39,8.5,2.40,9.6,2.41,0.00,7.7
79,USGS,02172300,2016-12-18,2.37,10.9,2.38,12.3,2.40,0.28,9.4
80,USGS,02172300,2016-12-19,2.40,11.6,2.79,12.2,2.96,0.29,10.6
81,USGS,02172300,2016-12-20,2.58,10.1,2.68,10.6,2.82,0.00,9.9
82,USGS,02172300,2016-12-21,2.48,9.2,2.58,9.9,2.78,0.00,8.7
83,USGS,02172300,2016-12-22,2.40,9.2,2.46,10.1,2.58,0.00,8.4
84,USGS,02172300,2016-12-23,2.39,9.2,2.40,10.0,2.42,0.00,8.6
85,USGS,02172300,2016-12-24,2.37,10.5,2.38,11.4,2.40,0.00,9.9
86,USGS,02172300,2016-12-25,2.34,11.2,2.36,12.1,2.38,0.00,10.4
87,USGS,02172300,2016-12-26,2.33,12.0,2.34,12.5,2.34,0.00,11.4
88,USGS,02172300,2016-12-27,2.33,12.9,2.34,13.6,2.35,0.00,12.4
89,USGS,02172300,2016-12-28,2.33,12.9,2.34,13.3,2.35,0.00,12.4
90,USGS,02172300,2016-12-29,2.33,13.0,2.52,13.8,2.75,0.53,12.2
91,USGS,02172300,2016-12-30,2.41,10.8,2.48,12.2,2.58,0.00,9.6
92,USGS,02172300,2016-12-31,2.36,8.8,2.38,9.6,2.41,0.00,8.1
93,USGS,02172300,2017-01-01,2.36,9.7,2.44,10.6,2.58,0.73,9.1
94,USGS,02172300,2017-01-02,2.58,11.9,4.49,12.5,5.27,2.42,10.6
95,USGS,02172300,2017-01-03,4.45,13.3,4.96,13.8,5.42,0.68,12.4
96,USGS,02172300,2017-01-04,3.32,13.3,3.86,13.6,4.45,0.00,12.8
97,USGS,02172300,2017-01-05,2.85,11.8,3.09,12.8,3.32,0.00,11.2
98,USGS,02172300,2017-01-06,2.76,10.9,2.92,11.4,3.86,1.02,10.5
99,USGS,02172300,2017-01-07,3.80,9.5,4.26,10.5,4.69,0.44,8.2
100,USGS,02172300,2017-01-08,,7.0,,8.2,,,6.2
101,USGS,02172300,2017-01-09,2.78,5.9,2.96,6.4,3.14,0.00,5.4
102,USGS,02172300,2017-01-10,2.73,5.9,2.75,6.9,2.79,0.00,5.0
103,USGS,02172300,2017-01-11,2.69,7.7,2.72,8.9,2.73,0.00,6.6
104,USGS,02172300,2017-01-12,2.64,9.2,2.67,10.4,2.69,0.00,8.2
105,USGS,02172300,2017-01-13,2.58,10.4,2.62,11.6,2.65,0.00,9.4
106,USGS,02172300,2017-01-14,2.56,11.5,2.57,12.2,2.59,0.00,10.9
107,USGS,02172300,2017-01-15,2.52,11.7,2.56,12.5,2.58,0.00,10.9
108,USGS,02172300,2017-01-16,2.51,11.9,2.51,12.5,2.52,0.00,11.4
109,USGS,02172300,2017-01-17,2.49,13.0,2.51,13.9,2.52,0.01,12.4
110,USGS,02172300,2017-01-18,2.46,13.9,2.48,15.0,2.50,0.00,13.1
111,USGS,02172300,2017-01-19,2.43,13.5,2.45,14.1,2.46,0.00,12.6
112,USGS,02172300,2017-01-20,2.43,14.1,2.45,15.0,2.46,0.01,13.6
113,USGS,02172300,2017-01-21,2.42,14.2,2.59,14.6,3.05,0.52,13.8
114,USGS,02172300,2017-01-22,2.92,14.7,3.82,15.1,4.66,1.97,14.4
115,USGS,02172300,2017-01-23,3.62,14.3,4.44,14.9,5.17,0.01,14.0
116,USGS,02172300,2017-01-24,3.02,13.7,3.26,14.3,3.62,0.00,13.1
117,USGS,02172300,2017-01-25,2.83,12.6,2.92,13.5,3.02,0.00,11.7
118,USGS,02172300,2017-01-26,2.79,13.3,2.96,13.9,3.13,0.36,12.6
119,USGS,02172300,2017-01-27,2.73,11.8,2.81,12.8,2.92,0.00,11.2
120,USGS,02172300,2017-01-28,2.65,10.2,2.69,11.2,2.73,0.00,9.6
121,USGS,02172300,2017-01-29,2.59,9.3,2.62,10.0,2.66,0.00,8.5
122,USGS,02172300,2017-01-30,2.55,9.0,2.58,9.6,2.61,0.00,8.4
123,USGS,02172300,2017-01-31,2.53,8.9,2.54,10.4,2.55,0.00,7.6
124,USGS,02172300,2017-02-01,2.51,10.2,2.53,11.6,2.55,0.00,9.0
125,USGS,02172300,2017-02-02,2.49,11.1,2.51,12.6,2.52,0.00,9.8
126,USGS,02172300,2017-02-03,2.49,12.4,2.61,12.7,2.70,0.21,12.0
127,USGS,02172300,2017-02-04,2.53,10.5,2.57,12.0,2.61,0.00,9.5
128,USGS,02172300,2017-02-05,2.48,9.4,2.59,10.3,2.65,0.01,8.7
129,USGS,02172300,2017-02-06,2.39,9.8,2.42,11.2,2.48,0.00,8.6
130,USGS,02172300,2017-02-07,2.40,11.5,2.42,12.9,2.56,0.41,10.4
131,USGS,02172300,2017-02-08,2.56,13.6,3.13,14.4,3.46,0.07,12.7
132,USGS,02172300,2017-02-09,2.74,14.2,2.89,14.6,2.99,0.10,12.8
133,USGS,02172300,2017-02-10,2.58,11.5,2.65,12.8,2.74,0.00,10.8
134,USGS,02172300,2017-02-11,2.54,11.2,2.56,12.8,2.58,0.00,9.8
135,USGS,02172300,2017-02-12,2.51,13.5,2.53,14.8,2.55,0.00,12.2
136,USGS,02172300,2017-02-13,2.45,14.0,2.49,14.6,2.52,0.00,13.2
137,USGS,02172300,2017-02-14,2.44,12.6,2.46,13.8,2.52,0.00,11.3
138,USGS,02172300,2017-02-15,2.45,13.1,3.08,13.8,3.91,0.95,12.6
139,USGS,02172300,2017-02-16,2.84,12.0,3.11,13.0,3.50,0.00,11.3
140,USGS,02172300,2017-02-17,2.63,11.4,2.72,12.7,2.84,0.00,10.2
141,USGS,02172300,2017-02-18,2.57,11.5,2.59,12.3,2.63,0.02,10.7
142,USGS,02172300,2017-02-19,2.52,12.3,2.56,13.5,2.58,0.01,11.2
143,USGS,02172300,2017-02-20,2.47,12.7,2.50,13.9,2.53,0.00,11.4
144,USGS,02172300,2017-02-21,2.45,13.3,2.47,14.4,2.48,0.00,12.2
145,USGS,02172300,2017-02-22,2.45,14.7,2.46,15.6,2.47,0.00,14.0
146,USGS,02172300,2017-02-23,2.43,15.4,2.45,16.4,2.46,0.00,14.4
147,USGS,02172300,2017-02-24,2.42,15.7,2.43,17.0,2.43,0.00,14.3
148,USGS,02172300,2017-02-25,2.40,16.1,2.42,17.0,2.43,0.00,15.3
149,USGS,02172300,2017-02-26,2.37,13.9,2.38,15.5,2.40,0.00,12.9
150,USGS,02172300,2017-02-27,2.36,12.9,2.38,14.4,2.42,0.00,11.3
151,USGS,02172300,2017-02-28,2.39,14.9,2.40,16.3,2.43,0.00,13.6
152,USGS,02172300,2017-03-01,2.38,16.2,2.39,17.5,2.41,0.15,15.0
153,USGS,02172300,2017-03-02,2.40,16.2,2.46,17.2,2.52,0.03,14.8
154,USGS,02172300,2017-03-03,2.34,13.5,2.37,14.8,2.41,0.00,12.2
155,USGS,02172300,2017-03-04,2.33,12.2,2.34,13.1,2.37,0.00,10.9
156,USGS,02172300,2017-03-05,2.34,12.0,2.34,13.4,2.35,0.00,10.4
157,USGS,02172300,2017-03-06,2.34,13.1,2.36,14.0,2.37,0.02,12.2
158,USGS,02172300,2017-03-07,2.35,13.9,2.36,15.3,2.37,0.00,12.5
159,USGS,02172300,2017-03-08,2.33,15.4,2.36,16.5,2.38,0.00,14.6
160,USGS,02172300,2017-03-09,2.30,14.3,2.32,15.7,2.33,0.00,12.6
161,USGS,02172300,2017-03-10,2.30,14.6,2.32,16.1,2.35,0.05,13.1
162,USGS,02172300,2017-03-11,2.28,13.8,2.30,15.1,2.34,0.00,12.5
163,USGS,02172300,2017-03-12,2.28,12.5,2.44,14.1,2.60,0.29,11.3
164,USGS,02172300,2017-03-13,2.48,10.4,2.59,11.3,2.95,0.48,10.1
165,USGS,02172300,2017-03-14,2.72,10.4,2.88,11.3,2.98,0.14,9.8
166,USGS,02172300,2017-03-15,2.49,9.6,2.60,10.4,2.72,0.00,8.6
167,USGS,02172300,2017-03-16,2.43,8.8,2.45,10.2,2.49,0.00,7.3
168,USGS,02172300,2017-03-17,2.41,9.2,2.42,11.1,2.44,0.00,7.4
169,USGS,02172300,2017-03-18,2.40,10.9,2.41,12.5,2.42,0.05,9.7
170,USGS,02172300,2017-03-19,2.37,11.9,2.40,13.1,2.42,0.00,10.6
171,USGS,02172300,2017-03-20,2.36,12.0,2.37,13.9,2.38,0.00,10.1
