,agency_cd,site_no,datetime,Gage height_Max,Gage height_Min,Precipitation,Gage height_Mean
0,USGS,02173000,2016-09-30,4.82,4.69,0.00,4.75
1,USGS,02173000,2016-10-01,4.69,4.60,0.00,4.64
2,USGS,02173000,2016-10-02,4.60,4.55,0.00,4.58
3,USGS,02173000,2016-10-03,4.55,4.47,0.00,4.52
4,USGS,02173000,2016-10-04,4.47,4.41,0.00,4.45
5,USGS,02173000,2016-10-05,4.53,4.40,0.00,4.44
6,USGS,02173000,2016-10-06,4.53,4.44,0.00,4.48
7,USGS,02173000,2016-10-07,4.79,4.44,1.64,4.54
8,USGS,02173000,2016-10-08,6.43,4.79,4.75,5.78
9,USGS,02173000,2016-10-09,6.78,6.43,0.00,6.64
10,USGS,02173000,2016-10-10,6.91,6.78,0.00,6.87
11,USGS,02173000,2016-10-11,6.91,6.85,0.00,6.89
12,USGS,02173000,2016-10-12,6.85,6.65,0.00,6.76
13,USGS,02173000,2016-10-13,6.65,6.43,0.00,6.54
14,USGS,02173000,2016-10-14,6.43,6.28,0.00,6.34
15,USGS,02173000,2016-10-15,6.28,6.20,0.00,6.24
16,USGS,02173000,2016-10-16,6.20,6.09,0.00,6.15
17,USGS,02173000,2016-10-17,6.09,5.93,0.00,6.01
18,USGS,02173000,2016-10-18,5.93,5.76,0.00,5.84
19,USGS,02173000,2016-10-19,5.76,5.62,0.00,5.68
20,USGS,02173000,2016-10-20,5.62,5.54,0.00,5.58
21,USGS,02173000,2016-10-21,5.54,5.47,0.00,5.51
22,USGS,02173000,2016-10-22,5.47,5.41,0.00,5.44
23,USGS,02173000,2016-10-23,5.41,5.37,0.00,5.39
24,USGS,02173000,2016-10-24,5.37,5.34,0.00,5.35
25,USGS,02173000,2016-10-25,5.34,5.29,0.00,5.31
26,USGS,02173000,2016-10-26,5.29,5.26,0.00,5.27
27,USGS,02173000,2016-10-27,5.26,5.24,0.00,5.25
28,USGS,02173000,2016-10-28,5.24,5.24,0.00,5.24
29,USGS,02173000,2016-10-29,5.24,5.23,0.00,5.24
30,USGS,02173000,2016-10-30,5.23,5.22,0.00,5.23
31,USGS,02173000,2016-10-31,5.22,5.20,0.00,5.21
32,USGS,02173000,2016-11-01,5.20,5.19,0.00,5.19
33,USGS,02173000,2016-11-02,5.19,5.19,0.00,5.19
34,USGS,02173000,2016-11-03,5.20,5.19,0.00,5.20
35,USGS,02173000,2016-11-04,5.20,5.18,0.00,5.19
36,USGS,02173000,2016-11-05,5.18,5.17,0.00,5.17
37,USGS,02173000,2016-11-06,5.17,5.16,0.00,5.16
38,USGS,02173000,2016-11-07,5.17,5.16,0.00,5.16
39,USGS,02173000,2016-11-08,5.18,5.17,0.00,5.18
40,USGS,02173000,2016-11-09,5.18,5.17,0.00,5.18
41,USGS,02173000,2016-11-10,5.18,5.17,0.00,5.17
42,USGS,02173000,2016-11-11,5.17,5.15,0.00,5.16
43,USGS,02173000,2016-11-12,5.16,5.15,0.00,5.15
44,USGS,02173000,2016-11-13,5.20,5.15,0.24,5.16
45,USGS,02173000,2016-11-14,5.35,5.20,0.00,5.28
46,USGS,02173000,2016-11-15,5.44,5.35,0.00,5.40
47,USGS,02173000,2016-11-16,5.51,5.44,0.00,5.48
48,USGS,02173000,2016-11-17,5.53,5.51,0.00,5.52
49,USGS,02173000,2016-11-18,5.53,5.51,0.00,5.52
50,USGS,02173000,2016-11-19,5.51,5.48,0.00,5.50
51,USGS,02173000,2016-11-20,5.48,5.48,0.00,5.48
52,USGS,02173000,2016-11-21,5.48,5.46,0.00,5.47
53,USGS,02173000,2016-11-22,5.46,5.44,0.00,5.45
54,USGS,02173000,2016-11-23,5.44,5.42,0.00,5.43
55,USGS,02173000,2016-11-24,5.42,5.39,0.00,5.40
56,USGS,02173000,2016-11-25,5.39,5.38,0.00,5.38
57,USGS,02173000,2016-11-26,5.38,5.38,0.00,5.38
58,USGS,02173000,2016-11-27,5.38,5.37,0.00,5.37
59,USGS,02173000,2016-11-28,5.39,5.37,0.00,5.38
60,USGS,02173000,2016-11-29,5.45,5.39,0.17,5.42
61,USGS,02173000,2016-11-30,5.50,5.45,0.24,5.46
62,USGS,02173000,2016-12-01,5.55,5.50,0.00,5.52
63,USGS,02173000,2016-12-02,5.58,5.55,0.00,5.57
64,USGS,02173000,2016-12-03,5.62,5.58,0.00,5.60
65,USGS,02173000,2016-12-04,5.67,5.62,0.31,5.64
66,USGS,02173000,2016-12-05,5.88,5.67,1.25,5.75
67,USGS,02173000,2016-12-06,6.25,5.88,0.93,6.08
68,USGS,02173000,2016-12-07,6.51,6.25,0.00,6.40
69,USGS,02173000,2016-12-08,6.58,6.51,0.00,6.56
70,USGS,02173000,2016-12-09,6.58,6.47,0.00,6.53
71,USGS,02173000,2016-12-10,6.47,6.33,0.00,6.40
72,USGS,02173000,2016-12-11,6.33,6.24,0.00,6.28
73,USGS,02173000,2016-12-12,6.24,6.22,0.08,6.23
74,USGS,02173000,2016-12-13,6.31,6.22,0.86,6.27
75,USGS,02173000,2016-12-14,6.34,6.31,0.25,6.34
76,USGS,02173000,2016-12-15,6.34,6.28,0.00,6.31
77,USGS,02173000,2016-12-16,6.28,6.20,0.00,6.24
78,USGS,02173000,2016-12-17,6.20,6.13,0.00,6.17
79,USGS,02173000,2016-12-18,6.13,6.09,0.30,6.11
80,USGS,02173000,2016-12-19,6.34,6.11,0.95,6.25
81,USGS,02173000,2016-12-20,6.43,6.34,0.02,6.39
82,USGS,02173000,2016-12-21,6.45,6.43,0.00,6.44
83,USGS,02173000,2016-12-22,6.44,6.36,0.00,6.41
84,USGS,02173000,2016-12-23,6.36,6.26,0.00,6.31
85,USGS,02173000,2016-12-24,6.26,6.17,0.00,6.22
86,USGS,02173000,2016-12-25,6.17,6.11,0.00,6.14
87,USGS,02173000,2016-12-26,6.11,6.08,0.00,6.10
88,USGS,02173000,2016-12-27,6.08,6.03,0.00,6.05
89,USGS,02173000,2016-12-28,6.03,5.95,0.00,5.99
90,USGS,02173000,2016-12-29,5.95,5.92,0.24,5.93
91,USGS,02173000,2016-12-30,5.92,5.89,0.00,5.90
92,USGS,02173000,2016-12-31,5.89,5.87,0.00,5.88
93,USGS,02173000,2017-01-01,5.94,5.87,0.54,5.90
94,USGS,02173000,2017-01-02,6.23,5.94,1.09,6.08
95,USGS,02173000,2017-01-03,6.57,6.23,0.74,6.42
96,USGS,02173000,2017-01-04,6.78,6.57,0.00,6.68
97,USGS,02173000,2017-01-05,6.91,6.78,0.00,6.86
98,USGS,02173000,2017-01-06,7.14,6.91,0.48,7.00
99,USGS,02173000,2017-01-07,7.29,7.14,0.33,7.24
100,USGS,02173000,2017-01-08,7.29,7.22,0.00,7.27
101,USGS,02173000,2017-01-09,7.22,7.07,0.00,7.15
102,USGS,02173000,2017-01-10,7.07,6.90,0.00,6.98
103,USGS,02173000,2017-01-11,6.90,6.76,0.00,6.82
104,USGS,02173000,2017-01-12,6.76,6.70,0.00,6.73
105,USGS,02173000,2017-01-13,6.70,6.66,0.00,6.69
106,USGS,02173000,2017-01-14,6.66,6.52,0.00,6.59
107,USGS,02173000,2017-01-15,6.52,6.40,0.00,6.46
108,USGS,02173000,2017-01-16,6.40,6.30,0.00,6.35
109,USGS,02173000,2017-01-17,6.30,6.23,0.00,6.27
110,USGS,02173000,2017-01-18,6.23,6.19,0.00,6.21
111,USGS,02173000,2017-01-19,6.19,6.15,0.00,6.17
112,USGS,02173000,2017-01-20,6.15,6.12,0.00,6.13
113,USGS,02173000,2017-01-21,6.30,6.11,1.35,6.16
114,USGS,02173000,2017-01-22,6.81,6.30,1.87,6.54
115,USGS,02173000,2017-01-23,7.15,6.81,0.04,7.00
116,USGS,02173000,2017-01-24,7.18,7.15,0.00,7.17
117,USGS,02173000,2017-01-25,7.15,7.01,0.00,7.08
118,USGS,02173000,2017-01-26,7.01,6.93,0.12,6.96
119,USGS,02173000,2017-01-27,6.93,6.92,0.00,6.93
120,USGS,02173000,2017-01-28,6.93,6.87,0.00,6.91
121,USGS,02173000,2017-01-29,6.87,6.70,0.00,6.79
122,USGS,02173000,2017-01-30,6.70,6.54,0.00,6.62
123,USGS,02173000,2017-01-31,6.54,6.43,0.00,6.48
124,USGS,02173000,2017-02-01,6.43,6.34,0.00,6.38
125,USGS,02173000,2017-02-02,6.34,6.28,0.00,6.31
126,USGS,02173000,2017-02-03,6.28,6.22,0.02,6.25
127,USGS,02173000,2017-02-04,6.22,6.16,0.00,6.19
128,USGS,02173000,2017-02-05,6.16,6.12,0.00,6.14
