,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Max,Precipitation,Gage height_Min
0,USGS,02173500,2016-09-30,3.81,3.86,0.00,3.76
1,USGS,02173500,2016-10-01,3.72,3.76,0.00,3.66
2,USGS,02173500,2016-10-02,3.62,3.66,0.00,3.57
3,USGS,02173500,2016-10-03,3.53,3.57,0.00,3.49
4,USGS,02173500,2016-10-04,3.47,3.50,0.00,3.42
5,USGS,02173500,2016-10-05,3.42,3.43,0.00,3.41
6,USGS,02173500,2016-10-06,3.42,3.43,0.00,3.41
7,USGS,02173500,2016-10-07,3.65,4.83,2.21,3.42
8,USGS,02173500,2016-10-08,7.33,8.34,4.61,4.83
9,USGS,02173500,2016-10-09,8.64,8.92,0.00,8.34
10,USGS,02173500,2016-10-10,8.89,8.94,0.00,8.80
11,USGS,02173500,2016-10-11,8.53,8.80,0.00,8.20
12,USGS,02173500,2016-10-12,7.85,8.20,0.00,7.54
13,USGS,02173500,2016-10-13,7.26,7.54,0.00,7.00
14,USGS,02173500,2016-10-14,6.80,7.00,0.00,6.66
15,USGS,02173500,2016-10-15,6.57,6.66,0.00,6.50
16,USGS,02173500,2016-10-16,6.42,6.50,0.00,6.32
17,USGS,02173500,2016-10-17,6.17,6.32,0.00,6.02
18,USGS,02173500,2016-10-18,5.86,6.02,0.00,5.70
19,USGS,02173500,2016-10-19,5.57,5.70,0.00,5.44
20,USGS,02173500,2016-10-20,5.34,5.44,0.00,5.27
21,USGS,02173500,2016-10-21,5.20,5.27,0.00,5.12
22,USGS,02173500,2016-10-22,5.05,5.12,0.00,4.99
23,USGS,02173500,2016-10-23,4.93,4.99,0.00,4.87
24,USGS,02173500,2016-10-24,4.83,4.87,0.00,4.78
25,USGS,02173500,2016-10-25,4.76,4.78,0.00,4.73
26,USGS,02173500,2016-10-26,4.70,4.74,0.00,4.66
27,USGS,02173500,2016-10-27,4.64,4.67,0.00,4.61
28,USGS,02173500,2016-10-28,4.60,4.61,0.00,4.59
29,USGS,02173500,2016-10-29,4.58,4.59,0.00,4.56
30,USGS,02173500,2016-10-30,4.56,4.57,0.00,4.53
31,USGS,02173500,2016-10-31,4.50,4.53,0.00,4.49
32,USGS,02173500,2016-11-01,4.49,4.50,0.00,4.49
33,USGS,02173500,2016-11-02,4.50,4.51,0.00,4.48
34,USGS,02173500,2016-11-03,4.48,4.49,0.00,4.47
35,USGS,02173500,2016-11-04,4.46,4.48,0.00,4.45
36,USGS,02173500,2016-11-05,4.44,4.45,0.00,4.40
37,USGS,02173500,2016-11-06,4.44,4.44,0.00,4.42
38,USGS,02173500,2016-11-07,4.40,4.43,0.00,4.39
39,USGS,02173500,2016-11-08,4.38,4.39,0.00,4.38
40,USGS,02173500,2016-11-09,4.40,4.40,0.00,4.39
41,USGS,02173500,2016-11-10,4.39,4.40,0.00,4.38
42,USGS,02173500,2016-11-11,4.38,4.40,0.00,4.38
43,USGS,02173500,2016-11-12,4.38,4.38,0.00,4.37
44,USGS,02173500,2016-11-13,4.39,4.43,0.11,4.37
45,USGS,02173500,2016-11-14,4.49,4.56,0.03,4.43
46,USGS,02173500,2016-11-15,4.61,4.64,0.00,4.56
47,USGS,02173500,2016-11-16,4.66,4.69,,4.64
48,USGS,02173500,2016-11-17,4.72,4.77,0.00,4.69
49,USGS,02173500,2016-11-18,4.79,4.81,0.00,4.77
50,USGS,02173500,2016-11-19,4.80,4.81,0.00,4.78
51,USGS,02173500,2016-11-20,4.75,4.78,0.00,4.72
52,USGS,02173500,2016-11-21,4.69,4.72,0.00,4.67
53,USGS,02173500,2016-11-22,4.63,4.67,0.00,4.61
54,USGS,02173500,2016-11-23,4.58,4.61,0.00,4.53
55,USGS,02173500,2016-11-24,4.58,4.59,0.00,4.56
56,USGS,02173500,2016-11-25,4.57,4.58,0.00,4.56
57,USGS,02173500,2016-11-26,4.57,4.58,0.00,4.52
58,USGS,02173500,2016-11-27,4.58,4.59,0.00,4.56
59,USGS,02173500,2016-11-28,4.59,4.61,0.00,4.58
60,USGS,02173500,2016-11-29,4.59,4.60,0.01,4.57
61,USGS,02173500,2016-11-30,4.62,4.72,0.23,4.59
62,USGS,02173500,2016-12-01,4.77,4.79,0.01,4.72
63,USGS,02173500,2016-12-02,4.85,4.86,0.00,4.79
64,USGS,02173500,2016-12-03,4.88,4.89,0.00,4.86
65,USGS,02173500,2016-12-04,4.90,5.02,0.35,4.87
66,USGS,02173500,2016-12-05,5.27,5.68,1.12,5.02
67,USGS,02173500,2016-12-06,6.20,6.48,0.95,5.68
68,USGS,02173500,2016-12-07,6.66,6.81,0.00,6.48
69,USGS,02173500,2016-12-08,6.88,6.90,0.00,6.81
70,USGS,02173500,2016-12-09,6.78,6.87,0.00,6.64
71,USGS,02173500,2016-12-10,6.49,6.64,0.00,6.35
72,USGS,02173500,2016-12-11,6.23,6.35,0.00,6.14
73,USGS,02173500,2016-12-12,6.08,6.14,0.09,6.04
74,USGS,02173500,2016-12-13,6.19,6.33,0.80,6.02
75,USGS,02173500,2016-12-14,6.44,6.53,0.14,6.33
76,USGS,02173500,2016-12-15,6.55,6.56,0.00,6.53
77,USGS,02173500,2016-12-16,6.46,6.53,0.00,6.38
78,USGS,02173500,2016-12-17,6.30,6.38,0.00,6.22
79,USGS,02173500,2016-12-18,6.16,6.22,0.35,6.12
80,USGS,02173500,2016-12-19,6.44,6.59,0.75,6.16
