,agency_cd,site_no,datetime,Gage height_Mean
0,USGS,02177000,2016-09-30,1.03
1,USGS,02177000,2016-10-01,1.02
2,USGS,02177000,2016-10-02,1.01
3,USGS,02177000,2016-10-03,1.01
4,USGS,02177000,2016-10-04,1.01
5,USGS,02177000,2016-10-05,1.01
6,USGS,02177000,2016-10-06,1.00
7,USGS,02177000,2016-10-07,1.01
8,USGS,02177000,2016-10-08,1.13
9,USGS,02177000,2016-10-09,1.04
10,USGS,02177000,2016-10-10,0.99
11,USGS,02177000,2016-10-11,0.98
12,USGS,02177000,2016-10-12,0.97
13,USGS,02177000,2016-10-13,0.97
14,USGS,02177000,2016-10-14,0.97
15,USGS,02177000,2016-10-15,0.97
16,USGS,02177000,2016-10-16,0.97
17,USGS,02177000,2016-10-17,0.97
18,USGS,02177000,2016-10-18,0.97
19,USGS,02177000,2016-10-19,0.97
20,USGS,02177000,2016-10-20,0.96
21,USGS,02177000,2016-10-21,0.95
22,USGS,02177000,2016-10-22,0.94
23,USGS,02177000,2016-10-23,0.93
24,USGS,02177000,2016-10-24,0.95
25,USGS,02177000,2016-10-25,0.96
26,USGS,02177000,2016-10-26,0.94
27,USGS,02177000,2016-10-27,0.92
28,USGS,02177000,2016-10-28,0.92
29,USGS,02177000,2016-10-29,0.93
30,USGS,02177000,2016-10-30,0.92
31,USGS,02177000,2016-10-31,0.91
32,USGS,02177000,2016-11-01,0.91
33,USGS,02177000,2016-11-02,0.91
34,USGS,02177000,2016-11-03,0.91
35,USGS,02177000,2016-11-04,0.91
36,USGS,02177000,2016-11-05,0.90
37,USGS,02177000,2016-11-06,0.90
38,USGS,02177000,2016-11-07,0.90
39,USGS,02177000,2016-11-08,0.90
40,USGS,02177000,2016-11-09,0.90
41,USGS,02177000,2016-11-10,0.90
42,USGS,02177000,2016-11-11,0.90
43,USGS,02177000,2016-11-12,0.90
44,USGS,02177000,2016-11-13,0.90
45,USGS,02177000,2016-11-14,0.90
46,USGS,02177000,2016-11-15,0.90
47,USGS,02177000,2016-11-16,0.90
48,USGS,02177000,2016-11-17,0.90
49,USGS,02177000,2016-11-18,0.90
50,USGS,02177000,2016-11-19,0.90
51,USGS,02177000,2016-11-20,0.89
52,USGS,02177000,2016-11-21,0.89
53,USGS,02177000,2016-11-22,0.89
54,USGS,02177000,2016-11-23,0.89
55,USGS,02177000,2016-11-24,0.90
56,USGS,02177000,2016-11-25,0.91
57,USGS,02177000,2016-11-26,0.90
58,USGS,02177000,2016-11-27,0.90
59,USGS,02177000,2016-11-28,0.89
60,USGS,02177000,2016-11-29,1.37
61,USGS,02177000,2016-11-30,1.54
62,USGS,02177000,2016-12-01,1.67
63,USGS,02177000,2016-12-02,1.25
64,USGS,02177000,2016-12-03,1.10
65,USGS,02177000,2016-12-04,1.14
66,USGS,02177000,2016-12-05,1.46
67,USGS,02177000,2016-12-06,1.47
68,USGS,02177000,2016-12-07,1.63
69,USGS,02177000,2016-12-08,
70,USGS,02177000,2016-12-09,1.21
71,USGS,02177000,2016-12-10,1.15
72,USGS,02177000,2016-12-11,1.11
73,USGS,02177000,2016-12-12,1.09
74,USGS,02177000,2016-12-13,1.08
75,USGS,02177000,2016-12-14,1.07
76,USGS,02177000,2016-12-15,1.05
77,USGS,02177000,2016-12-16,1.02
78,USGS,02177000,2016-12-17,1.02
79,USGS,02177000,2016-12-18,1.12
80,USGS,02177000,2016-12-19,1.30
81,USGS,02177000,2016-12-20,1.18
82,USGS,02177000,2016-12-21,1.12
83,USGS,02177000,2016-12-22,1.09
84,USGS,02177000,2016-12-23,1.07
85,USGS,02177000,2016-12-24,1.05
86,USGS,02177000,2016-12-25,1.05
87,USGS,02177000,2016-12-26,1.04
88,USGS,02177000,2016-12-27,1.06
89,USGS,02177000,2016-12-28,1.06
90,USGS,02177000,2016-12-29,1.19
91,USGS,02177000,2016-12-30,1.24
92,USGS,02177000,2016-12-31,1.12
93,USGS,02177000,2017-01-01,1.16
94,USGS,02177000,2017-01-02,1.47
95,USGS,02177000,2017-01-03,1.95
96,USGS,02177000,2017-01-04,1.70
97,USGS,02177000,2017-01-05,1.47
98,USGS,02177000,2017-01-06,1.37
99,USGS,02177000,2017-01-07,1.35
100,USGS,02177000,2017-01-08,1.28
101,USGS,02177000,2017-01-09,1.22
102,USGS,02177000,2017-01-10,1.20
103,USGS,02177000,2017-01-11,1.22
104,USGS,02177000,2017-01-12,1.30
105,USGS,02177000,2017-01-13,1.28
106,USGS,02177000,2017-01-14,1.24
107,USGS,02177000,2017-01-15,1.21
108,USGS,02177000,2017-01-16,1.19
109,USGS,02177000,2017-01-17,1.18
110,USGS,02177000,2017-01-18,1.17
111,USGS,02177000,2017-01-19,1.15
112,USGS,02177000,2017-01-20,1.22
113,USGS,02177000,2017-01-21,1.32
114,USGS,02177000,2017-01-22,1.54
115,USGS,02177000,2017-01-23,2.39
116,USGS,02177000,2017-01-24,1.91
117,USGS,02177000,2017-01-25,1.69
118,USGS,02177000,2017-01-26,1.58
119,USGS,02177000,2017-01-27,1.50
120,USGS,02177000,2017-01-28,1.45
121,USGS,02177000,2017-01-29,1.41
122,USGS,02177000,2017-01-30,1.39
123,USGS,02177000,2017-01-31,1.35
124,USGS,02177000,2017-02-01,1.33
125,USGS,02177000,2017-02-02,1.32
126,USGS,02177000,2017-02-03,1.31
127,USGS,02177000,2017-02-04,1.28
128,USGS,02177000,2017-02-05,1.26
129,USGS,02177000,2017-02-06,1.26
130,USGS,02177000,2017-02-07,1.26
131,USGS,02177000,2017-02-08,1.27
132,USGS,02177000,2017-02-09,1.31
133,USGS,02177000,2017-02-10,1.31
134,USGS,02177000,2017-02-11,1.26
135,USGS,02177000,2017-02-12,1.26
136,USGS,02177000,2017-02-13,1.25
137,USGS,02177000,2017-02-14,1.22
138,USGS,02177000,2017-02-15,1.24
139,USGS,02177000,2017-02-16,1.27
140,USGS,02177000,2017-02-17,1.21
141,USGS,02177000,2017-02-18,1.20
142,USGS,02177000,2017-02-19,1.20
143,USGS,02177000,2017-02-20,1.19
144,USGS,02177000,2017-02-21,1.18
145,USGS,02177000,2017-02-22,1.19
146,USGS,02177000,2017-02-23,1.25
147,USGS,02177000,2017-02-24,1.22
148,USGS,02177000,2017-02-25,1.19
149,USGS,02177000,2017-02-26,1.16
150,USGS,02177000,2017-02-27,1.15
151,USGS,02177000,2017-02-28,1.16
152,USGS,02177000,2017-03-01,1.42
153,USGS,02177000,2017-03-02,1.48
154,USGS,02177000,2017-03-03,1.37
155,USGS,02177000,2017-03-04,1.29
156,USGS,02177000,2017-03-05,1.26
157,USGS,02177000,2017-03-06,1.24
158,USGS,02177000,2017-03-07,1.24
159,USGS,02177000,2017-03-08,1.31
160,USGS,02177000,2017-03-09,1.27
161,USGS,02177000,2017-03-10,1.27
162,USGS,02177000,2017-03-11,1.31
163,USGS,02177000,2017-03-12,1.33
164,USGS,02177000,2017-03-13,1.37
165,USGS,02177000,2017-03-14,1.37
