,agency_cd,site_no,datetime,Gage height_Max,Gage height_Mean,Gage height_Min,Precipitation
0,USGS,02186000,2016-09-30,1.61,1.59,1.57,0.00
1,USGS,02186000,2016-10-01,1.61,1.58,1.55,0.00
2,USGS,02186000,2016-10-02,1.59,1.58,1.56,0.00
3,USGS,02186000,2016-10-03,1.60,1.58,1.57,0.00
4,USGS,02186000,2016-10-04,1.60,1.59,1.57,0.00
5,USGS,02186000,2016-10-05,1.59,1.57,1.53,0.00
6,USGS,02186000,2016-10-06,1.59,1.56,1.54,0.00
7,USGS,02186000,2016-10-07,1.64,1.58,1.51,0.27
8,USGS,02186000,2016-10-08,1.79,1.74,1.64,0.00
9,USGS,02186000,2016-10-09,1.72,1.66,1.63,0.00
10,USGS,02186000,2016-10-10,1.64,1.61,1.58,0.00
11,USGS,02186000,2016-10-11,1.63,1.61,1.58,0.00
12,USGS,02186000,2016-10-12,1.63,1.62,1.59,0.00
13,USGS,02186000,2016-10-13,1.64,1.62,1.61,0.00
14,USGS,02186000,2016-10-14,1.63,1.61,1.59,0.00
15,USGS,02186000,2016-10-15,1.63,1.61,1.59,0.00
16,USGS,02186000,2016-10-16,1.63,1.61,1.60,0.00
17,USGS,02186000,2016-10-17,1.64,1.62,1.61,0.00
18,USGS,02186000,2016-10-18,1.64,1.62,1.60,0.00
19,USGS,02186000,2016-10-19,1.62,1.61,1.59,0.00
20,USGS,02186000,2016-10-20,1.63,1.61,1.59,0.00
21,USGS,02186000,2016-10-21,1.63,1.61,1.59,0.00
22,USGS,02186000,2016-10-22,1.65,1.61,1.58,0.00
23,USGS,02186000,2016-10-23,1.63,1.62,1.60,0.00
24,USGS,02186000,2016-10-24,1.63,1.62,1.60,0.00
25,USGS,02186000,2016-10-25,1.63,1.61,1.59,0.00
26,USGS,02186000,2016-10-26,1.64,1.62,1.60,0.00
27,USGS,02186000,2016-10-27,1.64,1.63,1.61,0.00
28,USGS,02186000,2016-10-28,1.67,1.64,1.62,0.00
29,USGS,02186000,2016-10-29,1.67,1.65,1.63,0.00
30,USGS,02186000,2016-10-30,1.66,1.64,1.62,0.00
31,USGS,02186000,2016-10-31,1.66,1.64,1.61,0.00
32,USGS,02186000,2016-11-01,1.65,1.63,1.61,0.00
33,USGS,02186000,2016-11-02,1.65,1.64,1.62,0.00
34,USGS,02186000,2016-11-03,1.66,1.65,1.63,0.00
35,USGS,02186000,2016-11-04,1.70,1.66,1.64,0.00
36,USGS,02186000,2016-11-05,1.72,1.67,1.63,0.00
37,USGS,02186000,2016-11-06,1.67,1.65,1.63,0.00
38,USGS,02186000,2016-11-07,1.68,1.66,1.64,0.00
39,USGS,02186000,2016-11-08,1.69,1.67,1.61,0.00
40,USGS,02186000,2016-11-09,1.69,1.68,1.67,0.00
41,USGS,02186000,2016-11-10,1.69,1.68,1.66,0.00
42,USGS,02186000,2016-11-11,1.70,1.69,1.67,0.00
43,USGS,02186000,2016-11-12,1.72,1.70,1.68,0.00
44,USGS,02186000,2016-11-13,1.73,1.71,1.69,0.07
45,USGS,02186000,2016-11-14,1.73,1.72,1.70,0.00
46,USGS,02186000,2016-11-15,1.74,1.72,1.70,0.00
47,USGS,02186000,2016-11-16,1.74,1.72,1.70,0.00
48,USGS,02186000,2016-11-17,1.74,1.72,1.70,0.00
49,USGS,02186000,2016-11-18,1.73,1.73,1.71,0.00
50,USGS,02186000,2016-11-19,1.73,1.72,1.70,0.00
51,USGS,02186000,2016-11-20,1.75,1.72,1.69,0.00
52,USGS,02186000,2016-11-21,1.75,1.73,1.71,0.01
53,USGS,02186000,2016-11-22,1.75,1.73,1.71,0.00
54,USGS,02186000,2016-11-23,1.75,1.74,1.72,0.00
55,USGS,02186000,2016-11-24,1.74,1.73,1.72,0.00
56,USGS,02186000,2016-11-25,1.75,1.74,1.72,0.00
57,USGS,02186000,2016-11-26,1.77,1.75,1.73,0.00
58,USGS,02186000,2016-11-27,1.76,1.75,1.73,0.00
59,USGS,02186000,2016-11-28,1.76,1.76,1.74,0.00
60,USGS,02186000,2016-11-29,2.75,2.23,1.69,2.05
61,USGS,02186000,2016-11-30,2.63,2.29,2.04,1.03
62,USGS,02186000,2016-12-01,2.47,2.28,2.06,0.01
63,USGS,02186000,2016-12-02,2.06,1.95,1.89,0.00
64,USGS,02186000,2016-12-03,1.89,1.86,1.83,0.01
65,USGS,02186000,2016-12-04,2.09,1.92,1.83,0.94
66,USGS,02186000,2016-12-05,2.18,2.13,2.07,0.21
67,USGS,02186000,2016-12-06,2.25,2.13,2.02,0.67
68,USGS,02186000,2016-12-07,2.25,2.16,2.05,0.01
69,USGS,02186000,2016-12-08,2.05,1.99,1.94,0.00
70,USGS,02186000,2016-12-09,1.94,1.91,1.89,0.00
71,USGS,02186000,2016-12-10,1.90,1.88,1.86,0.00
72,USGS,02186000,2016-12-11,1.88,1.87,1.85,0.00
73,USGS,02186000,2016-12-12,1.86,1.84,1.83,0.00
74,USGS,02186000,2016-12-13,1.85,1.84,1.83,0.01
75,USGS,02186000,2016-12-14,1.84,1.84,1.83,0.01
76,USGS,02186000,2016-12-15,1.84,1.83,1.80,0.00
77,USGS,02186000,2016-12-16,1.83,1.81,1.80,0.00
78,USGS,02186000,2016-12-17,1.82,1.81,1.78,0.12
79,USGS,02186000,2016-12-18,1.84,1.82,1.80,0.04
80,USGS,02186000,2016-12-19,1.84,1.84,1.82,0.00
81,USGS,02186000,2016-12-20,1.82,1.81,1.79,0.00
82,USGS,02186000,2016-12-21,1.82,1.81,1.79,0.00
83,USGS,02186000,2016-12-22,1.81,1.80,1.78,0.00
84,USGS,02186000,2016-12-23,1.81,1.80,1.78,0.00
85,USGS,02186000,2016-12-24,1.80,1.79,1.78,0.00
86,USGS,02186000,2016-12-25,1.80,1.79,1.75,0.00
87,USGS,02186000,2016-12-26,1.80,1.79,1.77,0.07
88,USGS,02186000,2016-12-27,1.82,1.81,1.80,0.02
89,USGS,02186000,2016-12-28,1.86,1.81,1.80,0.00
90,USGS,02186000,2016-12-29,2.33,2.09,1.72,0.86
91,USGS,02186000,2016-12-30,2.23,2.06,1.97,0.00
92,USGS,02186000,2016-12-31,1.97,1.92,1.89,0.01
93,USGS,02186000,2017-01-01,2.01,1.95,1.88,0.45
94,USGS,02186000,2017-01-02,2.52,2.25,1.97,0.99
95,USGS,02186000,2017-01-03,2.87,2.73,2.47,0.34
96,USGS,02186000,2017-01-04,2.64,2.40,2.24,0.00
97,USGS,02186000,2017-01-05,2.24,2.15,2.09,0.00
98,USGS,02186000,2017-01-06,2.09,2.06,2.04,0.12
99,USGS,02186000,2017-01-07,2.14,2.11,2.05,0.01
100,USGS,02186000,2017-01-08,2.14,2.07,2.03,0.00
101,USGS,02186000,2017-01-09,2.03,2.00,1.98,0.00
102,USGS,02186000,2017-01-10,1.99,1.98,1.96,
103,USGS,02186000,2017-01-11,2.00,1.98,1.96,
104,USGS,02186000,2017-01-12,2.00,1.98,1.97,0.00
105,USGS,02186000,2017-01-13,1.97,1.95,1.94,0.00
106,USGS,02186000,2017-01-14,1.95,1.93,1.93,0.00
