,agency_cd,site_no,datetime,Precipitation
0,USGS,02187010,2016-09-30,0.00
1,USGS,02187010,2016-10-01,0.00
2,USGS,02187010,2016-10-02,0.00
3,USGS,02187010,2016-10-03,0.00
4,USGS,02187010,2016-10-04,0.00
5,USGS,02187010,2016-10-05,0.00
6,USGS,02187010,2016-10-06,0.00
7,USGS,02187010,2016-10-07,0.20
8,USGS,02187010,2016-10-08,0.00
9,USGS,02187010,2016-10-09,0.00
10,USGS,02187010,2016-10-10,0.00
11,USGS,02187010,2016-10-11,0.00
12,USGS,02187010,2016-10-12,0.00
13,USGS,02187010,2016-10-13,0.00
14,USGS,02187010,2016-10-14,0.00
15,USGS,02187010,2016-10-15,0.00
16,USGS,02187010,2016-10-16,0.00
17,USGS,02187010,2016-10-17,0.00
18,USGS,02187010,2016-10-18,0.00
19,USGS,02187010,2016-10-19,0.00
20,USGS,02187010,2016-10-20,0.00
21,USGS,02187010,2016-10-21,0.00
22,USGS,02187010,2016-10-22,0.00
23,USGS,02187010,2016-10-23,0.00
24,USGS,02187010,2016-10-24,0.00
25,USGS,02187010,2016-10-25,0.00
26,USGS,02187010,2016-10-26,0.00
27,USGS,02187010,2016-10-27,0.00
28,USGS,02187010,2016-10-28,0.00
29,USGS,02187010,2016-10-29,0.00
30,USGS,02187010,2016-10-30,0.00
31,USGS,02187010,2016-10-31,0.00
32,USGS,02187010,2016-11-01,0.00
33,USGS,02187010,2016-11-02,0.00
34,USGS,02187010,2016-11-03,0.00
35,USGS,02187010,2016-11-04,0.00
36,USGS,02187010,2016-11-05,0.00
37,USGS,02187010,2016-11-06,0.00
38,USGS,02187010,2016-11-07,0.00
39,USGS,02187010,2016-11-08,0.00
40,USGS,02187010,2016-11-09,0.00
41,USGS,02187010,2016-11-10,0.00
42,USGS,02187010,2016-11-11,0.00
43,USGS,02187010,2016-11-12,0.00
44,USGS,02187010,2016-11-13,0.19
45,USGS,02187010,2016-11-14,0.00
46,USGS,02187010,2016-11-15,0.00
47,USGS,02187010,2016-11-16,0.00
48,USGS,02187010,2016-11-17,0.00
49,USGS,02187010,2016-11-18,0.00
50,USGS,02187010,2016-11-19,0.00
51,USGS,02187010,2016-11-20,0.00
52,USGS,02187010,2016-11-21,0.00
53,USGS,02187010,2016-11-22,0.00
54,USGS,02187010,2016-11-23,0.00
55,USGS,02187010,2016-11-24,0.00
56,USGS,02187010,2016-11-25,0.00
57,USGS,02187010,2016-11-26,0.00
58,USGS,02187010,2016-11-27,0.00
59,USGS,02187010,2016-11-28,0.00
60,USGS,02187010,2016-11-29,0.92
61,USGS,02187010,2016-11-30,0.81
62,USGS,02187010,2016-12-01,0.00
63,USGS,02187010,2016-12-02,0.00
64,USGS,02187010,2016-12-03,0.05
65,USGS,02187010,2016-12-04,0.82
66,USGS,02187010,2016-12-05,0.39
67,USGS,02187010,2016-12-06,0.38
68,USGS,02187010,2016-12-07,0.00
69,USGS,02187010,2016-12-08,0.00
70,USGS,02187010,2016-12-09,0.00
71,USGS,02187010,2016-12-10,0.00
72,USGS,02187010,2016-12-11,0.00
73,USGS,02187010,2016-12-12,0.00
74,USGS,02187010,2016-12-13,0.03
75,USGS,02187010,2016-12-14,0.00
76,USGS,02187010,2016-12-15,0.00
