,agency_cd,site_no,datetime,Temperature_Mean,Precipitation,Temperature_Max,Temperature_Min
0,USGS,02188100,2016-09-30,26.7,0.00,27.3,26.3
1,USGS,02188100,2016-10-01,26.2,0.00,27.0,25.7
2,USGS,02188100,2016-10-02,25.9,0.00,26.7,25.4
3,USGS,02188100,2016-10-03,26.0,0.00,27.1,25.3
4,USGS,02188100,2016-10-04,25.3,0.00,26.0,24.4
5,USGS,02188100,2016-10-05,24.1,0.00,24.8,23.7
6,USGS,02188100,2016-10-06,23.8,0.00,24.5,23.4
7,USGS,02188100,2016-10-07,23.2,0.15,23.4,23.1
8,USGS,02188100,2016-10-08,23.1,0.01,23.5,22.9
9,USGS,02188100,2016-10-09,23.0,0.00,23.6,22.7
10,USGS,02188100,2016-10-10,22.8,0.00,23.5,22.4
11,USGS,02188100,2016-10-11,22.7,0.00,23.3,22.2
12,USGS,02188100,2016-10-12,22.6,0.00,23.5,22.0
13,USGS,02188100,2016-10-13,23.1,0.00,24.3,22.3
14,USGS,02188100,2016-10-14,23.1,0.00,23.6,22.6
15,USGS,02188100,2016-10-15,22.6,0.00,22.9,22.2
16,USGS,02188100,2016-10-16,22.8,0.00,23.9,22.2
17,USGS,02188100,2016-10-17,23.2,0.00,23.9,22.6
18,USGS,02188100,2016-10-18,23.4,0.00,24.1,22.8
19,USGS,02188100,2016-10-19,23.8,0.00,24.8,23.0
20,USGS,02188100,2016-10-20,24.0,0.00,24.6,23.4
21,USGS,02188100,2016-10-21,23.5,0.00,24.1,22.8
22,USGS,02188100,2016-10-22,22.4,0.00,22.8,21.9
23,USGS,02188100,2016-10-23,22.1,0.00,22.8,21.6
24,USGS,02188100,2016-10-24,22.0,0.00,22.8,21.5
25,USGS,02188100,2016-10-25,21.9,0.00,22.5,21.4
26,USGS,02188100,2016-10-26,21.6,0.00,22.4,21.1
27,USGS,02188100,2016-10-27,21.6,0.00,22.1,21.1
28,USGS,02188100,2016-10-28,21.9,0.00,22.8,21.4
29,USGS,02188100,2016-10-29,22.0,0.00,23.1,21.2
30,USGS,02188100,2016-10-30,21.9,0.00,22.6,21.2
31,USGS,02188100,2016-10-31,22.2,0.00,23.3,21.6
32,USGS,02188100,2016-11-01,22.3,0.00,23.1,21.7
33,USGS,02188100,2016-11-02,22.1,0.00,23.0,21.4
34,USGS,02188100,2016-11-03,22.0,0.00,22.8,21.5
35,USGS,02188100,2016-11-04,21.8,0.00,22.2,21.3
36,USGS,02188100,2016-11-05,21.0,0.00,21.6,20.8
37,USGS,02188100,2016-11-06,20.9,0.00,21.4,20.4
38,USGS,02188100,2016-11-07,20.6,0.00,21.1,20.3
39,USGS,02188100,2016-11-08,20.2,0.00,20.6,20.0
40,USGS,02188100,2016-11-09,20.0,0.00,20.5,19.7
