,agency_cd,site_no,datetime,Gage height_Max,Precipitation,Gage height_Mean,Gage height_Min
0,USGS,02192500,2016-09-30,2.64,0.00,2.62,2.59
1,USGS,02192500,2016-10-01,2.59,0.00,2.57,2.55
2,USGS,02192500,2016-10-02,2.55,0.00,2.54,2.53
3,USGS,02192500,2016-10-03,2.53,0.00,2.53,2.52
4,USGS,02192500,2016-10-04,2.52,0.00,2.52,2.51
5,USGS,02192500,2016-10-05,2.51,0.00,2.51,2.50
6,USGS,02192500,2016-10-06,2.50,0.00,2.50,2.49
7,USGS,02192500,2016-10-07,2.52,0.39,2.50,2.49
8,USGS,02192500,2016-10-08,2.51,0.17,2.51,2.50
9,USGS,02192500,2016-10-09,2.55,0.00,2.54,2.51
10,USGS,02192500,2016-10-10,2.57,0.00,2.56,2.55
11,USGS,02192500,2016-10-11,2.56,0.00,2.54,2.52
12,USGS,02192500,2016-10-12,2.52,0.00,2.51,2.50
13,USGS,02192500,2016-10-13,2.50,0.00,2.50,2.49
14,USGS,02192500,2016-10-14,2.51,0.00,2.51,2.50
15,USGS,02192500,2016-10-15,2.51,0.00,2.51,2.51
16,USGS,02192500,2016-10-16,2.51,0.00,2.51,2.50
17,USGS,02192500,2016-10-17,2.52,0.00,2.51,2.50
18,USGS,02192500,2016-10-18,2.53,0.00,2.52,2.51
19,USGS,02192500,2016-10-19,2.52,0.00,2.51,2.51
20,USGS,02192500,2016-10-20,2.51,0.00,2.50,2.50
21,USGS,02192500,2016-10-21,2.50,0.00,2.49,2.48
22,USGS,02192500,2016-10-22,2.48,0.00,2.48,2.48
23,USGS,02192500,2016-10-23,2.48,0.00,2.47,2.46
24,USGS,02192500,2016-10-24,2.46,0.00,2.45,2.45
25,USGS,02192500,2016-10-25,2.45,0.00,2.45,2.44
26,USGS,02192500,2016-10-26,2.47,0.00,2.46,2.44
27,USGS,02192500,2016-10-27,2.49,0.00,2.48,2.47
28,USGS,02192500,2016-10-28,2.50,0.00,2.49,2.48
29,USGS,02192500,2016-10-29,2.50,0.00,2.49,2.47
30,USGS,02192500,2016-10-30,2.51,0.00,2.50,2.50
31,USGS,02192500,2016-10-31,2.51,0.00,2.51,2.50
32,USGS,02192500,2016-11-01,2.51,0.00,2.50,2.49
33,USGS,02192500,2016-11-02,2.51,0.00,2.50,2.50
34,USGS,02192500,2016-11-03,2.52,0.00,2.51,2.50
35,USGS,02192500,2016-11-04,2.52,0.00,2.51,2.50
36,USGS,02192500,2016-11-05,2.53,0.00,2.52,2.51
37,USGS,02192500,2016-11-06,2.54,0.00,2.54,2.53
38,USGS,02192500,2016-11-07,2.55,0.00,2.54,2.54
39,USGS,02192500,2016-11-08,2.57,0.00,2.55,2.54
40,USGS,02192500,2016-11-09,2.59,0.00,2.58,2.57
41,USGS,02192500,2016-11-10,2.60,0.00,2.58,2.58
42,USGS,02192500,2016-11-11,2.60,0.00,2.59,2.58
43,USGS,02192500,2016-11-12,2.62,0.00,2.61,2.60
44,USGS,02192500,2016-11-13,2.67,0.70,2.64,2.62
45,USGS,02192500,2016-11-14,2.67,0.00,2.65,2.64
46,USGS,02192500,2016-11-15,2.71,,2.69,2.67
47,USGS,02192500,2016-11-16,2.72,0.00,2.71,2.70
48,USGS,02192500,2016-11-17,2.70,0.00,2.70,2.69
49,USGS,02192500,2016-11-18,2.69,0.00,2.68,2.68
50,USGS,02192500,2016-11-19,2.69,0.00,2.68,2.67
51,USGS,02192500,2016-11-20,2.69,0.00,2.68,2.67
52,USGS,02192500,2016-11-21,2.68,0.00,2.67,2.67
53,USGS,02192500,2016-11-22,2.68,0.00,2.68,2.67
54,USGS,02192500,2016-11-23,2.70,0.00,2.69,2.68
55,USGS,02192500,2016-11-24,2.71,0.00,2.70,2.69
56,USGS,02192500,2016-11-25,2.72,0.00,2.71,2.70
57,USGS,02192500,2016-11-26,2.72,0.00,2.72,2.71
58,USGS,02192500,2016-11-27,2.73,0.00,2.72,2.71
59,USGS,02192500,2016-11-28,2.73,0.00,2.72,2.71
60,USGS,02192500,2016-11-29,2.78,0.94,2.75,2.71
61,USGS,02192500,2016-11-30,2.99,0.91,2.84,2.77
62,USGS,02192500,2016-12-01,2.98,0.00,2.96,2.93
63,USGS,02192500,2016-12-02,2.96,0.00,2.92,2.90
64,USGS,02192500,2016-12-03,2.91,0.02,2.84,2.79
65,USGS,02192500,2016-12-04,2.80,0.59,2.78,2.78
