,agency_cd,site_no,datetime,Temperature_Mean,Temperature_Max,Precipitation,Temperature_Min
0,USGS,02193900,2016-09-30,27.3,28.6,0.00,26.5
1,USGS,02193900,2016-10-01,,,0.00,
2,USGS,02193900,2016-10-02,,,0.00,
3,USGS,02193900,2016-10-03,,,0.00,
4,USGS,02193900,2016-10-04,,,0.00,
5,USGS,02193900,2016-10-05,,,0.00,
6,USGS,02193900,2016-10-06,,,0.00,
7,USGS,02193900,2016-10-07,,,0.36,
8,USGS,02193900,2016-10-08,,,0.41,
9,USGS,02193900,2016-10-09,,,0.00,
10,USGS,02193900,2016-10-10,,,0.00,
11,USGS,02193900,2016-10-11,,,0.00,
12,USGS,02193900,2016-10-12,,,0.00,
13,USGS,02193900,2016-10-13,,,0.00,
14,USGS,02193900,2016-10-14,,,0.00,
15,USGS,02193900,2016-10-15,,,0.00,
16,USGS,02193900,2016-10-16,,,0.00,
17,USGS,02193900,2016-10-17,,,0.00,
18,USGS,02193900,2016-10-18,,,0.00,
19,USGS,02193900,2016-10-19,,,0.00,
20,USGS,02193900,2016-10-20,,,0.00,
21,USGS,02193900,2016-10-21,,,0.00,
22,USGS,02193900,2016-10-22,,,0.00,
23,USGS,02193900,2016-10-23,,,0.00,
24,USGS,02193900,2016-10-24,,,0.00,
25,USGS,02193900,2016-10-25,,,0.00,
26,USGS,02193900,2016-10-26,22.5,23.9,0.00,21.7
27,USGS,02193900,2016-10-27,22.4,23.4,0.00,21.7
28,USGS,02193900,2016-10-28,22.7,24.2,0.00,22.0
29,USGS,02193900,2016-10-29,22.7,24.2,0.00,21.8
30,USGS,02193900,2016-10-30,22.9,24.3,0.00,22.2
31,USGS,02193900,2016-10-31,22.9,24.7,0.00,22.0
32,USGS,02193900,2016-11-01,22.7,23.9,0.00,22.2
33,USGS,02193900,2016-11-02,22.7,24.1,0.00,22.1
34,USGS,02193900,2016-11-03,22.5,23.3,0.00,21.8
35,USGS,02193900,2016-11-04,22.1,22.6,0.00,21.7
36,USGS,02193900,2016-11-05,21.8,22.6,0.00,21.3
37,USGS,02193900,2016-11-06,21.6,23.1,0.00,21.0
38,USGS,02193900,2016-11-07,21.4,22.4,0.00,20.9
39,USGS,02193900,2016-11-08,20.9,21.6,0.00,20.6
40,USGS,02193900,2016-11-09,20.6,21.2,0.00,20.3
41,USGS,02193900,2016-11-10,20.5,21.6,0.00,20.0
