,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Min,Gage height_Max,Precipitation
0,USGS,02196999,2016-09-30,114.87,114.20,116.12,0.00
1,USGS,02196999,2016-10-01,114.76,114.56,115.03,0.00
2,USGS,02196999,2016-10-02,114.58,114.37,114.81,0.00
3,USGS,02196999,2016-10-03,114.70,114.47,114.89,0.00
4,USGS,02196999,2016-10-04,114.71,114.42,114.91,0.00
5,USGS,02196999,2016-10-05,114.72,114.49,115.04,0.00
6,USGS,02196999,2016-10-06,114.23,113.83,114.90,0.00
7,USGS,02196999,2016-10-07,114.62,114.23,114.75,0.58
8,USGS,02196999,2016-10-08,114.54,114.32,114.81,1.73
9,USGS,02196999,2016-10-09,114.49,114.34,114.76,0.00
10,USGS,02196999,2016-10-10,114.73,114.58,114.83,0.00
11,USGS,02196999,2016-10-11,114.82,114.60,115.03,0.00
12,USGS,02196999,2016-10-12,114.92,114.77,115.11,0.00
13,USGS,02196999,2016-10-13,114.82,114.63,115.06,0.00
14,USGS,02196999,2016-10-14,114.89,114.56,115.17,0.00
15,USGS,02196999,2016-10-15,114.79,114.73,114.87,0.00
16,USGS,02196999,2016-10-16,114.74,114.66,114.81,0.00
17,USGS,02196999,2016-10-17,114.63,114.42,114.79,0.00
18,USGS,02196999,2016-10-18,114.60,114.36,114.87,0.00
19,USGS,02196999,2016-10-19,114.86,114.74,114.92,0.00
20,USGS,02196999,2016-10-20,114.87,114.76,115.00,0.00
21,USGS,02196999,2016-10-21,114.83,114.65,115.00,0.00
22,USGS,02196999,2016-10-22,114.74,114.51,114.89,0.00
23,USGS,02196999,2016-10-23,114.58,114.36,114.75,0.00
24,USGS,02196999,2016-10-24,114.74,114.46,114.87,0.00
25,USGS,02196999,2016-10-25,115.01,114.62,115.19,0.00
26,USGS,02196999,2016-10-26,114.72,114.43,115.11,0.00
27,USGS,02196999,2016-10-27,114.62,114.39,114.82,0.00
28,USGS,02196999,2016-10-28,114.66,114.50,114.89,0.00
29,USGS,02196999,2016-10-29,114.65,114.43,115.02,0.00
30,USGS,02196999,2016-10-30,114.73,114.65,115.03,0.00
31,USGS,02196999,2016-10-31,114.57,114.38,114.95,0.00
32,USGS,02196999,2016-11-01,114.73,114.54,114.96,0.00
33,USGS,02196999,2016-11-02,114.52,114.32,114.84,0.00
34,USGS,02196999,2016-11-03,114.36,113.94,114.76,0.00
35,USGS,02196999,2016-11-04,114.57,114.17,114.86,0.01
36,USGS,02196999,2016-11-05,114.85,114.47,115.16,0.00
