,agency_cd,site_no,datetime,Precipitation,Gage height,Gage height,Temperature_Mean,Temperature_Min,Temperature_Max
0,USGS,021989784,2016-09-30,,-4.21,4.30,26.3,25.8,26.8
1,USGS,021989784,2016-10-01,,-3.89,4.37,25.6,25.0,26.3
2,USGS,021989784,2016-10-02,,-3.35,4.31,25.2,24.7,26.0
3,USGS,021989784,2016-10-03,,-2.92,4.46,25.1,24.7,25.4
4,USGS,021989784,2016-10-04,,-2.35,4.61,24.9,24.5,25.2
5,USGS,021989784,2016-10-05,,-1.89,4.61,23.9,23.4,24.8
6,USGS,021989784,2016-10-06,,-1.34,4.79,23.1,22.7,23.5
7,USGS,021989784,2016-10-07,,-1.04,5.63,23.1,22.7,23.8
8,USGS,021989784,2016-10-08,,-2.33,7.00,23.2,23.0,23.6
9,USGS,021989784,2016-10-09,,-2.12,4.22,22.7,22.1,23.1
10,USGS,021989784,2016-10-10,,-0.92,4.74,21.8,21.0,22.4
11,USGS,021989784,2016-10-11,,-1.37,4.84,20.9,20.2,21.7
12,USGS,021989784,2016-10-12,,-1.80,5.24,20.7,20.2,21.1
13,USGS,021989784,2016-10-13,,-2.62,5.07,21.3,20.8,22.4
14,USGS,021989784,2016-10-14,,-3.00,5.22,21.4,20.9,22.6
15,USGS,021989784,2016-10-15,,-2.50,5.38,21.6,21.2,22.2
16,USGS,021989784,2016-10-16,,-2.62,5.50,21.5,20.9,22.2
17,USGS,021989784,2016-10-17,,-3.04,5.44,21.7,20.9,22.4
18,USGS,021989784,2016-10-18,,-3.28,5.36,22.0,21.1,22.8
19,USGS,021989784,2016-10-19,,-3.73,5.23,22.3,21.5,23.1
20,USGS,021989784,2016-10-20,,-3.79,5.08,22.5,21.6,23.0
21,USGS,021989784,2016-10-21,,-3.47,4.86,22.5,21.8,23.0
22,USGS,021989784,2016-10-22,,-3.75,4.66,21.2,20.2,22.0
23,USGS,021989784,2016-10-23,,-2.92,4.51,19.9,18.9,20.6
24,USGS,021989784,2016-10-24,,-3.38,4.30,19.3,18.6,19.9
25,USGS,021989784,2016-10-25,,-3.31,4.52,19.5,18.9,19.9
26,USGS,021989784,2016-10-26,,-3.00,4.44,19.7,19.2,20.2
27,USGS,021989784,2016-10-27,,-3.39,4.41,20.1,19.7,20.6
28,USGS,021989784,2016-10-28,0.00,-3.67,4.34,20.6,20.0,21.2
29,USGS,021989784,2016-10-29,0.00,-3.80,4.30,20.9,20.4,21.5
30,USGS,021989784,2016-10-30,0.01,-3.75,4.35,21.0,20.4,21.5
31,USGS,021989784,2016-10-31,0.00,-3.90,4.24,21.2,20.6,21.7
32,USGS,021989784,2016-11-01,0.01,-2.93,4.65,21.4,20.9,21.9
33,USGS,021989784,2016-11-02,0.00,-3.24,4.45,21.7,21.3,22.2
34,USGS,021989784,2016-11-03,0.00,-3.43,4.09,22.0,21.5,22.5
35,USGS,021989784,2016-11-04,0.00,-3.29,3.73,22.0,21.6,22.3
36,USGS,021989784,2016-11-05,0.00,-2.41,4.40,20.8,20.1,21.8
37,USGS,021989784,2016-11-06,0.00,-2.62,4.19,19.5,18.8,20.2
38,USGS,021989784,2016-11-07,0.00,-2.46,4.25,18.9,18.4,19.3
39,USGS,021989784,2016-11-08,0.00,-2.56,4.34,18.3,17.6,18.8
40,USGS,021989784,2016-11-09,0.00,-3.53,4.21,17.6,17.1,18.1
41,USGS,021989784,2016-11-10,0.00,-2.89,4.48,17.0,16.3,17.5
42,USGS,021989784,2016-11-11,0.00,-3.87,4.75,16.3,15.7,16.9
43,USGS,021989784,2016-11-12,0.00,-4.18,5.34,16.2,15.9,17.0
44,USGS,021989784,2016-11-13,0.00,-2.56,5.69,15.7,15.2,16.7
45,USGS,021989784,2016-11-14,0.00,-3.68,5.45,15.0,14.4,15.8
46,USGS,021989784,2016-11-15,0.00,-4.29,5.24,15.0,14.4,15.4
47,USGS,021989784,2016-11-16,0.00,-4.39,5.33,15.1,14.4,15.6
48,USGS,021989784,2016-11-17,0.01,-4.28,5.02,15.0,14.2,15.4
49,USGS,021989784,2016-11-18,0.00,-4.29,4.88,15.2,14.5,15.7
50,USGS,021989784,2016-11-19,0.00,-4.08,4.59,15.5,14.8,15.9
51,USGS,021989784,2016-11-20,0.00,-3.87,4.51,14.8,14.2,15.4
52,USGS,021989784,2016-11-21,0.00,-3.56,4.19,13.8,13.0,14.3
53,USGS,021989784,2016-11-22,0.00,-3.36,3.98,13.3,12.7,13.6
54,USGS,021989784,2016-11-23,0.00,-3.65,3.86,13.6,13.0,14.3
55,USGS,021989784,2016-11-24,0.00,-3.67,3.78,14.7,13.9,15.4
56,USGS,021989784,2016-11-25,0.00,-4.22,3.92,15.5,15.0,16.0
57,USGS,021989784,2016-11-26,0.06,-4.06,3.87,15.9,15.5,16.2
58,USGS,021989784,2016-11-27,0.00,-3.52,4.49,15.0,14.3,15.5
59,USGS,021989784,2016-11-28,0.00,-3.31,4.72,14.4,13.9,14.8
60,USGS,021989784,2016-11-29,0.00,-3.72,4.44,15.9,14.8,17.3
61,USGS,021989784,2016-11-30,0.24,-3.99,4.23,17.5,16.8,18.1
62,USGS,021989784,2016-12-01,0.13,-4.62,3.69,17.8,17.3,18.2
63,USGS,021989784,2016-12-02,0.00,-4.46,3.74,16.3,15.9,17.3
64,USGS,021989784,2016-12-03,0.00,-3.73,3.91,15.4,15.1,15.9
65,USGS,021989784,2016-12-04,0.00,-3.20,4.46,15.3,15.1,15.5
66,USGS,021989784,2016-12-05,1.13,-3.36,3.99,15.8,15.4,16.0
67,USGS,021989784,2016-12-06,2.07,-3.13,4.39,16.0,15.6,16.5
68,USGS,021989784,2016-12-07,0.00,-3.23,4.21,15.9,15.6,16.3
69,USGS,021989784,2016-12-08,0.00,-4.10,4.15,15.4,14.7,15.7
70,USGS,021989784,2016-12-09,0.00,-3.21,4.36,13.9,12.4,14.8
71,USGS,021989784,2016-12-10,0.00,-4.26,4.65,12.1,11.2,13.0
72,USGS,021989784,2016-12-11,0.00,-4.37,5.01,11.3,10.7,11.9
73,USGS,021989784,2016-12-12,0.02,-4.92,5.05,12.6,11.8,13.8
74,USGS,021989784,2016-12-13,0.46,-5.26,5.06,13.9,13.1,14.7
75,USGS,021989784,2016-12-14,0.21,-4.82,5.14,14.6,14.1,14.8
76,USGS,021989784,2016-12-15,0.00,-4.33,5.16,14.0,13.8,14.6
77,USGS,021989784,2016-12-16,0.00,-4.45,5.37,12.3,11.6,13.8
