,agency_cd,site_no,datetime,Temperature_Max,Temperature_Min,Temperature_Mean,Precipitation,Gage height,Gage height
0,USGS,021989791,2016-09-30,27.0,26.2,26.5,0.00,-4.26,4.19
1,USGS,021989791,2016-10-01,26.7,25.4,26.0,0.00,-3.96,4.28
2,USGS,021989791,2016-10-02,26.4,25.0,25.6,0.00,-3.42,4.20
3,USGS,021989791,2016-10-03,26.0,24.9,25.3,0.00,-2.98,4.37
4,USGS,021989791,2016-10-04,25.7,24.8,25.0,0.00,-2.44,4.54
5,USGS,021989791,2016-10-05,25.1,23.4,24.2,0.00,-1.98,4.54
6,USGS,021989791,2016-10-06,24.3,22.8,23.3,0.00,-1.39,4.75
7,USGS,021989791,2016-10-07,24.1,22.8,23.3,8.29,-1.08,5.67
8,USGS,021989791,2016-10-08,24.0,23.0,23.3,4.41,-2.73,7.05
9,USGS,021989791,2016-10-09,23.2,22.3,22.8,0.00,-2.28,4.09
10,USGS,021989791,2016-10-10,22.6,21.5,22.1,0.00,-1.47,4.66
11,USGS,021989791,2016-10-11,21.6,20.5,21.2,0.00,-2.03,4.77
12,USGS,021989791,2016-10-12,21.4,20.3,20.8,0.00,-2.11,5.22
13,USGS,021989791,2016-10-13,21.7,20.8,21.2,0.00,-2.92,5.03
14,USGS,021989791,2016-10-14,21.8,21.1,21.4,0.00,-3.32,5.21
15,USGS,021989791,2016-10-15,21.8,21.4,21.5,0.05,-2.92,5.40
16,USGS,021989791,2016-10-16,21.8,21.1,21.5,0.00,-3.11,5.55
17,USGS,021989791,2016-10-17,22.2,21.2,21.7,0.00,-3.45,5.49
18,USGS,021989791,2016-10-18,22.5,21.3,22.0,0.00,-3.65,5.41
19,USGS,021989791,2016-10-19,22.9,21.8,22.4,0.00,-3.97,5.25
20,USGS,021989791,2016-10-20,23.1,22.1,22.6,,-3.94,5.06
21,USGS,021989791,2016-10-21,23.1,22.0,22.6,0.00,-3.68,4.82
22,USGS,021989791,2016-10-22,22.1,20.5,21.5,0.00,-3.85,4.59
23,USGS,021989791,2016-10-23,21.4,19.4,20.4,0.00,-3.01,4.43
24,USGS,021989791,2016-10-24,20.6,18.8,19.6,0.00,-3.48,4.20
25,USGS,021989791,2016-10-25,20.7,19.0,19.7,0.00,-2.99,4.44
26,USGS,021989791,2016-10-26,20.5,19.4,19.9,0.00,-3.11,4.34
27,USGS,021989791,2016-10-27,20.7,19.8,20.2,0.00,-3.48,4.31
28,USGS,021989791,2016-10-28,21.1,20.1,20.6,0.00,-3.77,4.23
29,USGS,021989791,2016-10-29,21.4,20.6,20.9,0.00,-3.89,4.18
30,USGS,021989791,2016-10-30,21.5,20.8,21.1,0.01,-3.85,4.24
31,USGS,021989791,2016-10-31,21.6,20.9,21.3,0.00,-3.99,4.12
32,USGS,021989791,2016-11-01,21.8,21.1,21.4,0.00,-2.99,4.57
33,USGS,021989791,2016-11-02,22.1,21.4,21.7,0.00,-3.34,4.35
34,USGS,021989791,2016-11-03,22.6,21.7,22.1,0.00,-3.51,3.96
35,USGS,021989791,2016-11-04,22.3,21.8,22.0,0.00,-3.34,3.59
36,USGS,021989791,2016-11-05,21.9,20.4,21.1,0.00,-2.48,4.29
37,USGS,021989791,2016-11-06,20.7,19.1,19.8,0.00,-2.68,4.06
38,USGS,021989791,2016-11-07,20.0,18.6,19.1,0.00,-2.52,4.13
39,USGS,021989791,2016-11-08,19.5,17.9,18.5,0.00,-2.65,4.24
40,USGS,021989791,2016-11-09,18.7,17.3,17.9,0.00,-3.61,4.09
41,USGS,021989791,2016-11-10,18.5,16.5,17.4,0.00,-3.00,4.39
42,USGS,021989791,2016-11-11,17.9,15.9,16.8,0.00,-3.95,4.71
43,USGS,021989791,2016-11-12,17.5,15.9,16.6,0.00,-4.29,5.38
44,USGS,021989791,2016-11-13,16.9,15.4,16.1,0.00,-2.81,5.78
45,USGS,021989791,2016-11-14,16.1,14.6,15.4,0.00,-3.91,5.52
46,USGS,021989791,2016-11-15,15.9,14.5,15.3,0.00,-4.50,5.26
47,USGS,021989791,2016-11-16,16.0,14.6,15.3,0.00,-4.54,5.37
48,USGS,021989791,2016-11-17,15.9,14.6,15.2,0.00,-4.41,5.00
49,USGS,021989791,2016-11-18,16.1,14.8,15.4,0.01,-4.39,4.84
50,USGS,021989791,2016-11-19,16.1,15.1,15.5,0.00,-4.15,4.49
51,USGS,021989791,2016-11-20,15.5,14.4,14.9,0.00,-3.96,4.40
52,USGS,021989791,2016-11-21,14.8,13.4,14.1,0.00,-3.63,4.05
53,USGS,021989791,2016-11-22,14.2,12.9,13.5,0.00,-3.42,3.82
54,USGS,021989791,2016-11-23,14.1,13.0,13.6,0.00,-3.71,3.70
55,USGS,021989791,2016-11-24,15.2,13.8,14.5,0.00,-3.73,3.62
56,USGS,021989791,2016-11-25,16.0,14.8,15.4,0.00,-4.26,3.77
57,USGS,021989791,2016-11-26,16.2,15.6,15.9,0.09,-4.12,3.71
58,USGS,021989791,2016-11-27,15.7,14.8,15.3,0.00,-3.58,4.38
59,USGS,021989791,2016-11-28,15.2,14.2,14.7,0.00,-3.38,4.65
60,USGS,021989791,2016-11-29,16.7,14.7,15.7,0.00,-3.85,4.30
61,USGS,021989791,2016-11-30,17.9,16.5,17.2,0.19,-4.09,4.09
62,USGS,021989791,2016-12-01,18.1,17.4,17.8,0.19,-4.66,3.52
63,USGS,021989791,2016-12-02,17.4,16.1,16.6,0.00,-4.52,3.57
64,USGS,021989791,2016-12-03,16.3,15.2,15.6,0.00,-3.79,3.76
65,USGS,021989791,2016-12-04,16.0,15.0,15.4,0.00,-3.29,4.35
66,USGS,021989791,2016-12-05,15.9,15.4,15.7,1.18,-3.42,3.84
67,USGS,021989791,2016-12-06,16.3,15.7,16.0,1.87,-3.27,4.24
