,agency_cd,site_no,datetime,"Turbidity, water",Temperature_Min,Dissolved oxygen_Max,Temperature_Max,"Turbidity, water_Max",Temperature_Mean,Gage height,Dissolved oxygen_Mean,Precipitation,Gage height,Dissolved oxygen_Min,"Turbidity, water_Min"
0,USGS,0219897993,2016-09-30,24.0,27.2,4.7,27.7,57.0,27.5,4.11,3.8,0.00,-4.37,3.1,13.0
1,USGS,0219897993,2016-10-01,19.0,26.9,4.5,27.7,67.0,27.4,4.13,3.9,0.00,-4.02,3.3,14.0
2,USGS,0219897993,2016-10-02,27.0,26.9,4.5,27.6,52.0,27.3,4.11,3.9,0.00,-3.41,3.3,16.0
3,USGS,0219897993,2016-10-03,37.0,26.8,4.9,27.6,82.0,27.2,4.23,4.0,0.00,-3.18,3.3,16.0
4,USGS,0219897993,2016-10-04,64.0,26.7,5.2,27.2,130,26.9,4.45,4.2,0.00,-2.93,3.5,20.0
5,USGS,0219897993,2016-10-05,45.0,25.9,5.0,26.8,71.0,26.3,4.51,4.3,0.00,-1.89,3.5,18.0
6,USGS,0219897993,2016-10-06,29.0,25.2,5.7,26.1,72.0,25.6,4.79,4.7,0.00,-1.17,4.0,17.0
7,USGS,0219897993,2016-10-07,23.0,24.5,6.5,25.5,57.0,25.0,5.77,5.4,,-0.83,4.5,5.9
8,USGS,0219897993,2016-10-08,26.0,23.6,6.5,24.8,74.0,24.2,8.07,5.9,,-3.10,5.1,7.4
9,USGS,0219897993,2016-10-09,38.0,23.0,5.8,24.1,54.0,23.6,3.87,5.4,0.00,-2.19,4.8,20.0
10,USGS,0219897993,2016-10-10,36.0,22.7,5.4,24.1,53.0,23.4,4.50,5.0,0.00,-1.58,4.7,18.0
11,USGS,0219897993,2016-10-11,29.0,22.3,5.3,23.8,42.0,23.1,4.66,4.9,0.00,-1.58,4.5,14.0
12,USGS,0219897993,2016-10-12,34.0,22.2,5.4,23.1,81.0,22.7,5.17,4.9,0.00,-2.37,4.4,15.0
13,USGS,0219897993,2016-10-13,41.0,22.4,4.9,22.8,110,22.6,5.01,4.4,0.00,-3.39,3.7,24.0
14,USGS,0219897993,2016-10-14,55.0,22.2,4.6,22.8,270,22.5,5.20,4.0,0.00,-4.08,3.3,32.0
15,USGS,0219897993,2016-10-15,77.0,22.1,4.9,22.7,260,22.4,5.52,4.0,0.20,-3.69,3.2,41.0
16,USGS,0219897993,2016-10-16,78.0,21.9,4.9,22.6,220,22.3,5.78,4.0,0.00,-4.57,2.8,45.0
17,USGS,0219897993,2016-10-17,92.0,22.0,4.8,23.0,170,22.5,5.69,3.6,0.00,-4.66,2.5,42.0
18,USGS,0219897993,2016-10-18,90.0,22.3,4.6,23.3,180,22.8,5.53,3.3,0.00,-4.66,2.3,41.0
19,USGS,0219897993,2016-10-19,82.0,22.7,4.2,23.6,250,23.1,5.37,3.1,0.00,-4.64,2.1,44.0
20,USGS,0219897993,2016-10-20,66.0,23.0,4.0,24.1,100,23.4,5.34,3.0,0.00,-4.18,2.2,47.0
21,USGS,0219897993,2016-10-21,62.0,23.2,4.1,24.0,100,23.6,4.87,3.1,0.00,-4.93,2.3,37.0
22,USGS,0219897993,2016-10-22,63.0,22.3,4.7,23.6,120,23.0,4.60,3.8,0.00,-3.72,3.1,29.0
23,USGS,0219897993,2016-10-23,63.0,22.1,4.9,23.1,85.0,22.6,4.31,3.9,0.00,-2.94,3.2,28.0
