,agency_cd,site_no,datetime,Gage height_Mean,Temperature_Mean,Temperature_Min,Temperature_Max,Gage height_Min,Gage height_Max
0,USGS,330428079214800,2016-09-30,8.61,27.6,26.9,28.7,5.80,11.24
1,USGS,330428079214800,2016-10-01,9.07,27.2,26.4,28.1,6.38,11.92
2,USGS,330428079214800,2016-10-02,9.11,27.0,26.2,27.8,6.36,11.63
3,USGS,330428079214800,2016-10-03,9.32,26.5,25.6,27.5,6.86,11.81
4,USGS,330428079214800,2016-10-04,9.94,25.4,24.4,26.0,7.61,12.37
5,USGS,330428079214800,2016-10-05,10.36,23.9,23.4,24.4,8.14,12.71
6,USGS,330428079214800,2016-10-06,10.67,23.1,22.8,23.6,8.68,13.09
7,USGS,330428079214800,2016-10-07,11.03,23.3,22.7,24.2,8.93,13.12
8,USGS,330428079214800,2016-10-08,10.77,24.0,22.8,24.7,7.07,14.50
9,USGS,330428079214800,2016-10-09,9.90,22.6,21.9,23.5,8.14,12.27
10,USGS,330428079214800,2016-10-10,11.46,21.4,20.5,22.4,9.50,13.80
11,USGS,330428079214800,2016-10-11,11.61,20.6,19.4,21.5,9.03,13.82
12,USGS,330428079214800,2016-10-12,11.40,20.9,20.0,21.8,8.37,13.93
13,USGS,330428079214800,2016-10-13,10.85,21.6,20.6,23.7,7.53,13.62
14,USGS,330428079214800,2016-10-14,10.92,22.1,21.4,23.0,7.68,13.89
15,USGS,330428079214800,2016-10-15,11.04,22.2,21.4,23.1,7.41,14.20
16,USGS,330428079214800,2016-10-16,10.78,22.3,21.4,23.5,7.01,14.45
17,USGS,330428079214800,2016-10-17,10.51,23.1,22.0,24.5,6.59,14.33
18,USGS,330428079214800,2016-10-18,10.20,24.0,22.8,25.3,6.50,14.15
19,USGS,330428079214800,2016-10-19,,,,,,
20,USGS,330428079214800,2016-10-20,,,,,,
21,USGS,330428079214800,2016-10-21,,,,,,
22,USGS,330428079214800,2016-10-22,,,,,,
23,USGS,330428079214800,2016-10-23,,,,,,
24,USGS,330428079214800,2016-10-24,,,,,,
25,USGS,330428079214800,2016-10-25,,,,,,
26,USGS,330428079214800,2016-10-26,,,,,,
27,USGS,330428079214800,2016-10-27,,,,,,
28,USGS,330428079214800,2016-10-28,,,,,,
29,USGS,330428079214800,2016-10-29,,,,,,
30,USGS,330428079214800,2016-10-30,,,,,,
31,USGS,330428079214800,2016-10-31,,,,,,
32,USGS,330428079214800,2016-11-01,,,,,,
33,USGS,330428079214800,2016-11-02,,,,,,
34,USGS,330428079214800,2016-11-03,,,,,,
35,USGS,330428079214800,2016-11-04,,,,,,
36,USGS,330428079214800,2016-11-05,,,,,,
37,USGS,330428079214800,2016-11-06,,,,,,
38,USGS,330428079214800,2016-11-07,,,,,,
39,USGS,330428079214800,2016-11-08,,,,,,
40,USGS,330428079214800,2016-11-09,,,,,,
41,USGS,330428079214800,2016-11-10,,,,,,
42,USGS,330428079214800,2016-11-11,,,,,,
43,USGS,330428079214800,2016-11-12,,,,,,
44,USGS,330428079214800,2016-11-13,,,,,,
45,USGS,330428079214800,2016-11-14,,,,,,
46,USGS,330428079214800,2016-11-15,,,,,,
47,USGS,330428079214800,2016-11-16,,,,,,
48,USGS,330428079214800,2016-11-17,,,,,,
49,USGS,330428079214800,2016-11-18,,,,,,
50,USGS,330428079214800,2016-11-19,,,,,,
51,USGS,330428079214800,2016-11-20,,,,,,
52,USGS,330428079214800,2016-11-21,,,,,,
53,USGS,330428079214800,2016-11-22,,,,,,
54,USGS,330428079214800,2016-11-23,,,,,,
55,USGS,330428079214800,2016-11-24,,,,,,
56,USGS,330428079214800,2016-11-25,,,,,,
57,USGS,330428079214800,2016-11-26,,,,,,
58,USGS,330428079214800,2016-11-27,,,,,,
59,USGS,330428079214800,2016-11-28,,,,,,
60,USGS,330428079214800,2016-11-29,,,,,,
61,USGS,330428079214800,2016-11-30,,,,,,
62,USGS,330428079214800,2016-12-01,,,,,,
63,USGS,330428079214800,2016-12-02,,,,,,
64,USGS,330428079214800,2016-12-03,,,,,,
65,USGS,330428079214800,2016-12-04,,,,,,
66,USGS,330428079214800,2016-12-05,,,,,,
67,USGS,330428079214800,2016-12-06,,,,,,
68,USGS,330428079214800,2016-12-07,,,,,,
69,USGS,330428079214800,2016-12-08,,,,,,
70,USGS,330428079214800,2016-12-09,,,,,,
71,USGS,330428079214800,2016-12-10,,,,,,
72,USGS,330428079214800,2016-12-11,,,,,,
73,USGS,330428079214800,2016-12-12,,,,,,
74,USGS,330428079214800,2016-12-13,,,,,,
75,USGS,330428079214800,2016-12-14,,,,,,
76,USGS,330428079214800,2016-12-15,,,,,,
77,USGS,330428079214800,2016-12-16,,,,,,
78,USGS,330428079214800,2016-12-17,,,,,,
79,USGS,330428079214800,2016-12-18,,,,,,
